source_file,source_sheet,source_row,v_gate_v,drain_current_a,abs_drain_current_a,quality_flag,condition_status
1.xlsx,Sheet1,1,-5.0,8.25532e-39,8.25532e-39,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,2,-4.9,3.98412e-38,3.98412e-38,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,3,-4.8,1.30084e-37,1.30084e-37,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,4,-4.7,4.12874e-37,4.12874e-37,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,5,-4.6,1.34819e-36,1.34819e-36,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,6,-4.5,2.08146e-36,2.08146e-36,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,7,-4.4,2.74146e-36,2.74146e-36,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,8,-4.3,3.81997e-36,3.81997e-36,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,9,-4.2,1.23184e-35,1.23184e-35,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,10,-4.1,1.87487e-35,1.87487e-35,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,11,-4.0,6.45063e-35,6.45063e-35,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,12,-3.9,7.58242e-35,7.58242e-35,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,13,-3.8,7.14768e-35,7.14768e-35,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,14,-3.7,3.56888e-35,3.56888e-35,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,15,-3.6,1.19675e-35,1.19675e-35,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,16,-3.5,2.07178e-36,2.07178e-36,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,17,-3.4,9.7787e-36,9.7787e-36,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,18,-3.3,4.47414e-35,4.47414e-35,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,19,-3.2,2.13415e-34,2.13415e-34,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,20,-3.1,4.19777e-34,4.19777e-34,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,21,-3.0,2.20835e-33,2.20835e-33,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,22,-2.9,1.86297e-32,1.86297e-32,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,23,-2.8,2.37289e-32,2.37289e-32,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,24,-2.7,1.40695e-31,1.40695e-31,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,25,-2.6,2.14079e-31,2.14079e-31,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,26,-2.5,1.23483e-30,1.23483e-30,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,27,-2.4,2.3617e-30,2.3617e-30,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,28,-2.3,4.3402e-27,4.3402e-27,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,29,-2.2,6.41377e-31,6.41377e-31,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,30,-2.1,2.00832e-31,2.00832e-31,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,31,-2.05,1.7796e-25,1.7796e-25,ok,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,32,-2.025,4.02462e-31,4.02462e-31,near_solver_floor;strong_nonmonotonic_drop,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,33,-2.0125,7.74334e-31,7.74334e-31,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,34,-2.00625,1.87508e-30,1.87508e-30,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,35,-2.0,4.57694e-31,4.57694e-31,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,36,-1.99244,6.1218e-31,6.1218e-31,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,37,-1.98329,8.79961e-31,8.79961e-31,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
1.xlsx,Sheet1,38,-1.97221,1.33549e-30,1.33549e-30,near_solver_floor,missing_vds_geometry_material_and_solver_metadata
