vg,vd,id_raw,id_abs
-3.0,0.1,-1.30720719e-11,1.30720719e-11
-2.95,0.1,-1.31157362e-11,1.31157362e-11
-2.9,0.1,-1.31791989e-11,1.31791989e-11
-2.85,0.1,-1.32621323e-11,1.32621323e-11
-2.8,0.1,-1.3384788e-11,1.3384788e-11
-2.75,0.1,-1.35307848e-11,1.35307848e-11
-2.7,0.1,-1.37215577e-11,1.37215577e-11
-2.65,0.1,-1.39708304e-11,1.39708304e-11
-2.6,0.1,-1.42965288e-11,1.42965288e-11
-2.55,0.1,-1.4722065e-11,1.4722065e-11
-2.5,0.1,-1.52780139e-11,1.52780139e-11
-2.45,0.1,-1.60042991e-11,1.60042991e-11
-2.4,0.1,-1.69530451e-11,1.69530451e-11
-2.35,0.1,-1.81922948e-11,1.81922948e-11
-2.3,0.1,-1.98108552e-11,1.98108552e-11
-2.25,0.1,-2.19246102e-11,2.19246102e-11
-2.2,0.1,-2.46847413e-11,2.46847413e-11
-2.15,0.1,-2.82884257e-11,2.82884257e-11
-2.1,0.1,-3.29927525e-11,3.29927525e-11
-2.05,0.1,-3.91328084e-11,3.91328084e-11
-2.0,0.1,-4.71451667e-11,4.71451667e-11
-1.95,0.1,-5.75983631e-11,5.75983631e-11
-1.9,0.1,-7.12323929e-11,7.12323929e-11
-1.85,0.1,-8.90098398e-11,8.90098398e-11
-1.8,0.1,-1.12181962e-10,1.12181962e-10
-1.75,0.1,-1.42373974e-10,1.42373974e-10
-1.7,0.1,-1.81694886e-10,1.81694886e-10
-1.65,0.1,-2.32878657e-10,2.32878657e-10
-1.6,0.1,-2.99465137e-10,2.99465137e-10
-1.55,0.1,-3.86031297e-10,3.86031297e-10
-1.5,0.1,-4.98485742e-10,4.98485742e-10
-1.45,0.1,-6.44442281e-10,6.44442281e-10
-1.4,0.1,-8.33691603e-10,8.33691603e-10
-1.35,0.1,-1.07879356e-09,1.07879356e-09
-1.3,0.1,-1.39581616e-09,1.39581616e-09
-1.25,0.1,-1.80525088e-09,1.80525088e-09
-1.2,0.1,-2.33313629e-09,2.33313629e-09
-1.15,0.1,-3.01242362e-09,3.01242362e-09
-1.1,0.1,-3.88461618e-09,3.88461618e-09
-1.05,0.1,-5.00170991e-09,5.00170991e-09
-1.0,0.1,-6.42845158e-09,6.42845158e-09
-0.95,0.1,-8.24491408e-09,8.24491408e-09
-0.9,0.1,-1.05493622e-08,1.05493622e-08
-0.85,0.1,-1.34613476e-08,1.34613476e-08
-0.8,0.1,-1.7124927e-08,1.7124927e-08
-0.75,0.1,-2.17118489e-08,2.17118489e-08
-0.7,0.1,-2.74245006e-08,2.74245006e-08
-0.65,0.1,-3.44983615e-08,3.44983615e-08
-0.6,0.1,-4.32036783e-08,4.32036783e-08
-0.55,0.1,-5.38460692e-08,5.38460692e-08
-0.5,0.1,-6.67657896e-08,6.67657896e-08
-0.45,0.1,-8.2335455e-08,8.2335455e-08
-0.4,0.1,-1.00956105e-07,1.00956105e-07
-0.35,0.1,-1.23051613e-07,1.23051613e-07
-0.3,0.1,-1.4906156e-07,1.4906156e-07
-0.25,0.1,-1.79432816e-07,1.79432816e-07
-0.2,0.1,-2.14610138e-07,2.14610138e-07
-0.15,0.1,-2.55026185e-07,2.55026185e-07
-0.1,0.1,-3.01091328e-07,3.01091328e-07
-0.05,0.1,-3.53183688e-07,3.53183688e-07
-2.28983499e-15,0.1,-4.11639774e-07,4.11639774e-07
0.05,0.1,-4.76746097e-07,4.76746097e-07
0.1,0.1,-5.4873209e-07,5.4873209e-07
0.15,0.1,-6.27764632e-07,6.27764632e-07
0.2,0.1,-7.13944432e-07,7.13944432e-07
