dataset_id,path,sha256,row_count,source_report,independent_check,evidence_level,eligibility,formal_role,allowed_use,prohibited_use
T01_D_B_IDVD,results/tables/tcad_t01_d_idvd_points.csv,5a550fede3cd6db1e9369f9c2783d0899afa274d2e3d130ffb2837e8f12a0ba9,30,results/reports/tcad_t01_d_idvd.json,results/reports/tcad_t01_d_idvd_check.json,E3,formal_fit_source,selector_defined,"Production-mesh single-gate output curves for training holdout and zero-VDS invariants","Reference-mesh rows are audit-only; no experimental saturation or accuracy claim"
T01_D_C_IDVG,results/tables/tcad_t01_d_extraction_idvg.csv,0eff59db330321d3e5c55d6a51849787d44803e4dc20d863b0acf61d6a2ec2f8,102,results/reports/tcad_t01_d_extraction.json,results/reports/tcad_t01_d_extraction_check.json,E3,formal_fit_source,selector_defined,"Production-mesh single-gate low-VDS transfer training curve","Reference-mesh rows are audit-only; extracted values remain numerical proxies"
T02_C_DG_TRANSFER,results/tables/tcad_t02_c_bidirectional_families.csv,247d863f6a650545a2a5c407e92f3141113ec21fb0d648c2c9d45024e208f4a9,248,results/reports/tcad_t02_c_bidirectional.json,results/reports/tcad_t02_c_bidirectional_check.json,E3,formal_fit_source,selector_defined,"Top-primary forward dual-gate transfer curves for fixed-condition training and holdout","Bottom-primary and reverse rows are reciprocity or path audits; no experimental calibration"
T03_P4_LENGTH_TRANSFER,results/tables/tcad_t03_p4_l_transfer_curves.csv,3a63699b97ab3fa4e474c077a58e01ed6d9820c4adb2bd86a56fa93dbfdec16d,93,results/reports/tcad_t03_p4_l_sensitivity.json,results/reports/tcad_t03_p4_l_sensitivity_check.json,E3,formal_fit_source,selector_defined,"L=8 um training and L=12 um holdout within the numerical 8-12 um range","L=10 um is a duplicate audit; ideal inverse-length behavior failed and is not assumed"
T03_P1_BIAS_TRANSFER,results/tables/tcad_t03_p1_bias_transfer_curves.csv,0da04b07cecfb63256e664b5262a80cef5810ccc2fc9a46d2370bc488def5eb5,155,results/reports/tcad_t03_p1_bias_sensitivity.json,results/reports/tcad_t03_p1_bias_sensitivity_check.json,E3,diagnostic_only,challenge_only,"Report-only secondary-gate interpolation and endpoint challenge","Must not influence fitting acceptance or become measured gate coupling"
T03_P1_CAP_RATIO_TRANSFER,results/tables/tcad_t03_p1_cap_ratio_transfer_curves.csv,8980c2e627e05acd8ddbb1f77ea4eb398b46a4053713791242b27f346015119a,155,results/reports/tcad_t03_p1_cap_ratio_sensitivity.json,results/reports/tcad_t03_p1_cap_ratio_sensitivity_check.json,E3,diagnostic_only,challenge_only,"Report-only effective coupling-allocation challenge","Must not influence the nominal symmetric-stack fit or become physical capacitance evidence"
T03_P2_DIT_TRANSFER,results/tables/tcad_t03_p2_dit_formal_transfer.csv,9cf7e843b22c3bb625945e6abf3e0f1bc5c880e8325b0ea49d877dac9db8f015,124,results/reports/tcad_t03_p2_dit_formal.json,results/reports/tcad_t03_p2_dit_formal_check.json,E3,excluded_variant,excluded,"Preserved candidate source for a future explicitly trapped model revision","No nominal-model fitting; zero controls are duplicates and nonzero rows change interface physics"
T03_P2_BULK_V3_TRANSFER,results/tables/tcad_t03_p2_bulk_traps_formal_v3_transfer.csv,af4eab4d415d3b08701aa290a3d7b796f0471ca258711036937112dbff756414,376,results/reports/tcad_t03_p2_bulk_traps_formal_v3.json,results/reports/tcad_t03_p2_bulk_traps_formal_v3_check.json,E3,excluded_variant,excluded,"Preserved candidate source for future explicitly trapped model revisions","No nominal-model fitting; V1 and V2 failures remain separate and V3 nonzero rows change bulk physics"
T03_P3_V2_TRANSFER,results/tables/tcad_t03_p3_contact_v2_transfer.csv,458ea11aa4fc731d9713773c5621d4821830fc400e68c89fad940141e1c32527,93,results/reports/tcad_t03_p3_contact_resistance_v2.json,results/reports/tcad_t03_p3_contact_resistance_v2_check.json,E3,diagnostic_only,challenge_only,"Report-only ideal-control reproduction and nonideal-contact challenge","Nonzero resistance rows must not influence the ideal-contact nominal fit"
T03_P3_V2_OUTPUT,results/tables/tcad_t03_p3_contact_v2_output.csv,74a5f2bf48acd54bb467c8c3622349779c4fb9f130de60213be66c84066b1a82,63,results/reports/tcad_t03_p3_contact_resistance_v2.json,results/reports/tcad_t03_p3_contact_resistance_v2_check.json,E3,formal_fit_source,selector_defined,"Only ideal-control dual-gate multi-VDS curves enter training holdout and zero-VDS invariants","Nonzero resistance rows are diagnostic-only and are not physical contact data"
T03_P5_TEMPERATURE_TRANSFER,results/tables/tcad_t03_p5_temperature_transfer.csv,28fbb62b15c228ca09420764af7dce9f1aca1109269f0b67cf2ff7db2935db9b,93,results/reports/tcad_t03_p5_temperature.json,results/reports/tcad_t03_p5_temperature_check.json,E3,diagnostic_only,challenge_only,"Report-only V_t-only temperature challenge with 300 K duplicate audit","Must not create a physical temperature law or influence the fixed-300-K nominal fit"
EXTERNAL_NGSPICE_TRANSFER,data/raw/baseline/ngspice/data/igzo_transfer.csv,91a390a58775b6c8c534fb66e4d74fc477afaeb9aadcdf3aed54f4f96e702483,635,results/reports/s00_data_audit.json,,E1,reference_only,reference_only,"Import and plotting regression only","Not current-device validation fitting holdout dual-gate evidence or circuit evidence"
EXTERNAL_NGSPICE_OUTPUT,data/raw/baseline/ngspice/data/igzo_output.csv,90f770f523202e99988aaf255107afc5054420e4d7c1cf0d1611d791661c29f5,968,results/reports/s00_data_audit.json,,E1,reference_only,reference_only,"Import and plotting regression only","Not current-device validation fitting holdout dual-gate evidence or circuit evidence"
