id,filename,year,topic,priority,doi,project_role
P01,"2022, The fundamentals and applications of FE HfO2, Uwe, Nature Materials.pdf",2022,HfO2 ferroelectric review,A,10.1038/s41578-022-00431-2,"Material and device overview; FeFET and switching background"
P02,"ACS AEM Xu 45nm Si doped ZrO2online 2022.pdf",2022,Si doping strain and phase,A,10.1021/acsaelm.2c00608,"Doping-strain-phase sensitivity"
P03,acsaelm.3c00117.pdf,2023,Ozone dose stress vacancy and wake-up,A,10.1021/acsaelm.3c00117,"Process and wake-up sensitivity"
P04,"Adv Funct Materials - 2016 - Pešić - Nonvolatile Random Access Memory and Energy Storage Based on Antiferroelectric Like.pdf",2016,AFE hysteresis and LGD,A,10.1002/adfm.201603182,"LGD and built-in-field model basis"
P05,"Adv Funct Materials online 2023 Xu - Strain as a Global Factor in Stabilizing the Ferroelectric Properties of ZrO2.pdf",2023,Strain and phase formation,A,10.1002/adfm.202311825,"Strain-to-switching-field sensitivity"
P06,"AM, Miko.pdf",2023,Ferroelectric devices and neuromorphic computing,B,10.1002/adma.202206042,"Application motivation and multistate extension"
P07,Comparative_Study_of_Reliability_of_Ferroelectric_and_Anti-Ferroelectric_Memories.pdf,2018,FE versus AFE reliability,A,10.1109/TDMR.2018.2829112,"Reliability limitations and evidence boundary"
P08,guido-et-al-2024-ferroelectric-al0-85sc0-15n-and-hf0-5zr0-5o2-domain-switching-dynamics.pdf,2024,Domain switching dynamics,A,10.1021/acsami.4c05798,"Nucleation and domain-wall dynamics"
P09,How_to_make_DRAM_non-volatile_Anti-ferroelectrics_A_new_paradigm_for_universal_memories.pdf,2016,Nonvolatile AFE RAM and LGD,B,10.1109/IEDM.2016.7838398,"Built-in bias and compact AFE concept"
P10,"JAP, Miko.pdf",2021,Ferroelectric process integration,B,10.1063/5.0037617,"Semiconductor integration background"
P11,NLS_based_Modeling_and_Characterization_of_Switching_Dynamics_for_Antiferroelectric_Ferroelectric_Hafnium_Zirconium_Oxides.pdf,2021,NLS Monte Carlo HZO,A,10.1109/IEDM19574.2021.9720645,"Advanced dynamic polarization model"
P12,"Small - 2025 - Wunderwald - Interaction Between Strain and Phase Formation in HfxZr1‐xO2 Thin Films.pdf",2025,Composition thickness strain and phase,A,10.1002/smll.202408133,"Phase-fraction and strain sensitivity"
P13,xu-et-al-2024-influence-of-biaxial-strain-and-interfacial-layer-growth-on-ferroelectric-wake-up-and-phase-transition.pdf,2024,Strain interface and wake-up,A,10.1021/acsami.4c06143,"Separate interface and strain effects"
