Index          V(NORM)               V(VOV100T050R0125)        I(VDDV100T050R0125)         V(VOV100T050R0250)        I(VDDV100T050R0250)         V(VOV100T050R0500)        I(VDDV100T050R0500)         V(VOV100T075R0125)        I(VDDV100T075R0125)         V(VOV100T075R0250)        I(VDDV100T075R0250)         V(VOV100T075R0500)        I(VDDV100T075R0500)         V(VOV100T100R0125)        I(VDDV100T100R0125)         V(VOV100T100R0250)        I(VDDV100T100R0250)         V(VOV100T100R0500)        I(VDDV100T100R0500)         V(VOV200T050R0125)        I(VDDV200T050R0125)         V(VOV200T050R0250)        I(VDDV200T050R0250)         V(VOV200T050R0500)        I(VDDV200T050R0500)         V(VOV200T075R0125)        I(VDDV200T075R0125)         V(VOV200T075R0250)        I(VDDV200T075R0250)         V(VOV200T075R0500)        I(VDDV200T075R0500)         V(VOV200T100R0125)        I(VDDV200T100R0125)         V(VOV200T100R0250)        I(VDDV200T100R0250)         V(VOV200T100R0500)        I(VDDV200T100R0500)    
0        0.00000000000000000e+00    1.72248537297464907e-02   -2.04756112163005958e-08    3.03322715539457444e-02   -3.05491975353133060e-08    4.75378462357739645e-02   -3.86401752223918687e-08    2.05677939342202472e-02   -2.34390712369872440e-08    3.57017116309190710e-02   -3.36052284960063825e-08    5.41508273938050080e-02   -4.06407509545278467e-08    2.40938441922630038e-02   -2.62592536508019708e-08    4.11112208861681497e-02   -3.61687549769014603e-08    6.02072898443213114e-02   -4.20786018913747690e-08    5.48440662025512227e-02   -4.08229228204099168e-08    8.97136699439716606e-02   -4.56836118141051295e-08    1.20482527183923188e-01   -4.67100525920561673e-08    7.26104997968919225e-02   -4.41342890176641304e-08    1.10923291522819878e-01   -4.65261634949454103e-08    1.40703651124104434e-01   -4.69110939637533749e-08    9.12000246160370315e-02   -4.57718270663347390e-08    1.29710940748547693e-01   -4.68251566599997420e-08    1.56800249589542862e-01   -4.69785784976973935e-08
1        1.00000000000000002e-02    1.70463371764357566e-02   -2.05520147577254086e-08    3.00501102066041449e-02   -3.07561530640379077e-08    4.71962004995269552e-02   -3.90336705960375285e-08    2.03539418994907184e-02   -2.35405156139616903e-08    3.53789250186533621e-02   -3.38659219683271570e-08    5.37969529173126862e-02   -4.10912279111242081e-08    2.38430998084824403e-02   -2.63897062859941224e-08    4.07543790734154893e-02   -3.64839391212242797e-08    5.98551564103534314e-02   -4.25750728318196124e-08    5.35768032221154017e-02   -4.15799838963333587e-08    8.83470762602176912e-02   -4.68812954886463650e-08    1.19367841579978387e-01   -4.80216196786584136e-08    7.10174316864307931e-02   -4.51435193013032241e-08    1.09526144100648370e-01   -4.78125443002483706e-08    1.39664603962442291e-01   -4.82429085571568001e-08    8.94329903705684270e-02   -4.69530837619856714e-08    1.28382273325987784e-01   -4.81456261324078724e-08    1.55894649271012514e-01   -4.83172642968049107e-08
2        2.00000000000000004e-02    1.68704814818322994e-02   -2.06274257465886204e-08    2.97712281951667060e-02   -3.09614346259402100e-08    4.68564577489996789e-02   -3.94270417840933595e-08    2.01432373414256703e-02   -2.36406748849528637e-08    3.50594441675662269e-02   -3.41249079288534411e-08    5.34442105867599382e-02   -4.15425351115075374e-08    2.35959583390470337e-02   -2.65185659902208571e-08    4.04005680419221649e-02   -3.67976220819396197e-08    5.95033330798740850e-02   -4.30733969119302676e-08    5.23403774877310851e-02   -4.23254264186527644e-08    8.69839367750300518e-02   -4.80934234674433890e-08    1.18250131947597051e-01   -4.93593455498036924e-08    6.94465764959581178e-02   -4.61493582711089158e-08    1.08124033700623387e-01   -4.91218077806378423e-08    1.38619177571634583e-01   -4.96028851569663263e-08    8.76711022993510308e-02   -4.81439818584372811e-08    1.27043341458232595e-01   -4.94927691340131467e-08    1.54980005426127693e-01   -4.96848141305356236e-08
3        2.99999999999999989e-02    1.66972465685567908e-02   -2.07018548129619424e-08    2.94956107542495329e-02   -3.11650277224145816e-08    4.65186599349909288e-02   -3.98202081415623222e-08    1.99356366420697199e-02   -2.37395605371553186e-08    3.47432748782592685e-02   -3.43821519807320769e-08    5.30926573397923693e-02   -4.19945797739335221e-08    2.33523765924581184e-02   -2.66458429985920745e-08    4.00498204527582821e-02   -3.71097444031516084e-08    5.91518815137346485e-02   -4.35734816954705563e-08    5.11352551837492911e-02   -4.30584418267221485e-08    8.56251717095068143e-02   -4.93190066881185897e-08    1.17129610465563833e-01   -5.07232460367144671e-08    6.78998645667879264e-02   -4.71500571572312621e-08    1.06717525394062263e-01   -5.04535791498553000e-08    1.37567538448375631e-01   -5.09912288777210797e-08    8.59165461357857818e-02   -4.93428436356939058e-08    1.25694466111323871e-01   -5.08666003205292114e-08    1.54056452842965097e-01   -5.10815041713462629e-08
4        4.00000000000000008e-02    1.65265927316635280e-02   -2.07753126594615138e-08    2.92232418715998657e-02   -3.13669192210718765e-08    4.61828475969166888e-02   -4.02130897255961855e-08    1.97310963263976936e-02   -2.38371843036616187e-08    3.44304209036764147e-02   -3.46376216390471475e-08    5.27423492347608228e-02   -4.24472687725401936e-08    2.31123110510110669e-02   -2.67715481029043896e-08    3.97021663810153275e-02   -3.74202487847189567e-08    5.88008632027770886e-02   -4.40752333369077195e-08    4.99617506876422895e-02   -4.37783215402743900e-08    8.42717367019870378e-02   -5.05569746237041203e-08    1.16006498139340913e-01   -5.21133038149056151e-08    6.63791153840035120e-02   -4.81439002024526985e-08    1.05307225454221678e-01   -5.18074114201338912e-08    1.36509854768642802e-01   -5.24081277348732310e-08    8.41715872762792278e-02   -5.05478742047735534e-08    1.24335991035163115e-01   -5.22670942273884474e-08    1.53124128544699284e-01   -5.25076004287365401e-08
5        5.00000000000000028e-02    1.63584806320085790e-02   -2.08478100533848452e-08    2.89541043218258833e-02   -3.15670973306502051e-08    4.58490598309095124e-02   -4.06056073832861047e-08    1.95295730680278487e-02   -2.39335581475932535e-08    3.41208839834780606e-02   -3.48912863228048482e-08    5.23933413962167430e-02   -4.29005087451019521e-08    2.28757178988850014e-02   -2.68956926234506525e-08    3.93576333223064692e-02   -3.77290801184654446e-08    5.84503394099098947e-02   -4.45785566729930304e-08    4.88200311939292406e-02   -4.44844579208405064e-08    8.29246190051171200e-02   -5.18061774067574844e-08    1.14881026728742730e-01   -5.35294660620907696e-08    6.48860147355095201e-02   -4.91292255866562352e-08    1.03893783239381449e-01   -5.31827808249119968e-08    1.35446298546420874e-01   -5.38537513347076404e-08    8.24385517277965024e-02   -5.17571735586840892e-08    1.22968284600816227e-01   -5.36941815606353507e-08    1.52183172473597417e-01   -5.39633580855795104e-08
6        5.99999999999999978e-02    1.61928713099605687e-02   -2.09193578145872360e-08    2.86881797291736254e-02   -3.17655515658273928e-08    4.55173342691915991e-02   -4.09976828345532986e-08    1.93310237219990466e-02   -2.40286942393686833e-08    3.38146639076764149e-02   -3.51431173339012613e-08    5.20456879644310075e-02   -4.33542062005894904e-08    2.26425530837790177e-02   -2.70182883707360044e-08    3.90162462248539732e-02   -3.80361855103970533e-08    5.81003711119580379e-02   -4.50833553178733248e-08    4.77101251851574856e-02   -4.51763428220110416e-08    8.15848328587169269e-02   -5.30653891651190747e-08    1.13753439500614659e-01   -5.49716420659512914e-08    6.34220952725229048e-02   -5.01044449593519967e-08    1.02477892864266534e-01   -5.45790823838547199e-08    1.34377046059040633e-01   -5.53282495035028544e-08    8.07198035937401193e-02   -5.29687521536941379e-08    1.21591741868710954e-01   -5.51477452266743282e-08    1.51233727533321649e-01   -5.54490208011088149e-08
7        7.00000000000000067e-02    1.60297261978026261e-02   -2.09899668039967389e-08    2.84254486294213474e-02   -3.19622727111841812e-08    4.51877070622012586e-02   -4.13892387522799679e-08    1.91354053552656653e-02   -2.41226049350112318e-08    3.35117585816219962e-02   -3.53930878328824836e-08    5.16994420466111229e-02   -4.38082676269160040e-08    2.24127723751739207e-02   -2.71393476086130717e-08    3.86780275262111964e-02   -3.83415142969706818e-08    5.77510189413597969e-02   -4.55895317615337056e-08    4.66319324527777260e-02   -4.58535645836186459e-08    8.02534140477774993e-02   -5.43333126319169406e-08    1.12623991980915106e-01   -5.64397007568279798e-08    6.19887205611080738e-02   -5.10680610884486435e-08    1.01060294558830477e-01   -5.59956257187347231e-08    1.33302278306524996e-01   -5.68317508274198683e-08    7.90177195024725637e-02   -5.41805498765315569e-08    1.20206786758128709e-01   -5.66276161090116639e-08    1.50275939654759882e-01   -5.69648199717428582e-08
8        8.00000000000000017e-02    1.58690071308946606e-02   -2.10596479127455264e-08    2.81658905307722134e-02   -3.21572527844688924e-08    4.48602128634859043e-02   -4.17801988394854580e-08    1.89426752750066658e-02   -2.42153027554728372e-08    3.32121640920734693e-02   -3.56411728117353405e-08    5.13546556699573942e-02   -4.42625995985443627e-08    2.21863314193100243e-02   -2.72588830188368698e-08    3.83429971943139644e-02   -3.86450180555865822e-08    5.74023431278658375e-02   -4.60969874713275973e-08    4.55852352277273457e-02   -4.65158037338659618e-08    7.89314136819122131e-02   -5.56085850600830135e-08    1.11492952698282341e-01   -5.79334681779518982e-08    6.05870730904875185e-02   -5.20186830769731056e-08    9.96417756325121556e-02   -5.74316312425646986e-08    1.32222181505104619e-01   -5.83643610983693358e-08    7.73346606026611288e-02   -5.53904580533263642e-08    1.18813874302321168e-01   -5.81335686024053100e-08    1.49309957886608474e-01   -5.85109739457135313e-08
9        8.99999999999999967e-02    1.57106763576628054e-02   -2.11284120518964626e-08    2.79094839736389010e-02   -3.23504849993080346e-08    4.45348848173617098e-02   -4.21704879033691478e-08    1.87527910548440646e-02   -2.43068003669492705e-08    3.29158747740926835e-02   -3.58873490639458104e-08    5.10113797366910787e-02   -4.47171088836299693e-08    2.19631857909750594e-02   -2.73769076670323854e-08    3.80111727725514700e-02   -3.89466506094992717e-08    5.70544034404007680e-02   -4.66056229963338788e-08    4.45697100024667683e-02   -4.71628276726829193e-08    7.76198912620985337e-02   -5.68897854334153005e-08    1.10360603909888513e-01   -5.94527249092427538e-08    5.92181464946277755e-02   -5.29550387380416037e-08    9.82231709566226963e-02   -5.88862268591464461e-08    1.31136947614809179e-01   -5.99261616614332899e-08    7.56729429523280289e-02   -5.65963439542684429e-08    1.17413492967976735e-01   -5.96653159231598114e-08    1.48335934511928891e-01   -6.00876871871930551e-08
