row_uid,curve_id,dataset_id,split,kind,topology,source_path,source_row_number,source_row_sha256,selection_role,optimizer_input,vbg_v,vtg_v,vds_v,primary_axis_v,target_current_a_per_cm,w_um,l_um,temperature_k
train_t01_single_idvg_l10:000,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,2,5a356dec8798a1f2bcb11cb6fa450143de1a10a0f851a6b2696b2ba39b12ced7,scored,True,-1.0,0.0,0.01,-1.0,1.4396342722143404e-22,60.0,10.0,300.0
train_t01_single_idvg_l10:001,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,3,1e85790467aca48ccdc3d2c2188e20df5bfccd63d5bd1773af620af716eabed9,scored,True,-0.75,0.0,0.01,-0.75,7.28621303081562e-19,60.0,10.0,300.0
train_t01_single_idvg_l10:002,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,4,1aaf7ae2c32a5f804d5c0866d4f9e7a190bfd8f4e368bf4f1ec2bc6b8538c4fe,scored,True,-0.5,0.0,0.01,-0.5,1.1489829793277076e-14,60.0,10.0,300.0
train_t01_single_idvg_l10:003,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,5,39330f549740395f8431ee60ae4f9005902a8f2c57a347821f086bdfbf57fb18,scored,True,-0.475,0.0,0.01,-0.475,3.020301716978869e-14,60.0,10.0,300.0
train_t01_single_idvg_l10:004,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,6,caea3e3e2ae81220f5f5bbd46da4c90c01ca6890eaf4e1d956857283200a9888,scored,True,-0.45,0.0,0.01,-0.45,7.939207664878849e-14,60.0,10.0,300.0
train_t01_single_idvg_l10:005,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,7,80d5b23d66d411853f31d8e5211b5087ebf491482b4bc3ea1db4f30a7351dfbb,scored,True,-0.425,0.0,0.01,-0.425,2.0868566979241513e-13,60.0,10.0,300.0
train_t01_single_idvg_l10:006,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,8,0f988ade7fde1abe267e236f1ac0a5dbe31eeb45fbe90af54ea20ec24849d5e5,scored,True,-0.4,0.0,0.01,-0.4,5.485228773872765e-13,60.0,10.0,300.0
train_t01_single_idvg_l10:007,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,9,07b3fade62d6df366c4fafcbb0bee71a676b32d4479d973899cea411b9d81a6e,scored,True,-0.375,0.0,0.01,-0.375,1.4417207234939495e-12,60.0,10.0,300.0
train_t01_single_idvg_l10:008,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,10,f9fa05497718d2d24105cadeee91b20dc5d3ae1b563cbd17c74fcbc9cfc7fdaa,scored,True,-0.35,0.0,0.01,-0.35,3.789208143029197e-12,60.0,10.0,300.0
train_t01_single_idvg_l10:009,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,11,e702212559ca30b72bd71c3a1a0a02fb818d4b6ce2344e41f4512172c16dbac6,scored,True,-0.325,0.0,0.01,-0.325,9.958456145131035e-12,60.0,10.0,300.0
train_t01_single_idvg_l10:010,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,12,afedbc05b57191aa47aae1ad23879410ef2eb1c13d1f3bae1d30889544d9505a,scored,True,-0.3,0.0,0.01,-0.3,2.617005383010425e-11,60.0,10.0,300.0
train_t01_single_idvg_l10:011,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,13,2de99d2839af6ce0eaea98850f44b04400ee74e8d9ccf466eabf8645ac7700f3,scored,True,-0.275,0.0,0.01,-0.275,6.876607652832139e-11,60.0,10.0,300.0
train_t01_single_idvg_l10:012,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,14,461c3754f64bd3d1eb54381681c5f886cee9821af7a5b1e9f37305c2f7bd9dac,scored,True,-0.25,0.0,0.01,-0.25,1.8066684629015165e-10,60.0,10.0,300.0
train_t01_single_idvg_l10:013,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,15,e7aef59e8811b616277a506fa8390e781d160505935747c98eafe7ab70256ec8,scored,True,-0.225,0.0,0.01,-0.225,4.745378162136911e-10,60.0,10.0,300.0
train_t01_single_idvg_l10:014,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,16,d3fd0f465234cab5c97d6a4fe8507a0ead6339d1f4e27c220036327d05fbdbda,scored,True,-0.2,0.0,0.01,-0.2,1.2457960457274115e-09,60.0,10.0,300.0
train_t01_single_idvg_l10:015,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,17,5e85e3019bf9a95be077812dc9c3fb6cb6f9238d5f2c16fe4d637e2e5bd32381,scored,True,-0.175,0.0,0.01,-0.175,3.267070457543217e-09,60.0,10.0,300.0
train_t01_single_idvg_l10:016,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,18,c1da938a9067483d7004456539297489ba57d0ecd2bb3af5d6abfb5943a04990,scored,True,-0.15,0.0,0.01,-0.15,8.546642137537902e-09,60.0,10.0,300.0
train_t01_single_idvg_l10:017,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,19,d4cd65bac16c87df3636c56aef77707889ad8d861c8f85647e87c29a752902e6,scored,True,-0.125,0.0,0.01,-0.125,2.222527864249598e-08,60.0,10.0,300.0
train_t01_single_idvg_l10:018,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,20,9587baae0cc5a41de6bd9631609d76c4328a3b0e16f56fcda2745567a7018d94,scored,True,-0.1,0.0,0.01,-0.1,5.697155066181209e-08,60.0,10.0,300.0
train_t01_single_idvg_l10:019,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,21,6502da946b80a9b113e2843eed5ff9945c022f40a93a1aaac6cd81f282b6e5f9,scored,True,-0.075,0.0,0.01,-0.075,1.412789611105068e-07,60.0,10.0,300.0
train_t01_single_idvg_l10:020,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,22,5aed79f9effcbbf2442148c2090dfd31e79d01eb4bcc18dff0ded623ddefb0a9,scored,True,-0.05,0.0,0.01,-0.05,3.274565428440231e-07,60.0,10.0,300.0
train_t01_single_idvg_l10:021,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,23,f9aef524d8d8902bbbdfafbde0408de35ddac3d13fc6d15404d7b7f7dec8003d,scored,True,-0.025,0.0,0.01,-0.025,6.796881577291168e-07,60.0,10.0,300.0
