case_id,vin_fraction,vin_v,ngspice_vout_v,xyce_vout_v,absolute_vout_difference_v,ngspice_supply_current_a,xyce_supply_current_a,absolute_supply_current_difference_a
v100_t050_r0125,0.0,0.0,0.01722485372974463,0.01722485372974649,1.8596235662471372e-15,2.047561121630101e-08,2.0475611216300596e-08,4.1359030627651384e-22
v100_t050_r0125,0.01,0.001,0.01704499334264955,0.017046337176435757,1.3438337862076155e-06,2.055251454646263e-08,2.055201475772541e-08,4.997887372217792e-13
v100_t050_r0125,0.02,0.002,0.01686917537104014,0.0168704814818323,1.3061107921596982e-06,2.062791383266643e-08,2.062742574658862e-08,4.880860778108736e-13
v100_t050_r0125,0.03,0.003,0.01669595982571426,0.01669724656855679,1.2867428425301919e-06,2.070233776911604e-08,2.0701854812961942e-08,4.829561540989481e-13
v100_t050_r0125,0.04,0.004,0.01652532542182212,0.016526592731663528,1.2673098414087147e-06,2.077579036169804e-08,2.0775312659461514e-08,4.777022365260529e-13
v100_t050_r0125,0.05,0.005000000000000001,0.01635723257225203,0.01635848063200858,1.2480597565492357e-06,2.084828247185579e-08,2.0847810053384845e-08,4.724184709447733e-13
v100_t050_r0125,0.06,0.006,0.01619164231395618,0.01619287130996057,1.228996004389027e-06,2.091982492417081e-08,2.0919357814587236e-08,4.671095835739619e-13
v100_t050_r0125,0.07,0.007000000000000001,0.01602851607326291,0.016029726197802626,1.2101245397168336e-06,2.099042858514905e-08,2.098996680399674e-08,4.617811523108647e-13
v100_t050_r0125,0.08,0.008,0.01586781568021279,0.01586900713089466,1.1914506818713755e-06,2.106010435118695e-08,2.1059647912745526e-08,4.564384414222355e-13
v100_t050_r0125,0.09,0.009,0.01570950337847451,0.015710676357662805,1.1729791882970908e-06,2.112886313832354e-08,2.1128412051896463e-08,4.5108642707774704e-13
v100_t050_r0125,0.1,0.010000000000000002,0.01555354183419462,0.015554696548479177,1.1547142845565878e-06,2.119671587255073e-08,2.1196270142742796e-08,4.4572980793459376e-13
v100_t050_r0125,0.11,0.011000000000000001,0.01539989414380072,0.015401030803494984,1.1366596942632978e-06,2.126367348067564e-08,2.126323310766046e-08,4.403730151794648e-13
v100_t050_r0125,0.12,0.012,0.01524852384081843,0.015249642659486027,1.1188186675968603e-06,2.132974688171403e-08,2.132931186149109e-08,4.3502022294109336e-13
v100_t050_r0125,0.13,0.013000000000000001,0.01509939490175918,0.015100496095768004,1.1011940088245104e-06,2.139494697879378e-08,2.1394517303435325e-08,4.296753584546522e-13
v100_t050_r0125,0.14,0.014000000000000002,0.01495247175113374,0.0149535555392365,1.0837881027590812e-06,2.145928465154796e-08,2.1458860309436044e-08,4.24342111915129e-13
v100_t050_r0125,0.15,0.015,0.01480771926564485,0.014808785868584586,1.066602939735553e-06,2.152277074897723e-08,2.1522351725031028e-08,4.1902394620166157e-13
v100_t050_r0125,0.16,0.016,0.01466510277760822,0.014666152417748577,1.0496401403568834e-06,2.158541608276222e-08,2.1585002358655748e-08,4.137241064728332e-13
v100_t050_r0125,0.17,0.017,0.01452458807765154,0.014525620978629524,1.0329009779846965e-06,2.164723142100621e-08,2.1646822975376754e-08,4.084456294575651e-13
v100_t050_r0125,0.18,0.018,0.01438614141673635,0.014387157803137653,1.0163864013028323e-06,2.170822748238973e-08,2.170782429103721e-08,4.031913525210159e-13
v100_t050_r0125,0.19,0.019000000000000003,0.01424972950754744,0.01425072960460277,1.0000970553300514e-06,2.176841493071847e-08,2.1768016966795904e-08,3.9796392256504513e-13
v100_t050_r0125,0.2,0.020000000000000004,0.01411531952529157,0.01411630355859284,9.84033301270476e-07,2.182780436984703e-08,2.1827411604042458e-08,3.9276580457133464e-13
v100_t050_r0125,0.21,0.021,0.01398287910794495,0.013983847303180783,9.681952358332052e-07,2.1886406338961e-08,2.188601873967109e-08,3.8759928991289925e-13
v100_t050_r0125,0.22,0.022000000000000002,0.013852376355988042,0.013853328938697321,9.525827092786432e-07,2.194423130820096e-08,2.1943848841696463e-08,3.824665044968528e-13
