route,case_id,vdd_v,v_top_load_v,v_top_load_over_vdd,wload_over_wdriver,vin_fraction,vin_v,vout_v,supply_current_a,static_power_w,finite
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.0,0.0,0.01722485372974463,2.047561121630101e-08,2.047561121630101e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.01,0.001,0.01704499334264955,2.055251454646263e-08,2.055251454646263e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.02,0.002,0.01686917537104014,2.062791383266643e-08,2.0627913832666434e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.03,0.003,0.01669595982571426,2.070233776911604e-08,2.0702337769116042e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.04,0.004,0.01652532542182212,2.077579036169804e-08,2.077579036169804e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.05,0.005000000000000001,0.01635723257225203,2.084828247185579e-08,2.084828247185579e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.06,0.006,0.01619164231395618,2.091982492417081e-08,2.091982492417081e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.07,0.007000000000000001,0.01602851607326291,2.099042858514905e-08,2.099042858514905e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.08,0.008,0.01586781568021279,2.106010435118695e-08,2.106010435118695e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.09,0.009,0.01570950337847451,2.112886313832354e-08,2.1128863138323543e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.1,0.010000000000000002,0.01555354183419462,2.119671587255073e-08,2.1196715872550733e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.11,0.011000000000000001,0.01539989414380072,2.126367348067564e-08,2.126367348067564e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.12,0.012,0.01524852384081843,2.132974688171403e-08,2.132974688171403e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.13,0.013000000000000001,0.01509939490175918,2.139494697879378e-08,2.139494697879378e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.14,0.014000000000000002,0.01495247175113374,2.145928465154796e-08,2.145928465154796e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.15,0.015,0.01480771926564485,2.152277074897723e-08,2.152277074897723e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.16,0.016,0.01466510277760822,2.158541608276222e-08,2.158541608276222e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.17,0.017,0.01452458807765154,2.164723142100621e-08,2.1647231421006213e-09,True
