route,case_id,dc_case_id,vdd_v,v_top_load_v,v_top_load_over_vdd,wload_over_wdriver,cload_f,point_count,input_low_sample_vout_v,input_high_sample_vout_v,tphl_s,tplh_s,average_supply_power_w,cycle_energy_j,peak_supply_power_w,fall_crossing_found,rise_crossing_found,extraction_status,qualified
ngspice,v100_t050_r0125_c0500,v100_t050_r0125,0.1,0.05,0.5,0.125,5e-13,601,0.016056066379926678,0.007793605509049878,,,2.29796275432329e-09,3.446944131484935e-15,2.4732388224412083e-09,False,False,missing_output_crossing,False
ngspice,v100_t050_r0125_c1000,v100_t050_r0125,0.1,0.05,0.5,0.125,1e-12,601,0.014223060177911235,0.008428732098855593,,,2.3170860325400845e-09,3.475629048810127e-15,2.4482935020742484e-09,False,False,missing_output_crossing,False
ngspice,v100_t050_r0250_c0500,v100_t050_r0250,0.1,0.05,0.5,0.25,5e-13,601,0.028442740497908656,0.014352413514699179,,,3.801387578013361e-09,5.702081367020043e-15,4.3493311642583995e-09,False,False,missing_output_crossing,False
ngspice,v100_t050_r0250_c1000,v100_t050_r0250,0.1,0.05,0.5,0.25,1e-12,601,0.025409547344851784,0.015412539757935054,,,3.8557418882288124e-09,5.783612832343219e-15,4.272186811357179e-09,False,False,missing_output_crossing,False
ngspice,v100_t050_r0500_c0500,v100_t050_r0500,0.1,0.05,0.5,0.5,5e-13,601,0.04544892801742293,0.02479628272891993,,,5.5663626401835414e-09,8.349543960275313e-15,6.959359635776437e-09,False,False,missing_output_crossing,False
ngspice,v100_t050_r0500_c1000,v100_t050_r0500,0.1,0.05,0.5,0.5,1e-12,601,0.041415670881346546,0.02626753952524089,,,5.676578294322065e-09,8.514867441483097e-15,6.772470122173899e-09,False,False,missing_output_crossing,False
ngspice,v100_t075_r0125_c0500,v100_t075_r0125,0.1,0.07500000000000001,0.75,0.125,5e-13,601,0.019102297745029976,0.009274070088722828,,,2.6785903958316488e-09,4.017885593747473e-15,2.910739824528725e-09,False,False,missing_output_crossing,False
ngspice,v100_t075_r0125_c1000,v100_t075_r0125,0.1,0.07500000000000001,0.75,0.125,1e-12,601,0.016904463787011364,0.010039081842911156,,,2.7038694788289714e-09,4.055804218243457e-15,2.877196979644286e-09,False,False,missing_output_crossing,False
ngspice,v100_t075_r0250_c0500,v100_t075_r0250,0.1,0.07500000000000001,0.75,0.25,5e-13,601,0.033424704739035124,0.016971121516814097,,,4.329432197430078e-09,6.494148296145117e-15,5.041034017230364e-09,False,False,missing_output_crossing,False
ngspice,v100_t075_r0250_c1000,v100_t075_r0250,0.1,0.07500000000000001,0.75,0.25,1e-12,601,0.029878763885331183,0.018236623953222154,,,4.398571889863245e-09,6.5978578347948684e-15,4.938449683847476e-09,False,False,missing_output_crossing,False
ngspice,v100_t075_r0500_c0500,v100_t075_r0500,0.1,0.07500000000000001,0.75,0.5,5e-13,601,0.05199278729702833,0.028958224298559387,1.6830208874723393e-08,5.281221560112164e-07,6.1320775559225965e-09,9.198116333883895e-15,7.863804461885245e-09,True,True,complete,False
ngspice,v100_t075_r0500_c1000,v100_t075_r0500,0.1,0.07500000000000001,0.75,0.5,1e-12,601,0.047620736816655275,0.030637508527240547,,,6.259667457810565e-09,9.389501186715847e-15,7.627175324597014e-09,False,False,missing_output_crossing,False
ngspice,v100_t100_r0125_c0500,v100_t100_r0125,0.1,0.1,1.0,0.125,5e-13,601,0.02229225851413661,0.010826150068532915,,,3.059974305940229e-09,4.589961458910344e-15,3.358231861129726e-09,False,False,missing_output_crossing,False
ngspice,v100_t100_r0125_c1000,v100_t100_r0125,0.1,0.1,1.0,0.125,1e-12,601,0.019709377991930063,0.011732140810969004,,,3.0923436641685704e-09,4.638515496252856e-15,3.314388068264105e-09,False,False,missing_output_crossing,False
ngspice,v100_t100_r0250_c0500,v100_t100_r0250,0.1,0.1,1.0,0.25,5e-13,601,0.038477226898284964,0.019690266069275996,,,4.8310686998909775e-09,7.246603049836466e-15,5.7267021497712556e-09,False,False,missing_output_crossing,False
ngspice,v100_t100_r0250_c1000,v100_t100_r0250,0.1,0.1,1.0,0.25,1e-12,601,0.034441522794274385,0.02117182187883266,,,4.915811353343595e-09,7.373717030015393e-15,5.594314738670085e-09,False,False,missing_output_crossing,False
ngspice,v100_t100_r0500_c0500,v100_t100_r0500,0.1,0.1,1.0,0.5,5e-13,601,0.05814085153889159,0.033171754986103474,6.253370963814491e-08,2.615614373802432e-07,6.626237714382176e-09,9.939356571573264e-15,8.707987277314034e-09,True,True,complete,True
ngspice,v100_t100_r0500_c1000,v100_t100_r0500,0.1,0.1,1.0,0.5,1e-12,601,0.05359506689967612,0.03502743252470275,6.690566209345097e-08,4.954384587368999e-07,6.7672126798222014e-09,1.0150819019733302e-14,8.420549999075872e-09,True,True,complete,False
ngspice,v200_t050_r0125_c0500,v200_t050_r0125,0.2,0.1,0.5,0.125,5e-13,601,0.04577123988580137,0.013471439701765708,,,1.1864926981002643e-08,1.7797390471503965e-14,1.381482526545494e-08,False,False,missing_output_crossing,False
ngspice,v200_t050_r0125_c1000,v200_t050_r0125,0.2,0.1,0.5,0.125,1e-12,601,0.0368182750027709,0.014172309526835335,,,1.2249689345814865e-08,1.8374534018722297e-14,1.3737161819174898e-08,False,False,missing_output_crossing,False
ngspice,v200_t050_r0250_c0500,v200_t050_r0250,0.2,0.1,0.5,0.25,5e-13,601,0.07759433860494601,0.024849586099618834,,,1.846037865223216e-08,2.7690567978348244e-14,2.424222829452812e-08,False,False,missing_output_crossing,False
ngspice,v200_t050_r0250_c1000,v200_t050_r0250,0.2,0.1,0.5,0.25,1e-12,601,0.06399237381788367,0.026016380435641574,,,1.941614655301804e-08,2.912421982952706e-14,2.400167533064958e-08,False,False,missing_output_crossing,False
ngspice,v200_t050_r0500_c0500,v200_t050_r0500,0.2,0.1,0.5,0.5,5e-13,601,0.1116346367497458,0.04307746610429489,2.5364915899495308e-08,4.15670174359926e-07,2.549792142626451e-08,3.8246882139396765e-14,3.850883331305396e-08,True,True,complete,True
ngspice,v200_t050_r0500_c1000,v200_t050_r0500,0.2,0.1,0.5,0.5,1e-12,601,0.0974030613922567,0.044597110522573126,,,2.686718963755039e-08,4.0300784456325584e-14,3.795952161482114e-08,False,False,missing_output_crossing,False
ngspice,v200_t075_r0125_c0500,v200_t075_r0125,0.2,0.15000000000000002,0.75,0.125,5e-13,601,0.058610087735552215,0.016951335089064854,,,1.434547141324489e-08,2.1518207119867336e-14,1.7117928958506207e-08,False,False,missing_output_crossing,False
ngspice,v200_t075_r0125_c1000,v200_t075_r0125,0.2,0.15000000000000002,0.75,0.125,1e-12,601,0.04668311029238644,0.017915274888047047,,,1.4898726022901008e-08,2.2348089034351514e-14,1.699851400717895e-08,False,False,missing_output_crossing,False
ngspice,v200_t075_r0250_c0500,v200_t075_r0250,0.2,0.15000000000000002,0.75,0.25,5e-13,601,0.09621479275730993,0.031193245333569045,,,2.161697108017166e-08,3.242545662025749e-14,2.95305182389226e-08,False,False,missing_output_crossing,False
ngspice,v200_t075_r0250_c1000,v200_t075_r0250,0.2,0.15000000000000002,0.75,0.25,1e-12,601,0.07962047637682132,0.03285931196025769,,,2.28520273421565e-08,3.427804101323475e-14,2.914654816799222e-08,False,False,missing_output_crossing,False
ngspice,v200_t075_r0500_c0500,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,5e-13,601,0.1321712163639159,0.05377093848138019,6.800005441124001e-08,2.0312931463810512e-07,2.878599416349812e-08,4.317899124524718e-14,4.542698257937884e-08,True,True,complete,True
ngspice,v200_t075_r0500_c1000,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,1e-12,601,0.11694788181676855,0.05594859280335344,8.192829366787727e-08,3.985453641800753e-07,3.023028020290331e-08,4.5345420304354965e-14,4.454872922721562e-08,True,True,complete,True
ngspice,v200_t100_r0125_c0500,v200_t100_r0125,0.2,0.2,1.0,0.125,5e-13,601,0.07222709004418829,0.02066417222972063,,,1.6761444811050766e-08,2.5142167216576147e-14,2.051839448297116e-08,False,False,missing_output_crossing,False
ngspice,v200_t100_r0125_c1000,v200_t100_r0125,0.2,0.2,1.0,0.125,1e-12,601,0.05722386428690122,0.021960888249787272,,,1.7508211895955633e-08,2.6262317843933452e-14,2.0340830809548803e-08,False,False,missing_output_crossing,False
ngspice,v200_t100_r0250_c0500,v200_t100_r0250,0.2,0.2,1.0,0.25,5e-13,601,0.11415677772414494,0.03797476484374556,3.1815136786392285e-08,4.420673326112474e-07,2.4491498450627623e-08,3.6737247675941437e-14,3.4766616146392744e-08,True,True,complete,True
ngspice,v200_t100_r0250_c1000,v200_t100_r0250,0.2,0.2,1.0,0.25,1e-12,601,0.09536012758667936,0.040292659620999614,,,2.596069571812726e-08,3.894104357719089e-14,3.4175390520563585e-08,False,False,missing_output_crossing,False
ngspice,v200_t100_r0500_c0500,v200_t100_r0500,0.2,0.2,1.0,0.5,5e-13,601,0.14989538849695214,0.0651386252201901,1.1254906450766865e-07,1.1025142065981155e-07,3.1472363228960767e-08,4.7208544843441155e-14,5.163335166687778e-08,True,True,complete,True
ngspice,v200_t100_r0500_c1000,v200_t100_r0500,0.2,0.2,1.0,0.5,1e-12,601,0.13501301704365162,0.0680692113439062,1.7409496056218412e-07,2.11341870409017e-07,3.283923825549964e-08,4.925885738324946e-14,5.032629839943954e-08,True,True,complete,True
xyce,v100_t050_r0125_c0500,v100_t050_r0125,0.1,0.05,0.5,0.125,5e-13,601,0.01607090743861626,0.007787069967733727,,,2.298061131687393e-09,3.4470916975310897e-15,2.4736268851407195e-09,False,False,missing_output_crossing,False
xyce,v100_t050_r0125_c1000,v100_t050_r0125,0.1,0.05,0.5,0.125,1e-12,601,0.014224000098857626,0.008427811230725524,,,2.3172229196098654e-09,3.475834379414798e-15,2.4487110669735545e-09,False,False,missing_output_crossing,False
xyce,v100_t050_r0250_c0500,v100_t050_r0250,0.1,0.05,0.5,0.25,5e-13,601,0.028469537057073325,0.01434142073618882,,,3.801645873738771e-09,5.7024688106081565e-15,4.350525163250196e-09,False,False,missing_output_crossing,False
xyce,v100_t050_r0250_c1000,v100_t050_r0250,0.1,0.05,0.5,0.25,1e-12,601,0.02541299569073271,0.015411434682736506,,,3.856135968664175e-09,5.784203952996263e-15,4.273503046608096e-09,False,False,missing_output_crossing,False
xyce,v100_t050_r0500_c0500,v100_t050_r0500,0.1,0.05,0.5,0.5,5e-13,601,0.04549202826453935,0.024780774547618394,,,5.566850135835189e-09,8.350275203752785e-15,6.962183901754861e-09,False,False,missing_output_crossing,False
xyce,v100_t050_r0500_c1000,v100_t050_r0500,0.1,0.05,0.5,0.5,1e-12,601,0.041426512861877166,0.026266447706990666,,,5.677429290263763e-09,8.516143935395644e-15,6.7759121300184645e-09,False,False,missing_output_crossing,False
xyce,v100_t075_r0125_c0500,v100_t075_r0125,0.1,0.07500000000000001,0.75,0.125,5e-13,601,0.019119759159828408,0.009266259770132049,,,2.6787177848424634e-09,4.018076677263695e-15,2.911262063251557e-09,False,False,missing_output_crossing,False
xyce,v100_t075_r0125_c1000,v100_t075_r0125,0.1,0.07500000000000001,0.75,0.125,1e-12,601,0.016905489138075904,0.010038171634211866,,,2.7040482044357224e-09,4.0560723066535834e-15,2.8777451000652373e-09,False,False,missing_output_crossing,False
xyce,v100_t075_r0250_c0500,v100_t075_r0250,0.1,0.07500000000000001,0.75,0.25,5e-13,601,0.03345590830332176,0.016958197520537552,,,4.329750780189347e-09,6.49462617028402e-15,5.042618055850462e-09,False,False,missing_output_crossing,False
xyce,v100_t075_r0250_c1000,v100_t075_r0250,0.1,0.07500000000000001,0.75,0.25,1e-12,601,0.029882825754696443,0.018235863928141572,,,4.399067509081145e-09,6.5986012636217166e-15,4.940133111100753e-09,False,False,missing_output_crossing,False
xyce,v100_t075_r0500_c0500,v100_t075_r0500,0.1,0.07500000000000001,0.75,0.5,5e-13,601,0.052041381555506395,0.028940836003822017,1.7150266129278433e-08,5.26289072508427e-07,6.13262344414663e-09,9.198935166219946e-15,7.867343925478566e-09,True,True,complete,False
xyce,v100_t075_r0500_c1000,v100_t075_r0500,0.1,0.07500000000000001,0.75,0.5,1e-12,601,0.04763398493536128,0.03063706619695964,,,6.260654564169548e-09,9.390981846254323e-15,7.631390373827088e-09,False,False,missing_output_crossing,False
xyce,v100_t100_r0125_c0500,v100_t100_r0125,0.1,0.1,1.0,0.125,5e-13,601,0.022312391255253423,0.010816994463889423,,,3.0601339704903204e-09,4.5902009557354804e-15,3.3589145632452678e-09,False,False,missing_output_crossing,False
xyce,v100_t100_r0125_c1000,v100_t100_r0125,0.1,0.1,1.0,0.125,1e-12,601,0.019710453394348758,0.011731319302835256,,,3.09256968688648e-09,4.63885453032972e-15,3.315084738790108e-09,False,False,missing_output_crossing,False
xyce,v100_t100_r0250_c0500,v100_t100_r0250,0.1,0.1,1.0,0.25,5e-13,601,0.03851284586391838,0.019675420856783282,,,4.831447022448147e-09,7.24717053367222e-15,5.728737097828474e-09,False,False,missing_output_crossing,False
xyce,v100_t100_r0250_c1000,v100_t100_r0250,0.1,0.1,1.0,0.25,1e-12,601,0.03444627083620556,0.021171598411759883,,,4.916412684194968e-09,7.374619026292452e-15,5.596395738855123e-09,False,False,missing_output_crossing,False
xyce,v100_t100_r0500_c0500,v100_t100_r0500,0.1,0.1,1.0,0.5,5e-13,601,0.05819416144566588,0.03315287019261402,6.314512355373272e-08,2.610291579668423e-07,6.626821999750022e-09,9.940232999625033e-15,8.712229427932117e-09,True,True,complete,True
xyce,v100_t100_r0500_c1000,v100_t100_r0500,0.1,0.1,1.0,0.5,1e-12,601,0.05361109472326216,0.035027587539077976,6.741496286010335e-08,4.980373382307418e-07,6.768309864502039e-09,1.0152464796753059e-14,8.425551324849081e-09,True,True,complete,False
