route,case_id,vdd_v,v_top_load_v,v_top_load_over_vdd,wload_over_wdriver,vin_fraction,vin_v,vout_v,supply_current_a,static_power_w,finite
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.0,0.0,0.01722485372974649,2.0475611216300596e-08,2.04756112163006e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.01,0.001,0.017046337176435757,2.055201475772541e-08,2.055201475772541e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.02,0.002,0.0168704814818323,2.062742574658862e-08,2.0627425746588623e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.03,0.003,0.01669724656855679,2.0701854812961942e-08,2.0701854812961945e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.04,0.004,0.016526592731663528,2.0775312659461514e-08,2.0775312659461516e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.05,0.005000000000000001,0.01635848063200858,2.0847810053384845e-08,2.0847810053384845e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.06,0.006,0.01619287130996057,2.0919357814587236e-08,2.091935781458724e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.07,0.007000000000000001,0.016029726197802626,2.098996680399674e-08,2.098996680399674e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.08,0.008,0.01586900713089466,2.1059647912745526e-08,2.1059647912745526e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.09,0.009,0.015710676357662805,2.1128412051896463e-08,2.1128412051896463e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.1,0.010000000000000002,0.015554696548479177,2.1196270142742796e-08,2.11962701427428e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.11,0.011000000000000001,0.015401030803494984,2.126323310766046e-08,2.126323310766046e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.12,0.012,0.015249642659486027,2.132931186149109e-08,2.132931186149109e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.13,0.013000000000000001,0.015100496095768004,2.1394517303435325e-08,2.1394517303435324e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.14,0.014000000000000002,0.0149535555392365,2.1458860309436044e-08,2.1458860309436044e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.15,0.015,0.014808785868584586,2.1522351725031028e-08,2.152235172503103e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.16,0.016,0.014666152417748577,2.1585002358655748e-08,2.158500235865575e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.17,0.017,0.014525620978629524,2.1646822975376754e-08,2.1646822975376756e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.18,0.018,0.014387157803137653,2.170782429103721e-08,2.170782429103721e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.19,0.019000000000000003,0.01425072960460277,2.1768016966795904e-08,2.1768016966795906e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.2,0.020000000000000004,0.01411630355859284,2.1827411604042458e-08,2.1827411604042457e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.21,0.021,0.013983847303180783,2.188601873967109e-08,2.188601873967109e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.22,0.022000000000000002,0.013853328938697321,2.1943848841696463e-08,2.1943848841696465e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.23,0.023000000000000003,0.013724717027006126,2.200091230519524e-08,2.200091230519524e-09,True
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,0.24,0.024,0.013597980590334818,2.2057219448558083e-08,2.2057219448558083e-09,True
