curve_id,dataset_id,split,kind,topology,point_count,scored_point_count,linear_nrmse,log_rmse_dec,maximum_abs_current_error_a_per_cm,maximum_target_current_a_per_cm,target_vth_proxy_v,model_vth_proxy_v,vth_absolute_error_v,target_gm_proxy_a_per_cm_v,model_gm_proxy_a_per_cm_v,gm_relative_error,sampled_prediction_monotonic,curve_acceptance_status
train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,51,51,0.05054548638929369,0.08308832673082664,3.2161890372565287e-06,3.8002708377239875e-05,0.2175349093826012,0.15956898135399716,0.057965928028604036,4.064951729942072e-05,4.030685797297659e-05,0.008429603823340272,True,PASS
train_t01_single_idvd_vgs_0p0,T01_D_B_IDVD,train,output,single_bottom_gate,5,3,0.04351154156555843,0.01987200541104375,3.219722080969061e-07,5.190756321362378e-06,,,,,,,True,PASS
holdout_t01_single_idvd_vgs_0p3,T01_D_B_IDVD,holdout,output,single_bottom_gate,5,3,0.13752868509826235,0.08204825911787733,3.4345832607519846e-05,0.00018944387581659394,,,,,,,True,PASS
train_t01_single_idvd_vgs_0p5,T01_D_B_IDVD,train,output,single_bottom_gate,5,3,0.08651023945944336,0.050742026784717155,4.563896957099074e-05,0.0003561717502476149,,,,,,,True,PASS
train_t01_single_idvd_vgs_1p0,T01_D_B_IDVD,train,output,single_bottom_gate,5,3,0.0826170844086635,0.043510156124648806,8.743060176186527e-05,0.0006652668981208667,,,,,,,True,PASS
train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,31,31,0.07758601448807348,0.11026976713119793,5.167318486875517e-06,2.629418093149221e-05,0.5208140027924738,0.5503327499326592,0.02951874714018543,3.5060611388478005e-05,2.462914145633558e-05,0.29752675492619973,True,PASS
holdout_t02_dual_secondary_0p0,T02_C_DG_TRANSFER,holdout,transfer,symmetric_dual_gate,31,31,0.10750051851261243,0.15981707924848462,8.576915966584648e-06,3.593724333278673e-05,0.26385685799760256,0.2503327499326584,0.01352410806494414,3.937599666287622e-05,2.462914145633535e-05,0.37451382711143505,True,PASS
train_t02_dual_secondary_p0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,31,31,0.13794843683344926,0.1037896828154823,1.1708656291779999e-05,4.484713653569497e-05,-0.040394653844726194,-0.04966725006734161,0.009272596222615413,3.899196816942476e-05,2.462914145633534e-05,0.3683534683522827,True,PASS
train_t03_dual_length_8,T03_P4_LENGTH_TRANSFER,train,transfer,symmetric_dual_gate,31,31,0.028779164967162686,0.12200163565112426,1.975644774563294e-06,4.1062900893966666e-05,0.22037890794055306,0.18002819069225973,0.04035071724829334,4.615772387024956e-05,3.9073974672819935e-05,0.15346833863260265,True,PASS
holdout_t03_dual_length_12,T03_P4_LENGTH_TRANSFER,holdout,transfer,symmetric_dual_gate,31,31,0.16236281160563093,0.22801847528178176,1.155888970472783e-05,3.194873822982398e-05,0.3047418022254981,0.35936279434484736,0.05462099211934923,3.440200527741121e-05,1.67749539962604e-05,0.5123844130308577,True,FAIL
train_t03_dual_idvd_vtg_0p3,T03_P3_V2_OUTPUT,train,output,symmetric_dual_gate,7,5,0.03265384339680964,0.016117865344013407,5.860060406567228e-06,0.00010113591855379847,,,,,,,True,PASS
holdout_t03_dual_idvd_vtg_0p5,T03_P3_V2_OUTPUT,holdout,output,symmetric_dual_gate,7,5,0.06412331019213185,0.0654768137334052,2.639197295898672e-05,0.00024920906228584637,,,,,,,True,PASS
train_t03_dual_idvd_vtg_1p0,T03_P3_V2_OUTPUT,train,output,symmetric_dual_gate,7,5,0.10855298783029578,0.11175010887068572,0.00011156142816814058,0.0005748690048001235,,,,,,,True,PASS
