curve_id,dataset_id,split,kind,topology,point_count,scored_point_count,linear_nrmse,log_rmse_dec,maximum_abs_current_error_a_per_cm,maximum_target_current_a_per_cm,target_vth_proxy_v,model_vth_proxy_v,vth_absolute_error_v,target_gm_proxy_a_per_cm_v,model_gm_proxy_a_per_cm_v,gm_relative_error,sampled_prediction_monotonic,curve_acceptance_status
train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,51,51,0.05690385322632483,0.09126147791510796,3.5390564435603913e-06,3.8002708377239875e-05,0.2175349093826012,0.15436267249715735,0.06317223688544385,4.064951729942072e-05,4.068127091722037e-05,0.0007811560852187729,True,PASS
train_t01_single_idvd_vgs_0p0,T01_D_B_IDVD,train,output,single_bottom_gate,5,3,0.04973294061674775,0.022876561246776915,3.651480188189771e-07,5.190756321362378e-06,,,,,,,True,PASS
holdout_t01_single_idvd_vgs_0p3,T01_D_B_IDVD,holdout,output,single_bottom_gate,5,3,0.14342390859383655,0.08745519149877884,3.458639728383511e-05,0.00018944387581659394,,,,,,,True,PASS
train_t01_single_idvd_vgs_0p5,T01_D_B_IDVD,train,output,single_bottom_gate,5,3,0.09405289076166787,0.05588599812473198,4.90298781450407e-05,0.0003561717502476149,,,,,,,True,PASS
train_t01_single_idvd_vgs_1p0,T01_D_B_IDVD,train,output,single_bottom_gate,5,3,0.08671905366702373,0.046158191014242435,9.126947769202791e-05,0.0006652668981208667,,,,,,,True,PASS
train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,31,31,0.06992396264602638,0.10972811257533327,4.756768235633213e-06,2.629418093149221e-05,0.5208140027924738,0.5419931460901969,0.02117914329772308,3.5060611388478005e-05,2.5072703566705357e-05,0.2848754607016061,True,PASS
holdout_t02_dual_secondary_0p0,T02_C_DG_TRANSFER,holdout,transfer,symmetric_dual_gate,31,31,0.10092490085560211,0.16042831092508122,8.14312830660794e-06,3.593724333278673e-05,0.26385685799760256,0.24199314609019792,0.02186371190740463,3.937599666287622e-05,2.5072703566705587e-05,0.36324904277675873,True,PASS
train_t02_dual_secondary_p0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,31,31,0.1312749897685501,0.10002154453348804,1.1274276631460408e-05,4.484713653569497e-05,-0.040394653844726194,-0.05800685390980208,0.017612200065075884,3.899196816942476e-05,2.5072703566705584e-05,0.3569777381392575,True,PASS
train_t03_dual_length_8,T03_P4_LENGTH_TRANSFER,train,transfer,symmetric_dual_gate,31,31,0.077333605428919,0.12520537997217795,6.7348747688796e-06,4.1062900893966666e-05,0.22037890794055306,0.1962313573035361,0.024147550637016957,4.615772387024956e-05,3.299936085544587e-05,0.2850739142118914,True,PASS
holdout_t03_dual_length_12,T03_P4_LENGTH_TRANSFER,holdout,transfer,symmetric_dual_gate,31,31,0.11612393695343,0.21130381018166317,8.562014305647165e-06,3.194873822982398e-05,0.3047418022254981,0.2955690652502404,0.009172736975257723,3.440200527741121e-05,1.997903440282148e-05,0.4192479699449391,True,PASS
train_t03_dual_idvd_vtg_0p3,T03_P3_V2_OUTPUT,train,output,symmetric_dual_gate,7,5,0.03507318707123018,0.018658499902079847,5.523405764448023e-06,0.00010113591855379847,,,,,,,True,PASS
holdout_t03_dual_idvd_vtg_0p5,T03_P3_V2_OUTPUT,holdout,output,symmetric_dual_gate,7,5,0.059531164627884665,0.057628841936605404,2.5565272463773755e-05,0.00024920906228584637,,,,,,,True,PASS
train_t03_dual_idvd_vtg_1p0,T03_P3_V2_OUTPUT,train,output,symmetric_dual_gate,7,5,0.1035864463531557,0.10553442687091796,0.00010661669987786635,0.0005748690048001235,,,,,,,True,PASS
