name,value,initial,lower,upper,unit,role,distance_to_lower,distance_to_upper,normalized_bound_distance,provenance
log_beta,-2.702921436295866,-3.0,-8.0,1.0,log10(A/cm/V^gamma),current scale coefficient,5.297078563704134,3.702921436295866,0.41143571514398514,deterministic M00 teaching-surrogate fit; not a physical parameter
vth_single_v,-0.0013497127593725346,0.2175,-0.5,1.0,V,single-gate control offset,0.4986502872406275,1.0013497127593725,0.332433524827085,deterministic M00 teaching-surrogate fit; not a physical parameter
vth_dual_v,-0.020009329011924523,0.132,-0.5,1.0,V,dual-gate control offset,0.47999067098807546,1.0200093290119245,0.319993780658717,deterministic M00 teaching-surrogate fit; not a physical parameter
eta_dg,0.5607792480485464,0.5,0.2,0.8,1,equal per-gate nominal control weight,0.3607792480485464,0.23922075195145365,0.39870125325242267,deterministic M00 teaching-surrogate fit; not a physical parameter
softplus_scale_v,0.04524296281804436,0.026,0.005,0.2,V,smooth subthreshold scale coefficient,0.04024296281804436,0.15475703718195566,0.2063741682976634,deterministic M00 teaching-surrogate fit; not a physical parameter
transport_exponent,1.7463435465688255,2.0,1.0,4.0,1,charge-power coefficient,0.7463435465688255,2.2536564534311747,0.2487811821896085,deterministic M00 teaching-surrogate fit; not a physical parameter
drain_coupling,1.1950646712215522,1.0,0.1,3.0,1,drain-side charge reduction coefficient,1.0950646712215522,1.8049353287784478,0.3776085073177766,deterministic M00 teaching-surrogate fit; not a physical parameter
lambda_per_v,3.6126856452896537e-32,0.1,0.0,20.0,1/V,sampled output modulation coefficient,3.6126856452896537e-32,20.0,1.8063428226448267e-33,deterministic M00 teaching-surrogate fit; not a physical parameter
log_gmin,-28.3983301041743,-18.0,-30.0,-8.0,log10(S/cm),numerical floor conductance coefficient,1.601669895825701,20.3983301041743,0.0728031770829864,deterministic M00 teaching-surrogate fit; not a physical parameter
length_exponent,1.7010130815319018,0.62,0.0,2.0,1,local 8-12 um current scaling coefficient,1.7010130815319018,0.2989869184680982,0.1494934592340491,deterministic M00 teaching-surrogate fit; not a physical parameter
length_vth_slope_v,-0.06863546717382345,-0.03,-0.3,0.3,V,local threshold shift per ln(L/Lref),0.23136453282617653,0.36863546717382345,0.38560755471029423,deterministic M00 teaching-surrogate fit; not a physical parameter
