row_index,row_uid,curve_id,split,kind,topology,selection_role,primary_axis_v,vds_v,ngspice_current_a_per_cm,xyce_current_a_per_cm,absolute_difference_a_per_cm,log_difference_dec
0,train_t01_single_idvg_l10:000,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-1.0,0.01,1.0208528919573316e-32,2.6579079934401808e-15,2.6579079934401808e-15,5.4245399432610331
1,train_t01_single_idvg_l10:001,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.75,0.01,1.0208528919573316e-32,6.0489167544345879e-13,6.0489167544345879e-13,7.7816776077610346
2,train_t01_single_idvg_l10:002,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.5,0.01,1.0208528919573316e-32,1.3721670256760029e-10,1.3721670256760029e-10,10.137406978655294
3,train_t01_single_idvg_l10:003,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.475,0.01,1.0208528919573316e-32,2.3581003664181593e-10,2.3581003664181593e-10,10.372562285769225
4,train_t01_single_idvg_l10:004,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.45,0.01,1.0208528919573316e-32,4.0505210798521018e-10,4.0505210798521018e-10,10.607510896683173
5,train_t01_single_idvg_l10:005,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.425,0.01,1.0208528919573316e-32,6.9530860376758489e-10,6.9530860376758489e-10,10.842177603390603
6,train_t01_single_idvg_l10:006,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.4,0.01,1.0208528919573316e-32,1.1925049618873182e-09,1.1925049618873182e-09,11.076460194769425
7,train_t01_single_idvg_l10:007,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.375,0.01,1.0208528919573316e-32,2.0427728227401951e-09,2.0427728227401951e-09,11.310220071323467
8,train_t01_single_idvg_l10:008,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.35,0.01,1.0208528919573316e-32,3.4935733185365197e-09,3.4935733185365197e-09,11.543269862089204
9,train_t01_single_idvg_l10:009,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.325,0.01,1.0208528919573316e-32,5.9615241934983682e-09,5.9615241934983682e-09,11.775357310780112
10,train_t01_single_idvg_l10:010,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.3,0.01,1.0208528919573316e-32,1.0142492970454861e-08,1.0142492970454861e-08,12.006144715376244
11,train_t01_single_idvg_l10:011,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.275,0.01,1.0208528919573316e-32,1.7186341191869104e-08,1.7186341191869104e-08,12.235183429374016
12,train_t01_single_idvg_l10:012,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.25,0.01,1.0208528919573316e-32,2.8965668020555967e-08,2.8965668020555967e-08,12.461883548864623
13,train_t01_single_idvg_l10:013,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.225,0.01,1.0208528919573316e-32,4.8470799779042178e-08,4.8470799779042178e-08,12.685480185738008
14,train_t01_single_idvg_l10:014,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.2,0.01,1.0208528919573316e-32,8.0352608346769067e-08,8.0352608346769067e-08,12.904999979073509
15,train_t01_single_idvg_l10:015,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.175,0.01,1.0208528919573316e-32,1.3159365052402472e-07,1.3159365052402472e-07,13.119234934802979
16,train_t01_single_idvg_l10:016,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.15,0.01,1.0208528919573316e-32,2.1219495476328748e-07,2.1219495476328748e-07,13.326735053719364
17,train_t01_single_idvg_l10:017,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.125,0.01,1.0208528919573316e-32,3.3561023642784358e-07,3.3561023642784358e-07,13.525835198748821
