route,metric_scope,curve_id,split,kind,topology,scored_point_count,audit_point_count,curve_count,linear_nrmse,log_rmse_dec,max_abs_model_error_a_per_cm,max_log_model_error_dec
ngspice,curve,holdout_t01_single_idvd_vgs_0p3,holdout,output,single_bottom_gate,3,2,1,0.70538115296603021,16.050989811619875,0.00022403027310042905,16.350306708298998
ngspice,curve,holdout_t02_dual_secondary_0p0,holdout,transfer,symmetric_dual_gate,31,0,1,0.50315077566430144,14.235016792062492,2.7794115026178793e-05,15.44395285051468
ngspice,curve,holdout_t03_dual_idvd_vtg_0p5,holdout,output,symmetric_dual_gate,5,2,1,0.55807244780331466,15.592706223534758,0.00022364378982207261,16.349556843114751
ngspice,curve,holdout_t03_dual_length_12,holdout,transfer,symmetric_dual_gate,31,0,1,0.49669666562132486,14.166632511027771,2.3386723924176812e-05,15.368969388918977
ngspice,curve,train_t01_single_idvd_vgs_0p0,train,output,single_bottom_gate,3,2,1,0.91829066958951422,14.673296809941762,4.8256083025434011e-06,14.683552067065548
ngspice,curve,train_t01_single_idvd_vgs_0p5,train,output,single_bottom_gate,3,2,1,0.68379076919223736,16.293105655061815,0.00040520162839265562,16.607671182000495
ngspice,curve,train_t01_single_idvd_vgs_1p0,train,output,single_bottom_gate,3,2,1,0.67662284280239682,16.552008425903391,0.00075653637581289462,16.878829814626243
ngspice,curve,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,51,0,1,0.3779044753849985,13.088632395184616,4.1541764820800267e-05,15.618484942744441
ngspice,curve,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,31,0,1,0.43656792758389901,13.105426770404833,2.1537412695858997e-05,15.333193530001829
ngspice,curve,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,31,0,1,0.5755795515282438,15.074340460840839,3.3572859904234559e-05,15.525988338201385
ngspice,curve,train_t03_dual_idvd_vtg_0p3,train,output,symmetric_dual_gate,5,2,1,0.61381038830340207,15.309211074226964,0.00010634206084389251,16.02670507242031
ngspice,curve,train_t03_dual_idvd_vtg_1p0,train,output,symmetric_dual_gate,5,2,1,0.53216075112706318,15.887248978231719,0.00046825230492225715,16.670479923821016
ngspice,curve,train_t03_dual_length_8,train,transfer,symmetric_dual_gate,31,0,1,0.51203713628905367,14.316822679578486,3.4328026125087066e-05,15.535648832041304
ngspice,aggregate_equal_curve_weight,__aggregate__,train,mixed,mixed,163,10,9,0.59186272353342317,14.922232583263824,0.00075653637581289462,16.878829814626243
ngspice,aggregate_equal_curve_weight,__aggregate__,holdout,mixed,mixed,70,4,4,0.56582526051374282,15.011336334561225,0.00022403027310042905,16.350306708298998
xyce,curve,holdout_t01_single_idvd_vgs_0p3,holdout,output,single_bottom_gate,3,2,1,0.27199401708443227,0.17106806467921307,0.00011768821225653669,0.32360163587868884
xyce,curve,holdout_t02_dual_secondary_0p0,holdout,transfer,symmetric_dual_gate,31,0,1,0.10092490085560339,0.16042831092508195,4.8111471404044259e-19,2.6645352591003757e-14
xyce,curve,holdout_t03_dual_idvd_vtg_0p5,holdout,output,symmetric_dual_gate,5,2,1,0.059531164627885672,0.057628841936613509,4.0657581468206416e-19,2.7533531010703882e-14
xyce,curve,holdout_t03_dual_length_12,holdout,transfer,symmetric_dual_gate,31,0,1,0.1161239369534311,0.21130381018166192,2.2022856628611809e-19,4.7961634663806763e-14
xyce,curve,train_t01_single_idvd_vgs_0p0,train,output,single_bottom_gate,3,2,1,0.50688594796745401,0.19341548247326157,3.0127157085679447e-06,0.21067114478504667
xyce,curve,train_t01_single_idvd_vgs_0p5,train,output,single_bottom_gate,3,2,1,0.23678045750979967,0.15916575960811744,0.00018155783857058341,0.25811433888574209
xyce,curve,train_t01_single_idvd_vgs_1p0,train,output,single_bottom_gate,3,2,1,0.1983670985891986,0.14709862954933653,0.00028828407089063855,0.20834989080522792
xyce,curve,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,51,0,1,0.088655302626236859,1.9438640577937585,1.3747649794621955e-05,5.8067687948581312
xyce,curve,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,31,0,1,0.069923962646026877,0.10972811257524162,2.1006417091906648e-19,1.5898393712632242e-12
xyce,curve,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,31,0,1,0.13127498976855204,0.10002154453348917,4.8111471404044259e-19,7.9936057773011271e-15
xyce,curve,train_t03_dual_idvd_vtg_0p3,train,output,symmetric_dual_gate,5,2,1,0.035073187071229257,0.018658499902079021,1.4907779871675686e-19,5.3290705182007514e-15
xyce,curve,train_t03_dual_idvd_vtg_1p0,train,output,symmetric_dual_gate,5,2,1,0.10358644635315679,0.10553442687092374,1.0842021724855044e-18,1.7763568394002505e-14
xyce,curve,train_t03_dual_length_8,train,transfer,symmetric_dual_gate,31,0,1,0.077333605428920205,0.12520537997218875,1.9651164376299768e-19,6.9277916736609768e-14
xyce,aggregate_equal_curve_weight,__aggregate__,train,mixed,mixed,163,10,9,0.16087566644006379,0.32252132147537738,0.00028828407089063855,5.8067687948581312
xyce,aggregate_equal_curve_weight,__aggregate__,holdout,mixed,mixed,70,4,4,0.13714350488033811,0.15010725693064261,0.00011768821225653669,0.32360163587868884
