route,observable,group,expected,actual,absolute_error,relative_error,gate_role
ngspice,v(lo_limit),three_argument_limit,-60,-15,45,0.75,classification
ngspice,v(lo_clamp),explicit_clamp,-60,-60.000000000000007,7.1054273576010019e-15,1.1842378929335003e-16,acceptance
ngspice,v(mid_limit),three_argument_limit,0.25,60.25,60,240,classification
ngspice,v(mid_clamp),explicit_clamp,0.25,0.25,0,0,acceptance
ngspice,v(hi_limit),three_argument_limit,60,135,75,1.25,classification
ngspice,v(hi_clamp),explicit_clamp,60,60.000000000000007,7.1054273576010019e-15,1.1842378929335003e-16,acceptance
ngspice,i(vsense),branch_sentinel,-0.001,-0.001,0,0,acceptance
ngspice,i(vorig0),original_candidate,-1.3013957176340081e-08,-6.1251173517439891e-35,1.3013957176340081e-08,1,classification
ngspice,i(vport0),portable_candidate,-1.3013957176340081e-08,-1.301395717634004e-08,4.1359030627651384e-23,3.1780518459707116e-15,acceptance
ngspice,i(vorig1),original_candidate,-1.3418627389324348e-06,-1.2250234703487979e-33,1.3418627389324348e-06,1,classification
ngspice,i(vport1),portable_candidate,-1.3418627389324348e-06,-1.3418627389324331e-06,1.6940658945086007e-21,1.2624733106877782e-15,acceptance
ngspice,i(vorig2),original_candidate,-2.8095138295335389e-06,-1.2250234703487979e-33,2.8095138295335389e-06,1,classification
ngspice,i(vport2),portable_candidate,-2.8095138295335389e-06,-2.809513829533538e-06,8.4703294725430034e-22,3.0148737420343377e-16,acceptance
xyce,v(lo_limit),three_argument_limit,-60,-60,0,0,classification
xyce,v(lo_clamp),explicit_clamp,-60,-60,0,0,acceptance
xyce,v(mid_limit),three_argument_limit,0.25,0.25,0,0,classification
xyce,v(mid_clamp),explicit_clamp,0.25,0.25,0,0,acceptance
xyce,v(hi_limit),three_argument_limit,60,60,0,0,classification
xyce,v(hi_clamp),explicit_clamp,60,60,0,0,acceptance
xyce,i(vsense),branch_sentinel,-0.001,-0.001,0,0,acceptance
xyce,i(vorig0),original_candidate,-1.3013957176340081e-08,-1.3013957176340058e-08,2.3161057151484775e-23,1.7797090337435983e-15,classification
xyce,i(vport0),portable_candidate,-1.3013957176340081e-08,-1.3013957176340058e-08,2.3161057151484775e-23,1.7797090337435983e-15,acceptance
xyce,i(vorig1),original_candidate,-1.3418627389324348e-06,-1.3418627389324333e-06,1.4823076576950256e-21,1.1046641468518059e-15,classification
xyce,i(vport1),portable_candidate,-1.3418627389324348e-06,-1.3418627389324333e-06,1.4823076576950256e-21,1.1046641468518059e-15,acceptance
xyce,i(vorig2),original_candidate,-2.8095138295335389e-06,-2.8095138295335363e-06,2.541098841762901e-21,9.0446212261030141e-16,classification
xyce,i(vport2),portable_candidate,-2.8095138295335389e-06,-2.8095138295335363e-06,2.541098841762901e-21,9.0446212261030141e-16,acceptance
