sweep,gate_voltage_v,fixed_other_gate_v,source_v,drain_v,center_channel_potential_v,solve_seconds
top_gate,-2.0,0.0,0.0,0.1,-0.9999999999999999,0.004135078999752295
top_gate,-1.0,0.0,0.0,0.1,-0.5,0.0031086389999472885
top_gate,0.0,0.0,0.0,0.1,3.94367987334319e-39,0.0044491829994512955
top_gate,1.0,0.0,0.0,0.1,0.5,0.003182477000336803
top_gate,2.0,0.0,0.0,0.1,1.0,0.003103295000073558
bottom_gate,-2.0,0.0,0.0,0.1,-1.0,0.0030741139999008738
bottom_gate,-1.0,0.0,0.0,0.1,-0.5,0.0032345409999834374
bottom_gate,0.0,0.0,0.0,0.1,3.9435824830999194e-39,0.004172472000391281
bottom_gate,1.0,0.0,0.0,0.1,0.49999999999999994,0.0033465599999544793
bottom_gate,2.0,0.0,0.0,0.1,1.0,0.00344802899962815
