mesh_level,stage_id,vgs_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
coarse,T01_A_STAGE_2,-1.0,0.01,-1.5052437967098639e-22,1.5052437967109648e-22,-9.031462780259183e-25,9.03146278026579e-25,1.1009680089801545e-34,7.314217214419526e-13,-0.9769319048287611,0.19373542017521142,0.008470280001347419,True
coarse,T01_A_STAGE_2,-0.5,0.01,-1.2022348185197688e-14,1.202234818519294e-14,-7.213408911118613e-17,7.213408911115763e-17,-4.748942649430491e-27,3.9500957519077227e-13,-0.476931905014861,81651403.92151769,0.009349523999844678,True
coarse,T01_A_STAGE_2,0.0,0.01,-1.235458390516602e-06,1.235458390516603e-06,-7.412750343099612e-09,7.412750343099618e-09,1.0587911840678754e-21,8.570027061980981e-16,0.002198991124526311,9058585907033768.0,0.008804663000773871,True
coarse,T01_A_STAGE_2,0.1,0.01,-4.619338754154459e-06,4.619338754154418e-06,-2.7716032524926754e-08,2.771603252492651e-08,-4.0657581468206416e-20,8.801602054328776e-15,0.03754230670684667,3.5329777602559572e+16,0.004243595998559613,True
coarse,T01_A_STAGE_2,0.2,0.01,-8.41492978533561e-06,8.414929785335686e-06,-5.048957871201366e-08,5.048957871201412e-08,7.623296525288703e-20,9.059251496754582e-15,0.05311521723650709,6.439648484852269e+16,0.0043042190009146,True
coarse,T01_A_STAGE_2,0.3,0.01,-1.194897344652782e-05,1.1948973446527943e-05,-7.169384067916692e-08,7.169384067916766e-08,1.2197274440461925e-19,1.0207801109480357e-14,0.0616070069938306,8.934226800087203e+16,0.0036056210010428913,True
coarse,T01_A_STAGE_2,0.5,0.01,-1.7875978850994906e-05,1.7875978850995357e-05,-1.0725587310596944e-07,1.0725587310597214e-07,4.506215279392878e-19,2.5208215544190836e-14,0.07042982773589626,1.2551700820423986e+17,0.003748625000298489,True
coarse,T01_A_STAGE_2,1.0,0.01,-2.7609767940764577e-05,2.7609767940764428e-05,-1.6565860764458746e-07,1.6565860764458659e-07,-1.4907779871675686e-19,5.399458591488203e-15,0.07876574861835714,1.7293131180135882e+17,0.0035868960003426764,True
fine,T01_A_STAGE_2,-1.0,0.01,-1.4393730276998216e-22,1.4393730277021347e-22,-8.63623816619893e-25,8.636238166212808e-25,2.3131377835480974e-34,1.607045386449176e-12,-0.9769319048287611,0.193733654960877,0.019143771998642478,True
fine,T01_A_STAGE_2,-0.5,0.01,-1.1487748527895133e-14,1.1487748527893323e-14,-6.89264911673708e-17,6.892649116735994e-17,-1.809646916577001e-27,1.5752842362302106e-13,-0.4769319050150263,81651433.18069263,0.026282053000613814,True
fine,T01_A_STAGE_2,0.0,0.01,-1.2324883699791554e-06,1.2324883699791723e-06,-7.394930219874933e-09,7.394930219875034e-09,1.6940658945086007e-20,1.3745086248053023e-14,0.0021923645933357577,9060563197780660.0,0.022525083000800805,True
fine,T01_A_STAGE_2,0.1,0.01,-4.846967876267741e-06,4.8469678762677804e-06,-2.9081807257606443e-08,2.9081807257606684e-08,3.9810548520952116e-20,8.213495434099449e-15,0.03760075049716299,3.5429644759056852e+16,0.011100612999143777,True
fine,T01_A_STAGE_2,0.2,0.01,-9.245197537947134e-06,9.245197537947333e-06,-5.5471185227682804e-08,5.5471185227683995e-08,1.9820570965750628e-19,2.1438774979546078e-14,0.05331185247518088,6.4931871807009176e+16,0.010928560001048027,True
fine,T01_A_STAGE_2,0.3,0.01,-1.3673428971089159e-05,1.3673428971089396e-05,-8.204057382653496e-08,8.204057382653638e-08,2.371692252312041e-19,1.734526326444275e-14,0.06194863117812196,9.060617632844821e+16,0.009437239001272246,True
fine,T01_A_STAGE_2,0.5,0.01,-2.1916326440886433e-05,2.191632644088681e-05,-1.314979586453186e-07,1.3149795864532085e-07,3.7608262858090935e-19,1.7159930045543335e-14,0.07093583476999778,1.2814847838503731e+17,0.009166960000584368,True
fine,T01_A_STAGE_2,1.0,0.01,-3.8085781475254156e-05,3.808578147525413e-05,-2.2851468885152493e-07,2.2851468885152477e-07,-2.710505431213761e-20,7.116843415632377e-16,0.07909518322772541,1.7546044362260813e+17,0.012054667000484187,True
