mesh_role,mesh_level,stage_id,vgs_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
production,interface_4x,T01_DC_EXTRACTION,-1.0,0.01,-1.4396342722160945e-22,1.4396342722143404e-22,-8.637805633296568e-25,8.637805633286043e-25,-1.7540726702970174e-34,1.2184154713105666e-12,-0.9769319048287611,0.1937336546825473,0.04210547999900882,True
production,interface_4x,T01_DC_EXTRACTION,-0.75,0.01,-7.286213030833286e-19,7.28621303081562e-19,-4.371727818499972e-21,4.3717278184893724e-21,-1.766559241489192e-30,2.424523183735626e-12,-0.7269319048287728,5154.264462323369,0.04522718400039594,True
production,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,-1.1489829793281339e-14,1.1489829793277076e-14,-6.893897875968803e-17,6.893897875966245e-17,-4.263004331814348e-27,3.710241499231898e-13,-0.4769319050150289,81651433.19362915,0.04333048199987388,True
production,interface_4x,T01_DC_EXTRACTION,-0.475,0.01,-3.020301716981413e-14,3.020301716978869e-14,-1.8121810301888478e-16,1.8121810301873214e-16,-2.543918647156719e-26,8.422730195641491e-13,-0.4519319053186741,214755833.18025357,0.019004027999471873,True
production,interface_4x,T01_DC_EXTRACTION,-0.45,0.01,-7.939207664877305e-14,7.939207664878849e-14,-4.763524598926383e-16,4.763524598927309e-16,1.543643019336476e-26,1.9443288102478822e-13,-0.4269319061173077,564840809.1753012,0.018893693999416428,True
production,interface_4x,T01_DC_EXTRACTION,-0.425,0.01,-2.0868565567664868e-13,2.0868566979241513e-13,-1.2521139340598922e-15,1.2521140187544908e-15,1.411576644603676e-20,6.764128298832434e-08,-0.4019319082178357,1485617747.6392365,0.01758265699754702,True
production,interface_4x,T01_DC_EXTRACTION,-0.4,0.01,-5.485228773869241e-13,5.485228773872765e-13,-3.2911372643215447e-15,3.291137264323659e-15,3.523999435803304e-25,6.424525905991039e-13,-0.3769319137425431,3907400729.1786547,0.018285975998878712,True
production,interface_4x,T01_DC_EXTRACTION,-0.375,0.01,-1.4417207234944251e-12,1.4417207234939495e-12,-8.650324340966552e-15,8.650324340963697e-15,-4.755884625396436e-25,3.298755818581272e-13,-0.35193192827335035,10277052400.6554,0.01947952900081873,True
production,interface_4x,T01_DC_EXTRACTION,-0.35,0.01,-3.7892081783197076e-12,3.789208143029197e-12,-2.2735249069918247e-14,2.273524885817518e-14,-3.5290510536535594e-20,9.313426150205576e-09,-0.3269319664914862,27030162058.144394,0.019526551997842034,True
production,interface_4x,T01_DC_EXTRACTION,-0.325,0.01,-9.958456145134937e-12,9.958456145131035e-12,-5.975073687080962e-14,5.975073687078621e-14,-3.901642928350707e-24,3.917919476159765e-13,-0.3019320670103556,71093105202.41245,0.01845136300107697,True
production,interface_4x,T01_DC_EXTRACTION,-0.3,0.01,-2.6170053830098415e-11,2.617005383010425e-11,-1.5702032298059048e-13,1.570203229806255e-13,5.8355007276201874e-24,2.229839023451845e-13,-0.2769323313860821,186983494308.06485,0.01841165999940131,True
production,interface_4x,T01_DC_EXTRACTION,-0.275,0.01,-6.876607652833876e-11,6.876607652832139e-11,-4.125964591700326e-13,4.1259645916992833e-13,-1.737079286361358e-23,2.526070082892545e-13,-0.2519330267066748,491780548827.2234,0.021541353002248798,True
production,interface_4x,T01_DC_EXTRACTION,-0.25,0.01,-1.8066684629017629e-10,1.8066684629015165e-10,-1.0840010777410577e-12,1.0840010777409099e-12,-2.4634472617594855e-23,1.3635303390434146e-13,-0.22693485531858404,1293360366846.5461,0.022882793000462698,True
production,interface_4x,T01_DC_EXTRACTION,-0.225,0.01,-4.745378161997697e-10,4.745378162136911e-10,-2.8472268971986184e-12,2.8472268972821466e-12,1.3921346311690887e-20,2.933664259419508e-11,-0.20193966357372461,3401073819818.911,0.023150037002778845,True
production,interface_4x,T01_DC_EXTRACTION,-0.2,0.01,-1.2457960457275356e-09,1.2457960457274115e-09,-7.474776274365213e-12,7.47477627436447e-12,-1.2407709188295415e-22,9.959663325989613e-14,-0.1769523013068324,8940823912742.299,0.019361196998943342,True
production,interface_4x,T01_DC_EXTRACTION,-0.175,0.01,-3.2670704575494526e-09,3.267070457543217e-09,-1.9602422745296716e-11,1.9602422745259302e-11,-6.235701047730999e-21,1.908652148386246e-12,-0.15198548072267168,23484750251616.92,0.019487723002384882,True
production,interface_4x,T01_DC_EXTRACTION,-0.15,0.01,-8.546642137508821e-09,8.546642137537902e-09,-5.127985282505293e-11,5.127985282522741e-11,2.908036161491424e-20,3.4025481758724542e-12,-0.1270723388534576,61556449366225.92,0.018631936000019778,True
production,interface_4x,T01_DC_EXTRACTION,-0.125,0.01,-2.22252786425114e-08,2.222527864249598e-08,-1.333516718550684e-10,1.3335167185497587e-10,-1.5421955340438648e-20,6.93892553092239e-13,-0.102298023500041,160466074627247.2,0.024202021999371937,True
production,interface_4x,T01_DC_EXTRACTION,-0.1,0.01,-5.6971550661818954e-08,5.697155066181209e-08,-3.4182930397091375e-10,3.4182930397087255e-10,-6.862290361739918e-21,1.2045117750917863e-13,-0.07787347266326412,412582299889360.5,0.022678739002003567,True
production,interface_4x,T01_DC_EXTRACTION,-0.075,0.01,-1.412789611105033e-07,1.412789611105068e-07,-8.476737666630199e-10,8.476737666630408e-10,3.494010907423989e-21,2.4731289641144893e-14,-0.05427670345056357,1026858476467785.8,0.02372822499819449,True
production,interface_4x,T01_DC_EXTRACTION,-0.05,0.01,-3.2745654284402286e-07,3.274565428440231e-07,-1.964739257064137e-09,1.9647392570641387e-09,2.6469779601696886e-22,8.083448072773796e-16,-0.03239592909324507,2389635475745962.0,0.023524421001638984,True
production,interface_4x,T01_DC_EXTRACTION,-0.025,0.01,-6.79688157729117e-07,6.796881577291168e-07,-4.078128946374702e-09,4.0781289463747006e-09,-2.117582368135751e-22,3.1155204692851103e-16,-0.013349814482711797,4979744253358527.0,0.022423624999646563,True
production,interface_4x,T01_DC_EXTRACTION,0.0,0.01,-1.2325117540658343e-06,1.2325117540658298e-06,-7.395070524395006e-09,7.395070524394979e-09,-4.446922973085077e-21,3.6080166849650554e-15,0.0021923299541789674,9060534649066730.0,0.024198468003305607,True
