vgs_v,vds_v,production_abs_drain_current_a_per_cm,reference_abs_drain_current_a_per_cm,relative_current_difference,log10_current_difference_decades,production_center_channel_potential_v,reference_center_channel_potential_v,center_channel_potential_difference_v
-1.0,0.01,1.4396342722143404e-22,1.4396473314773006e-22,9.07115421576269e-06,3.939570088817845e-06,-0.9769319048287611,-0.9769319048287611,0.0
-0.75,0.01,7.28621303081562e-19,7.286438476105342e-19,3.094039570378688e-05,1.3437451002573653e-05,-0.7269319048287728,-0.7269319048287728,0.0
-0.5,0.01,1.1489829793277076e-14,1.1489933827912953e-14,9.054415581076811e-06,3.932300526088284e-06,-0.4769319050150289,-0.4769319050150291,1.6653345369377348e-16
-0.475,0.01,3.020301716978869e-14,3.020329075128019e-14,9.058002777030147e-06,3.933858438998072e-06,-0.4519319053186741,-0.4519319053186745,3.885780586188048e-16
-0.45,0.01,7.939207664878849e-14,7.939279527753549e-14,9.051561221533712e-06,3.93106088303341e-06,-0.4269319061173077,-0.4269319061173086,8.881784197001252e-16
-0.425,0.01,2.0868566979241513e-13,2.0868754431104594e-13,8.982417407807479e-06,3.901031833564161e-06,-0.4019319082178357,-0.40193190821783814,2.4424906541753444e-15
-0.4,0.01,5.485228773872765e-13,5.485278413481356e-13,9.049606027216795e-06,3.93021174360797e-06,-0.3769319137425431,-0.3769319137425494,6.328271240363392e-15
-0.375,0.01,1.4417207234939495e-12,1.4417337674604352e-12,9.047416922668622e-06,3.929261019663954e-06,-0.35193192827335035,-0.351931928273367,1.6653345369377348e-14
-0.35,0.01,3.789208143029197e-12,3.789242454358762e-12,9.054931158028911e-06,3.932524439420604e-06,-0.3269319664914862,-0.32693196649152995,4.374278717023117e-14
-0.325,0.01,9.958456145131035e-12,9.958546207118978e-12,9.043688312496309e-06,3.9276416909928e-06,-0.3019320670103556,-0.3019320670104707,1.1513012765362873e-13
-0.3,0.01,2.617005383010425e-11,2.6170290450075748e-11,9.041549307579956e-06,3.926712723867354e-06,-0.2769323313860821,-0.27693233138638484,3.027578188152802e-13
-0.275,0.01,6.876607652832139e-11,6.876669811802802e-11,9.03910938924462e-06,3.9256530719455895e-06,-0.2519330267066748,-0.25193302670747114,7.963629755636248e-13
-0.25,0.01,1.8066684629015165e-10,1.806684788287329e-10,9.036100773201542e-06,3.924346433592518e-06,-0.22693485531858404,-0.22693485532067842,2.0943802248041266e-12
-0.225,0.01,4.745378162136911e-10,4.745421022044481e-10,9.031845092512857e-06,3.9224981982499685e-06,-0.20193966357372461,-0.20193966357923288,5.508260514375252e-12
-0.2,0.01,1.2457960457274115e-09,1.2458072889112522e-09,9.024817835646355e-06,3.919446273314975e-06,-0.1769523013068324,-0.17695230132131812,1.4485718180523577e-11
-0.175,0.01,3.267070457543217e-09,3.2670998964898835e-09,9.010727433899343e-06,3.913326834137365e-06,-0.15198548072267168,-0.15198548076075993,3.808825477236155e-11
-0.15,0.01,8.546642137537902e-09,8.546718877222035e-09,8.978847349006747e-06,3.89948136358953e-06,-0.1270723388534576,-0.1270723389535553,1.0009770790020411e-10
-0.125,0.01,2.222527864249598e-08,2.22254764828976e-08,8.901514519809403e-06,3.8658958425585865e-06,-0.102298023500041,-0.10229802376266323,2.62622229518783e-10
-0.1,0.01,5.697155066181209e-08,5.6972046826347314e-08,8.708911876295751e-06,3.7822488403449483e-06,-0.07787347266326412,-0.0778734733477579,6.844937811001373e-10
-0.075,0.01,1.412789611105068e-07,1.412801244147221e-07,8.234025982967396e-06,3.5760067707002463e-06,-0.05427670345056357,-0.05427670518482945,1.73426588367942e-09
-0.05,0.01,3.274565428440231e-07,3.2745887728368663e-07,7.128955192408761e-06,3.0960769370480534e-06,-0.03239592909324507,-0.032395933033650584,3.9404055157676865e-09
-0.025,0.01,6.796881577291168e-07,6.796914597676817e-07,4.8581433787956855e-06,2.10986998716578e-06,-0.013349814482711797,-0.013349820841558195,6.3588463973529574e-09
0.0,0.01,1.2325117540658298e-06,1.2325129239684312e-06,9.492010823039687e-07,4.1223298818948706e-07,0.0021923299541789674,0.0021923282250442644,1.729134703042784e-09
0.025,0.01,1.9684998969818886e-06,1.968490635494099e-06,4.704845452907542e-06,2.043293225284515e-06,0.014408333858874255,0.014408360146396446,2.628752219027697e-08
0.05,0.01,2.8429456554713332e-06,2.842911866866385e-06,1.1885068883785603e-05,5.161650506124715e-06,0.023956637659065434,0.023956735542754324,9.788368889040999e-08
0.075,0.01,3.8123876142556255e-06,3.812310383638585e-06,2.025780819133911e-05,8.797943427119037e-06,0.03151494902877354,0.03151517927582245,2.30247048912946e-07
0.1,0.01,4.844135552338161e-06,4.843992659105429e-06,2.9498190376474613e-05,1.2811090258857405e-05,0.03760935514542215,0.03760978991547347,4.347700513218644e-07
0.125,0.01,5.915463943365446e-06,5.915231317216001e-06,3.932508957413361e-05,1.707900522163186e-05,0.04261394688933297,0.04261466414601205,7.172566790850099e-07
0.15,0.01,7.010740648763861e-06,7.01039359437638e-06,4.950324150729407e-05,2.1499516775769223e-05,0.04679061162274626,0.04679169073993118,1.07911718492254e-06
0.175,0.01,8.119053455514625e-06,8.118567628960985e-06,5.983783162685342e-05,2.5988017625877546e-05,0.05032486190733331,0.050326380548381636,1.5186410483244983e-06
0.2,0.01,9.232616560278914e-06,9.231968722219097e-06,7.01684138605253e-05,3.047482414153535e-05,0.05335089065871351,0.053352922731434695,2.0320727211822764e-06
0.225,0.01,1.0345754808769341e-05,1.034492338792612e-05,8.0363478411051e-05,3.4902817694693056e-05,0.05596798928708962,0.055970603726082244,2.614438992624979e-06
0.25,0.01,1.1454257140732251e-05,1.145322264056355e-05,9.031578006250234e-05,3.922541627332521e-05,0.05825121266351336,0.0582544728118496,3.260148336244051e-06
0.275,0.01,1.2554957358367043e-05,1.2553702636583522e-05,9.99383548431082e-05,4.3404844979555435e-05,0.06025839298388962,0.06026235638741442,3.963403524799569e-06
0.3,0.01,1.3645454981973562e-05,1.3643965428454695e-05,0.00010916114712439789,4.741067158331447e-05,0.062034847234010225,0.062039565705192354,4.718471182128814e-06
0.325,0.01,1.4723923899111031e-05,1.4722187533618572e-05,0.00011792817623594694,5.1218576316180986e-05,0.06361660925564036,0.06362212910263748,5.519846997120714e-06
0.35,0.01,1.5788977373151794e-05,1.5786984880400732e-05,0.00012619517426442898,5.4809326234916966e-05,0.06503269936849954,0.06503906171643502,6.362347935481849e-06
0.375,0.01,1.6839570226567458e-05,1.6837314942869633e-05,0.00013392762804992662,5.8167925069518844e-05,0.06630675223068896,0.06631399338600893,7.241155319970272e-06
0.4,0.01,1.7874926238777034e-05,1.787240410165298e-05,0.00014109916261270469,6.12829113091351e-05,0.0674582071956294,0.0674663590217969,8.151826167507314e-06
0.425,0.01,1.8894483118975373e-05,1.8891692588823968e-05,0.00014769020850337504,6.414577955293765e-05,0.06850319402342209,0.06851228430842295,9.09028500085951e-06
0.45,0.01,1.989785004737032e-05,1.9894792008415922e-05,0.000153686903213983,6.675050347748623e-05,0.06945520223127116,0.06946525503572443,1.0052804453264397e-05
0.475,0.01,2.0884774417710973e-05,2.088145206395536e-05,0.00015908018392555697,6.909314187986126e-05,0.0703255939823775,0.07033662996254125,1.1035980163748293e-05
0.5,0.01,2.185511545854263e-05,2.1851534169256098e-05,0.00016386503623487176,7.117151243463127e-05,0.07112400196252018,0.07113603866599989,1.2036703479711974e-05
0.525,0.01,2.2808823092092458e-05,2.280499030043348e-05,0.000168039869637374,7.298492048324334e-05,0.07185864145672768,0.07187169359085716,1.3052134129470927e-05
0.55,0.01,2.3745920844987868e-05,2.3741845902588205e-05,0.00017160599608934138,7.453393258138874e-05,0.07253655756393429,0.07255063723805795,1.4079674123659847e-05
0.575,0.01,2.4666491936367426e-05,2.4662185976120194e-05,0.0001745671925436274,7.582018649365807e-05,0.07316382278923408,0.07317893973278812,1.5116943554036033e-05
0.6,0.01,2.557066788670198e-05,2.55661436855105e-05,0.00017692933213652777,7.684623101056332e-05,0.07374569626186998,0.07376185802045371,1.616175858372426e-05
0.7,0.01,2.902725974192924e-05,2.9022018525529314e-05,0.00018056187344325032,7.842410569303127e-05,0.07570260185647976,0.07572298047039938,2.037861391962492e-05
0.8,0.01,3.223944525686692e-05,3.2233788963573856e-05,0.00017544635920370525,7.620207055492045e-05,0.07721316953278672,0.07723775033397227,2.458080118555861e-05
0.9,0.01,3.522508862349955e-05,3.52193653479035e-05,0.00016247725185956582,7.056870697752515e-05,0.0784111471086392,0.07843983715602373,2.869004738453862e-05
1.0,0.01,3.8002708377239875e-05,3.7997287518224915e-05,0.00014264401792495434,6.195392864505322e-05,0.07938253506837781,0.07941518305215879,3.264798378098399e-05
