mesh_role,mesh_level,curve_id,stage_id,vgs_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
production,interface_4x,interface_4x_vgs_0p000,T01_A_STAGE_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e+16,0.0062525159992219415,True
production,interface_4x,interface_4x_vgs_0p000,T01_A_STAGE_3,0.0,0.01,-1.232511754065832e-06,1.2325117540658337e-06,-7.395070524394992e-09,7.395070524395002e-09,1.6940658945086007e-21,1.374482546653355e-15,0.0021923299541789665,9060534649066728.0,0.022836356998595875,True
production,interface_4x,interface_4x_vgs_0p000,T01_A_STAGE_3,0.0,0.05,-4.039328969169733e-06,4.039328969169728e-06,-2.4235973815018398e-08,2.4235973815018365e-08,-5.082197683525802e-21,1.2581787030261185e-15,0.007615550292724535,6725945502259360.0,0.02819672899931902,True
production,interface_4x,interface_4x_vgs_0p000,T01_A_STAGE_3,0.0,0.1,-4.9901861254658745e-06,4.990186125465876e-06,-2.9941116752795245e-08,2.994111675279526e-08,1.6940658945086007e-21,3.3947950074716807e-16,0.009621473361379342,5858784888354878.0,0.025443435999477515,True
production,interface_4x,interface_4x_vgs_0p000,T01_A_STAGE_3,0.0,0.2,-5.190756321362376e-06,5.190756321362378e-06,-3.1144537928174257e-08,3.114453792817427e-08,2.541098841762901e-21,4.895430809003876e-16,0.010057762985827914,5669926821786086.0,0.03350771400073427,True
production,interface_4x,interface_4x_vgs_0p300,T01_A_STAGE_3,0.3,0.0,8.204782812161758e-20,2.2441845460684357e-20,4.922869687297055e-22,1.3465107276410615e-22,1.0448967358230193e-19,1.2735215053763438,0.05739071259794909,9.207071970512742e+16,0.005742060999182286,True
production,interface_4x,interface_4x_vgs_0p300,T01_A_STAGE_3,0.3,0.01,-1.3645454981973769e-05,1.3645454981973548e-05,-8.187272989184261e-08,8.18727298918413e-08,-2.202285662861181e-19,1.6139334787813927e-14,0.06203484723401023,9.090887421217731e+16,0.018012851000094088,True
production,interface_4x,interface_4x_vgs_0p300,T01_A_STAGE_3,0.3,0.05,-6.384711963409889e-05,6.384711963409881e-05,-3.8308271780459334e-07,3.8308271780459286e-07,-8.131516293641283e-20,1.2735917203849047e-15,0.0799378357699212,8.62984476157179e+16,0.022563544000149705,True
production,interface_4x,interface_4x_vgs_0p300,T01_A_STAGE_3,0.3,0.1,-0.00011664307015487881,0.00011664307015487906,-6.998584209292729e-07,6.998584209292743e-07,2.439454888092385e-19,2.0913843272928847e-15,0.1004022894537338,8.076295291265622e+16,0.022548523000295972,True
production,interface_4x,interface_4x_vgs_0p300,T01_A_STAGE_3,0.3,0.2,-0.00018944387581659418,0.00018944387581659394,-1.136663254899565e-06,1.1366632548995636e-06,-2.439454888092385e-19,1.2876926623133957e-15,0.13228739223288133,7.154180389667863e+16,0.02950234200034174,True
production,interface_4x,interface_4x_vgs_0p500,T01_A_STAGE_3,0.5,0.0,1.4909766615648872e-19,-1.486014091315591e-20,8.945859969389324e-22,-8.916084547893547e-23,1.3423752524333282e-19,0.9003328402366868,0.0662778088252037,1.2984289309161267e+17,0.005755064001277788,True
production,interface_4x,interface_4x_vgs_0p500,T01_A_STAGE_3,0.5,0.01,-2.1855115458542392e-05,2.1855115458542673e-05,-1.3113069275125436e-07,1.3113069275125605e-07,2.812149384884277e-19,1.2867236461041303e-14,0.07112400196252017,1.2908543012205066e+17,0.017811852998420363,True
production,interface_4x,interface_4x_vgs_0p500,T01_A_STAGE_3,0.5,0.05,-0.00010526670904777163,0.0001052667090477718,-6.316002542866298e-07,6.316002542866307e-07,1.6263032587282567e-19,1.5449359759030873e-15,0.0903872364245601,1.2598833505549885e+17,0.022212443000171334,True
production,interface_4x,interface_4x_vgs_0p500,T01_A_STAGE_3,0.5,0.1,-0.00020001490508982642,0.000200014905089826,-1.2000894305389585e-06,1.200089430538956e-06,-4.336808689942018e-19,2.1682427557058126e-15,0.11397494228335447,1.2199890987711104e+17,0.022978807999606943,True
production,interface_4x,interface_4x_vgs_0p500,T01_A_STAGE_3,0.5,0.2,-0.0003561717502476151,0.0003561717502476149,-2.1370305014856904e-06,2.1370305014856896e-06,-1.6263032587282567e-19,4.566064707820399e-16,0.1580198502468934,1.1391476327065691e+17,0.03408601499904762,True
production,interface_4x,interface_4x_vgs_1p000,T01_A_STAGE_3,1.0,0.0,-2.9290192404706726e-19,3.379165716833452e-19,-1.7574115442824034e-21,2.0274994301000714e-21,4.501464763627796e-20,0.1332123115834055,0.07439310805119406,1.7772528131911626e+17,0.006425529001717223,True
production,interface_4x,interface_4x_vgs_1p000,T01_A_STAGE_3,1.0,0.01,-3.8002708377237456e-05,3.800270837723992e-05,-2.2801625026342473e-07,2.2801625026343953e-07,2.4665599424045226e-18,6.4904846199903e-14,0.0793825350683778,1.7742484231065875e+17,0.021818083001562627,True
production,interface_4x,interface_4x_vgs_1p000,T01_A_STAGE_3,1.0,0.05,-0.0001864594622337941,0.00018645946223379113,-1.1187567734027648e-06,1.1187567734027468e-06,-2.9815559743351372e-18,1.5990370982603622e-14,0.09996627569793574,1.7615947756898262e+17,0.023371219998807646,True
production,interface_4x,interface_4x_vgs_1p000,T01_A_STAGE_3,1.0,0.1,-0.0003612710661579339,0.0003612710661579342,-2.1676263969476035e-06,2.1676263969476052e-06,2.710505431213761e-19,7.502691704706929e-16,0.12699007629206602,1.7443223024116982e+17,0.02338646199859795,True
production,interface_4x,interface_4x_vgs_1p000,T01_A_STAGE_3,1.0,0.2,-0.0006652668981208657,0.0006652668981208667,-3.9916013887251944e-06,3.9916013887252e-06,9.75781955236954e-19,1.4667526040949544e-15,0.18449747716678622,1.7048547494532077e+17,0.03548403199965833,True
reference,interface_8x,interface_8x_vgs_0p500,T01_A_STAGE_3,0.5,0.0,2.4658460172034567e-19,3.8142866332747964e-20,1.479507610322074e-21,2.288571979964878e-22,2.847274680530936e-19,1.1546847048300535,0.0662900568027023,1.299044237131966e+17,0.01250979800170171,True
reference,interface_8x,interface_8x_vgs_0p500,T01_A_STAGE_3,0.5,0.01,-2.1851534169256304e-05,2.1851534169256226e-05,-1.3110920501553783e-07,1.3110920501553735e-07,-7.792703114739563e-20,3.566204118383318e-15,0.07113603866599988,1.2914559316592474e+17,0.03588068400131306,True
reference,interface_8x,interface_8x_vgs_0p500,T01_A_STAGE_3,0.5,0.05,-0.0001052499668549947,0.00010524996685499436,-6.314998011299682e-07,6.314998011299662e-07,-3.3881317890172014e-19,3.2191286042732045e-15,0.09039828352492997,1.2604319195370424e+17,0.04386974800218013,True
reference,interface_8x,interface_8x_vgs_0p500,T01_A_STAGE_3,0.5,0.1,-0.00019998467352182325,0.00019998467352182276,-1.1999080411309394e-06,1.1999080411309367e-06,-4.87890977618477e-19,2.4396418436797663e-15,0.11398455315319118,1.2204755555665686e+17,0.04786240500106942,True
reference,interface_8x,interface_8x_vgs_0p500,T01_A_STAGE_3,0.5,0.2,-0.0003561246188716809,0.00035612461887168115,-2.1367477132300855e-06,2.1367477132300867e-06,2.710505431213761e-19,7.611115007441849e-16,0.15802663354440785,1.1395266445761466e+17,0.062324776998138987,True
reference,interface_8x,interface_8x_vgs_1p000,T01_A_STAGE_3,1.0,0.0,-8.822347109850451e-21,-2.1415558363296188e-19,-5.293408265910271e-23,-1.2849335017977712e-21,-2.229779307428123e-19,1.0411959705191294,0.07442599342842192,1.7795150296041658e+17,0.011449861998698907,True
reference,interface_8x,interface_8x_vgs_1p000,T01_A_STAGE_3,1.0,0.01,-3.799728751822762e-05,3.7997287518224854e-05,-2.279837251093657e-07,2.2798372510934914e-07,-2.7647155398380363e-18,7.276086585158951e-14,0.07941518305215879,1.7764934595921645e+17,0.03375642199898721,True
reference,interface_8x,interface_8x_vgs_1p000,T01_A_STAGE_3,1.0,0.05,-0.00018643303657312805,0.00018643303657312762,-1.1185982194387683e-06,1.1185982194387658e-06,-4.336808689942018e-19,2.3262018200518403e-15,0.09999713270857831,1.7637692416378906e+17,0.041740158001630334,True
reference,interface_8x,interface_8x_vgs_1p000,T01_A_STAGE_3,1.0,0.1,-0.0003612231951084637,0.0003612231951084638,-2.167339170650782e-06,2.167339170650783e-06,1.0842021724855044e-19,3.001474399117568e-16,0.12701704411841638,1.746404744643567e+17,0.0407337450014893,True
reference,interface_8x,interface_8x_vgs_1p000,T01_A_STAGE_3,1.0,0.2,-0.0006651956102619102,0.0006651956102619077,-3.991173661571461e-06,3.991173661571446e-06,-2.4936649967166602e-18,3.748769472087796e-15,0.18451348424862601,1.7067427268733792e+17,0.060762086999602616,True
