mesh_level,stage_id,vgs_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
fine_1x,T01_A_STAGE_2,0.0,0.01,-1.2324883699791643e-06,1.2324883699791802e-06,-7.394930219874986e-09,7.394930219875081e-09,1.588186776101813e-20,1.2886018357549626e-14,0.0021923645933357556,9060563197780662.0,0.006532774998049717,True
fine_1x,T01_A_STAGE_2,0.1,0.01,-4.846967876267773e-06,4.8469678762677694e-06,-2.9081807257606638e-08,2.9081807257606618e-08,-3.3881317890172014e-21,6.990208880084648e-16,0.03760075049716299,3.5429644759056852e+16,0.011364030000549974,True
fine_1x,T01_A_STAGE_2,0.2,0.01,-9.245197537947112e-06,9.245197537947341e-06,-5.547118522768268e-08,5.547118522768405e-08,2.286988957586611e-19,2.4737048053322376e-14,0.05331185247518088,6.4931871807009176e+16,0.012110181000025477,True
fine_1x,T01_A_STAGE_2,0.3,0.01,-1.3673428971088961e-05,1.3673428971089393e-05,-8.204057382653377e-08,8.204057382653636e-08,4.3198680309969317e-19,3.159315808880644e-14,0.06194863117812195,9.060617632844821e+16,0.010455691000970546,True
fine_1x,T01_A_STAGE_2,0.5,0.01,-2.1916326440886128e-05,2.1916326440886758e-05,-1.3149795864531677e-07,1.3149795864532056e-07,6.301925127571995e-19,2.875447737361322e-14,0.07093583476999779,1.2814847838503731e+17,0.009509801002423046,True
fine_1x,T01_A_STAGE_2,0.75,0.01,-3.0746743690082275e-05,3.07467436900827e-05,-1.8448046214049365e-07,1.8448046214049622e-07,4.2690460541616737e-19,1.3884546920455339e-14,0.0762343097031935,1.5717626551987283e+17,0.00995385300120688,True
fine_1x,T01_A_STAGE_2,1.0,0.01,-3.8085781475253404e-05,3.808578147525443e-05,-2.2851468885152043e-07,2.2851468885152657e-07,1.0232158002831948e-18,2.6866083894012033e-14,0.07909518322772538,1.7546044362260816e+17,0.009423634000995662,True
interface_2x,T01_A_STAGE_2,0.0,0.01,-1.2325070751207822e-06,1.2325070751207744e-06,-7.3950424507246934e-09,7.395042450724646e-09,-7.835054762102278e-21,6.357005911170502e-15,0.0021923368734101363,9060540356960060.0,0.010550953000347363,True
interface_2x,T01_A_STAGE_2,0.1,0.01,-4.844705894708185e-06,4.844705894708193e-06,-2.906823536824911e-08,2.906823536824916e-08,8.470329472543003e-21,1.7483681479602362e-15,0.03760762044742244,3.54389749430256e+16,0.015290793999156449,True
interface_2x,T01_A_STAGE_2,0.2,0.01,-9.235189307838964e-06,9.235189307838803e-06,-5.541113584703378e-08,5.541113584703282e-08,-1.6093625997831706e-19,1.7426417002812494e-14,0.053342842110087274,6.500965086230566e+16,0.012854754000727553,True
interface_2x,T01_A_STAGE_2,0.3,0.01,-1.365131913581261e-05,1.3651319135812356e-05,-8.190791481487566e-08,8.190791481487414e-08,-2.541098841762901e-19,1.861430984421594e-14,0.06201639872952548,9.08440214512073e+16,0.012945077996846521,True
interface_2x,T01_A_STAGE_2,0.5,0.01,-2.1868830456921923e-05,2.186883045692178e-05,-1.3121298274153154e-07,1.312129827415307e-07,-1.4230153513872246e-19,6.5070482584349254e-15,0.07107898865446237,1.2886068364906006e+17,0.01605432100041071,True
interface_2x,T01_A_STAGE_2,0.75,0.01,-3.068300174643082e-05,3.068300174643097e-05,-1.840980104785849e-07,1.8409801047858584e-07,1.5585406229479126e-19,5.079492012639217e-15,0.07642683770019126,1.5835272523305053e+17,0.011656391001451993,True
interface_2x,T01_A_STAGE_2,1.0,0.01,-3.802248453657501e-05,3.8022484536574454e-05,-2.2813490721945007e-07,2.2813490721944673e-07,-5.55653613398821e-19,1.4613816539640394e-14,0.0792826837394587,1.7673992288766912e+17,0.011697754998749588,True
interface_4x,T01_A_STAGE_2,0.0,0.01,-1.2325117540658379e-06,1.2325117540658265e-06,-7.395070524395027e-09,7.395070524394959e-09,-1.1434944787933055e-20,9.277757189910115e-15,0.002192329954178967,9060534649066728.0,0.017491628001153003,True
interface_4x,T01_A_STAGE_2,0.1,0.01,-4.844135552338147e-06,4.844135552338172e-06,-2.906481331402888e-08,2.9064813314029034e-08,2.541098841762901e-20,5.245721995818967e-15,0.03760935514542215,3.544133103662631e+16,0.026484490997972898,True
interface_4x,T01_A_STAGE_2,0.2,0.01,-9.23261656027907e-06,9.232616560278904e-06,-5.539569936167442e-08,5.539569936167342e-08,-1.6601845766184287e-19,1.7981734276293253e-14,0.05335089065871351,6.502986521729127e+16,0.021438181000121403,True
interface_4x,T01_A_STAGE_2,0.3,0.01,-1.3645454981973447e-05,1.364545498197355e-05,-8.187272989184068e-08,8.18727298918413e-08,1.0333801956502464e-19,7.573072477358963e-15,0.062034847234010225,9.090887421217733e+16,0.020768250000401167,True
