lower_refinement_mesh,higher_refinement_mesh,lower_refinement_factor,higher_refinement_factor,vgs_v,vds_v,lower_abs_drain_current_a_per_cm,higher_abs_drain_current_a_per_cm,relative_current_difference,log10_current_difference_decades,lower_center_channel_potential_v,higher_center_channel_potential_v,center_channel_potential_difference_v
fine_1x,interface_2x,1.0,2.0,0.0,0.01,1.2324883699791802e-06,1.2325070751207744e-06,1.5176498351876357e-05,6.591119503518428e-06,0.0021923645933357556,0.0021923368734101363,2.7719925619219127e-08
fine_1x,interface_2x,1.0,2.0,0.1,0.01,4.8469678762677694e-06,4.844705894708193e-06,0.00046667970931921817,0.00020272372977903075,0.03760075049716299,0.03760762044742244,6.869950259454083e-06
fine_1x,interface_2x,1.0,2.0,0.2,0.01,9.245197537947341e-06,9.235189307838803e-06,0.001082532857460215,0.0004703927002127628,0.05331185247518088,0.053342842110087274,3.098963490639345e-05
fine_1x,interface_2x,1.0,2.0,0.3,0.01,1.3673428971089393e-05,1.3651319135812356e-05,0.0016169927326777469,0.0007028194012717037,0.06194863117812195,0.06201639872952548,6.77675514035303e-05
fine_1x,interface_2x,1.0,2.0,0.5,0.01,2.1916326440886758e-05,2.186883045692178e-05,0.0021671507810893395,0.0009422029427588186,0.07093583476999779,0.07107898865446237,0.000143153884464578
fine_1x,interface_2x,1.0,2.0,0.75,0.01,3.07467436900827e-05,3.068300174643097e-05,0.0020731282731669656,0.0009012827298020554,0.0762343097031935,0.07642683770019126,0.00019252799699776002
fine_1x,interface_2x,1.0,2.0,1.0,0.01,3.808578147525443e-05,3.8022484536574454e-05,0.001661957198412724,0.0007223792885708846,0.07909518322772538,0.0792826837394587,0.0001875005117333156
interface_2x,interface_4x,2.0,4.0,0.0,0.01,1.2325070751207744e-06,1.2325117540658265e-06,3.796268097742043e-06,1.6487014162791525e-06,0.0021923368734101363,0.002192329954178967,6.919231169359025e-09
interface_2x,interface_4x,2.0,4.0,0.1,0.01,4.844705894708193e-06,4.844135552338172e-06,0.00011772486966526913,5.1130270989574456e-05,0.03760762044742244,0.03760935514542215,1.7346979997098777e-06
interface_2x,interface_4x,2.0,4.0,0.2,0.01,9.235189307838803e-06,9.232616560278904e-06,0.00027858092283125396,0.0001210030128975248,0.053342842110087274,0.05335089065871351,8.048548626238272e-06
interface_2x,interface_4x,2.0,4.0,0.3,0.01,1.3651319135812356e-05,1.364545498197355e-05,0.0004295668265070462,0.00018659858351099956,0.06201639872952548,0.062034847234010225,1.8448504484742945e-05
interface_2x,interface_4x,2.0,4.0,0.5,0.01,2.186883045692178e-05,2.1855115458542737e-05,0.0006271482330095447,0.0002724524599040379,0.07107898865446237,0.07112400196252015,4.501330805778414e-05
interface_2x,interface_4x,2.0,4.0,0.75,0.01,3.068300174643097e-05,3.066282397995231e-05,0.0006576203542735706,0.00028569484071905293,0.07642683770019126,0.0765038854301148,7.704772992353504e-05
interface_2x,interface_4x,2.0,4.0,1.0,0.01,3.8022484536574454e-05,3.8002708377239353e-05,0.0005201174930080498,0.00022594292068234267,0.0792826837394587,0.07938253506837786,9.98513289191677e-05
interface_4x,interface_8x,4.0,8.0,0.0,0.01,1.2325117540658265e-06,1.2325129239684306e-06,9.492010845375012e-07,4.122329890776655e-07,0.002192329954178967,0.002192328225044263,1.7291347039101457e-09
interface_4x,interface_8x,4.0,8.0,0.1,0.01,4.844135552338172e-06,4.843992659105433e-06,2.9498190377873403e-05,1.2811090260633762e-05,0.03760935514542215,0.03760978991547348,4.347700513288033e-07
interface_4x,interface_8x,4.0,8.0,0.2,0.01,9.232616560278904e-06,9.231968722219125e-06,7.016841385630518e-05,3.0474824138870815e-05,0.05335089065871351,0.05335292273143469,2.0320727211753375e-06
interface_4x,interface_8x,4.0,8.0,0.3,0.01,1.364545498197355e-05,1.3643965428454751e-05,0.00010916114711943203,4.741067158153811e-05,0.062034847234010225,0.06203956570519234,4.718471182114936e-06
interface_4x,interface_8x,4.0,8.0,0.5,0.01,2.1855115458542737e-05,2.1851534169256206e-05,0.00016386503623487094,7.117151243374309e-05,0.07112400196252015,0.07113603866599988,1.2036703479725852e-05
interface_4x,interface_8x,4.0,8.0,0.75,0.01,3.066282397995231e-05,3.0657333954265786e-05,0.00017904501196993773,7.776522265601216e-05,0.0765038854301148,0.07652637240671581,2.248697660101051e-05
interface_4x,interface_8x,4.0,8.0,1.0,0.01,3.8002708377239353e-05,3.799728751822518e-05,0.00014264401790427231,6.195392863617144e-05,0.07938253506837786,0.07941518305215875,3.264798378088685e-05
