family_id,primary_gate,secondary_gate,sweep_direction,sweep_index,mesh_level,stage_id,mode_id,primary_gate_v,fixed_secondary_gate_v,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
top_primary,top_gate,bottom_gate,forward,0,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,-0.5,-0.3,-0.3,-0.5,0.01,-3.80263174746544e-13,3.802631747464787e-13,-2.281579048479264e-15,2.2815790484788723e-15,-6.533030472678331e-26,1.7180286986855296e-13,-0.38911737992765144,2438848318.812522,0.04159172499930719,True
top_primary,top_gate,bottom_gate,forward,1,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,-0.45,-0.3,-0.3,-0.45,0.01,-9.53162391988617e-13,9.531624202190283e-13,-5.718974351931702e-15,5.7189745213141696e-15,2.8230411321192914e-20,2.961762940119462e-08,-0.36411738431783375,6414543072.658727,0.03536355400137836,True
top_primary,top_gate,bottom_gate,forward,2,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,-0.4,-0.3,-0.3,-0.4,0.01,-2.420551111586384e-12,2.4205511186451624e-12,-1.4523306669518303e-14,1.4523306711870973e-14,7.058778472860723e-21,2.916186490955697e-09,-0.3391173955854824,16871217720.7959,0.037035590001323726,True
top_primary,top_gate,bottom_gate,forward,3,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,-0.35,-0.3,-0.3,-0.35,0.01,-6.230953865413376e-12,6.230953865413727e-12,-3.7385723192480255e-14,3.738572319248236e-14,3.505824080547012e-25,5.6264645129325315e-14,-0.3141174248818128,44373805066.46003,0.04221178899751976,True
top_primary,top_gate,bottom_gate,forward,4,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,-0.3,-0.3,-0.3,-0.3,0.01,-1.6264038843620506e-11,1.6264038843614528e-11,-9.758423306172304e-14,9.758423306168717e-14,-5.977672395402739e-24,3.675392350496908e-13,-0.28911750205974934,116709410776.62202,0.043109890997584444,True
top_primary,top_gate,bottom_gate,forward,5,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,-0.25,-0.3,-0.3,-0.25,0.01,-4.305034654080668e-11,4.305034653376105e-11,-2.583020792448401e-13,2.5830207920256633e-13,-7.045627189694053e-21,1.6366017362985975e-10,-0.26411770805697515,306960550784.00714,0.04727989800448995,True
top_primary,top_gate,bottom_gate,forward,6,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,-0.2,-0.3,-0.3,-0.2,0.01,-1.1554028787613523e-10,1.1554028788316725e-10,-6.932417272568114e-13,6.932417272990035e-13,7.032017483678142e-21,6.08620387962753e-11,-0.23911826501459296,807333149427.6647,0.04445507399941562,True
top_primary,top_gate,bottom_gate,forward,7,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,-0.15,-0.3,-0.3,-0.15,0.01,-3.142849302861358e-10,3.142849302647695e-10,-1.885709581716815e-12,1.885709581588617e-12,-2.1366282017397843e-20,6.798379418938491e-11,-0.2141197897554483,2123272472426.7737,0.044075445002818014,True
top_primary,top_gate,bottom_gate,forward,8,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,-0.1,-0.3,-0.3,-0.1,0.01,-8.658782775410676e-10,8.658782775411904e-10,-5.195269665246406e-12,5.1952696652471425e-12,1.228363209641246e-22,1.4186326663943964e-13,-0.18912401365624404,5583561900360.546,0.04636114899767563,True
top_primary,top_gate,bottom_gate,forward,9,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,-0.05,-0.3,-0.3,-0.05,0.01,-2.413799429542222e-09,2.413799429556351e-09,-1.4482796577253331e-11,1.4482796577338106e-11,1.4129072043018266e-20,5.853457362700241e-12,-0.1641358435667689,14678607064901.502,0.041784578999795485,True
top_primary,top_gate,bottom_gate,forward,10,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.0,-0.3,-0.3,0.0,0.01,-6.798036727847632e-09,6.798036727848865e-09,-4.0788220367085794e-11,4.0788220367093194e-11,1.2333262933165643e-21,1.8142389379335282e-13,-0.13916929053575675,38555380994650.766,0.04417122499580728,True
top_primary,top_gate,bottom_gate,forward,11,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.05,-0.3,-0.3,0.05,0.01,-1.9287772026253707e-08,1.9287772026257463e-08,-1.1572663215752224e-10,1.1572663215754477e-10,3.755399980990746e-21,1.9470366903332957e-13,-0.114264473742467,101023499179912.8,0.043992610000714194,True
