fixed_secondary_gate_v,primary_gate_v,top_primary_vbg_v,top_primary_vtg_v,bottom_primary_vbg_v,bottom_primary_vtg_v,top_primary_abs_drain_current_a_per_cm,bottom_primary_abs_drain_current_a_per_cm,relative_current_difference,top_primary_center_channel_potential_v,bottom_primary_center_channel_potential_v,center_channel_potential_difference_v,top_primary_center_channel_electron_density_cm3,bottom_primary_center_channel_electron_density_cm3,center_density_relative_difference
-0.3,-0.5,-0.3,-0.5,-0.5,-0.3,3.802631747464787e-13,3.8026318879788047e-13,3.69517802320258e-08,-0.38911737992765144,-0.38911737992765144,0.0,2438848318.812522,2438848318.891345,3.23197998781002e-11
-0.3,-0.45,-0.3,-0.45,-0.45,-0.3,9.531624202190283e-13,9.531623991144696e-13,2.2141618544290827e-08,-0.36411738431783375,-0.36411738431783375,0.0,6414543072.658727,6414543072.570279,1.3788600341274367e-11
-0.3,-0.4,-0.3,-0.4,-0.4,-0.3,2.4205511186451624e-12,2.4205511115869478e-12,2.9159535523057403e-09,-0.3391173955854824,-0.3391173955854824,0.0,16871217720.7959,16871217720.7959,0.0
-0.3,-0.35,-0.3,-0.35,-0.35,-0.3,6.230953865413727e-12,6.230953865422125e-12,1.3478882843520893e-12,-0.3141174248818128,-0.3141174248818128,0.0,44373805066.46003,44373805066.45096,2.0443029584841341e-13
-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.6264038843614528e-11,1.626403884361388e-11,3.993264121352163e-14,-0.28911750205974934,-0.28911750205974934,0.0,116709410776.62202,116709410776.62202,0.0
-0.3,-0.25,-0.3,-0.25,-0.25,-0.3,4.305034653376105e-11,4.3050346547857645e-11,3.274443392367997e-10,-0.26411770805697515,-0.26411770805697515,0.0,306960550784.00714,306960550784.02893,7.09848569322534e-14
-0.3,-0.2,-0.3,-0.2,-0.2,-0.3,1.1554028788316725e-10,1.1554028787612207e-10,6.097591545228404e-11,-0.23911826501459296,-0.239118265014593,2.7755575615628914e-17,807333149427.6647,807333149427.6643,4.53605723683729e-16
-0.3,-0.15,-0.3,-0.15,-0.15,-0.3,3.142849302647695e-10,3.142849302718487e-10,2.2524677758078825e-11,-0.2141197897554483,-0.21411978975544832,2.7755575615628914e-17,2123272472426.7737,2123272472426.7734,1.1498318193753147e-16
-0.3,-0.1,-0.3,-0.1,-0.1,-0.3,8.658782775411904e-10,8.658782775427819e-10,1.8380129630557586e-12,-0.18912401365624404,-0.18912401365624404,0.0,5583561900360.546,5583561900360.564,3.3230915732843958e-15
-0.3,-0.05,-0.3,-0.05,-0.05,-0.3,2.413799429556351e-09,2.413799429530143e-09,1.0857561989995498e-11,-0.1641358435667689,-0.1641358435667689,0.0,14678607064901.502,14678607064901.432,4.7901343560130114e-15
-0.3,0.0,-0.3,0.0,0.0,-0.3,6.798036727848865e-09,6.79803672784799e-09,1.2873674019675874e-13,-0.13916929053575675,-0.13916929053575672,2.7755575615628914e-17,38555380994650.766,38555380994650.8,8.105224016418266e-16
-0.3,0.05,-0.3,0.05,0.05,-0.3,1.9287772026257463e-08,1.9287772026240492e-08,8.798547299312312e-13,-0.114264473742467,-0.11426447374246697,2.7755575615628914e-17,101023499179912.8,101023499179912.78,1.5466698468020228e-16
-0.3,0.1,-0.3,0.1,0.1,-0.3,5.4795936219161016e-08,5.47959362191591e-08,3.5021922309121324e-14,-0.08953521427163073,-0.08953521427163072,1.3877787807814457e-17,262872172924434.9,262872172924435.22,1.1887907210697068e-15
-0.3,0.15,-0.3,0.15,0.15,-0.3,1.5362256518591723e-07,1.5362256518591935e-07,1.3784318505376989e-14,-0.06529134562416458,-0.06529134562416458,0.0,671040660171906.8,671040660171906.6,1.8627783295274176e-16
-0.3,0.2,-0.3,0.2,0.2,-0.3,4.111591504808959e-07,4.111591504808765e-07,4.7125009003885474e-14,-0.0422790047788633,-0.04227900477886329,1.3877787807814457e-17,1631994540841887.8,1631994540841889.2,9.191207215841557e-16
-0.3,0.25,-0.3,0.25,0.25,-0.3,9.913384154986575e-07,9.91338415498653e-07,4.485776908835124e-15,-0.021835167911583016,-0.021835167911582985,3.122502256758253e-17,3589692591163018.0,3589692591163022.5,1.253589237997131e-15
-0.3,0.3,-0.3,0.3,0.3,-0.3,2.0345721951130514e-06,2.0345721951130615e-06,4.995839121101705e-15,-0.005273306769229157,-0.005273306769229149,7.806255641895632e-18,6790762243916133.0,6790762243916134.0,1.4725887375837717e-16
-0.3,0.35,-0.3,0.35,0.35,-0.3,3.5195696351103623e-06,3.519569635110371e-06,2.526969734437787e-15,0.007195379914897825,0.007195379914897823,1.734723475976807e-18,1.0969154804403766e+16,1.0969154804403766e+16,0.0
-0.3,0.4,-0.3,0.4,0.4,-0.3,5.3015795563180085e-06,5.301579556318043e-06,6.550566763831649e-15,0.01636073681426477,0.016360736814264747,2.42861286636753e-17,1.5604720161605046e+16,1.560472016160504e+16,3.8449904502375015e-16
-0.3,0.45,-0.3,0.45,0.45,-0.3,7.235406713421363e-06,7.235406713421372e-06,1.287745497777477e-15,0.023180823956883454,0.023180823956883444,1.0408340855860843e-17,2.0286690525543956e+16,2.028669052554396e+16,1.9717360971043578e-16
-0.3,0.5,-0.3,0.5,0.5,-0.3,9.222050396344935e-06,9.22205039634492e-06,1.6532758329557858e-15,0.02838761551236972,0.028387615512369693,2.7755575615628914e-17,2.478832196540853e+16,2.47883219654085e+16,1.12956415682648e-15
-0.3,0.55,-0.3,0.55,0.55,-0.3,1.1202627874488718e-05,1.1202627874488731e-05,1.2097632187650721e-15,0.032471396408680755,0.03247139640868072,3.469446951953614e-17,2.9009103091895868e+16,2.9009103091895828e+16,1.378877515560783e-15
-0.3,0.6,-0.3,0.6,0.6,-0.3,1.314394075337021e-05,1.3143940753370239e-05,2.1910567574083008e-15,0.03575294034074123,0.035752940340741196,3.469446951953614e-17,3.291696621106566e+16,3.2916966211065624e+16,1.093660933670671e-15
-0.3,0.65,-0.3,0.65,0.65,-0.3,1.5027986809913586e-05,1.5027986809913674e-05,5.861824849109863e-15,0.03844510863126469,0.03844510863126465,4.163336342344337e-17,3.651354352114199e+16,3.651354352114196e+16,8.763871406091121e-16
-0.3,0.7,-0.3,0.7,0.7,-0.3,1.6845634089939916e-05,1.6845634089939906e-05,6.033845513195435e-16,0.04069283547577506,0.04069283547577504,2.0816681711721685e-17,3.981583171987661e+16,3.981583171987657e+16,1.0046255037799814e-15
-0.3,0.75,-0.3,0.75,0.75,-0.3,1.8592954897320427e-05,1.859295489732028e-05,7.835745729084521e-15,0.04259757609143719,0.042597576091437175,1.3877787807814457e-17,4.284691485563029e+16,4.284691485563022e+16,1.4936898074375615e-15
-0.3,0.8,-0.3,0.8,0.8,-0.3,2.026909420036998e-05,2.0269094200370064e-05,4.178938332818225e-15,0.04423224008146742,0.04423224008146738,4.163336342344337e-17,4.563137449381354e+16,4.563137449381347e+16,1.4025437697187226e-15
-0.3,0.85,-0.3,0.85,0.85,-0.3,2.187500958898435e-05,2.187500958898438e-05,1.393973610713766e-15,0.045650484999679344,0.045650484999679296,4.85722573273506e-17,4.819309240117171e+16,4.819309240117166e+16,9.959933593892594e-16
-0.3,0.9,-0.3,0.9,0.9,-0.3,2.3412712311099538e-05,2.34127123110996e-05,2.6048401138639945e-15,0.04689264584762329,0.04689264584762323,5.551115123125783e-17,5.055427343891454e+16,5.055427343891446e+16,1.5824577144138991e-15
-0.3,0.95,-0.3,0.95,0.95,-0.3,2.488480248175771e-05,2.488480248175776e-05,2.042289741801807e-15,0.047989617572337696,0.04798961757233766,3.469446951953614e-17,5.273508864917195e+16,5.2735088649171896e+16,1.0619115551800503e-15
-0.3,1.0,-0.3,1.0,1.0,-0.3,2.629418093149221e-05,2.629418093149221e-05,0.0,0.04896546135361403,0.048965461353614,2.7755575615628914e-17,5.4753628457213656e+16,5.475362845721356e+16,1.7533084601875775e-15
0.0,-0.5,0.0,-0.5,-0.5,0.0,2.100900501789906e-10,2.1009005015779448e-10,1.0089062017787481e-10,-0.23911894665357208,-0.2391189466535721,2.7755575615628914e-17,807306959954.4667,807306959954.4369,3.6894462363708504e-14
0.0,-0.45,0.0,-0.45,-0.45,0.0,4.949974025786057e-10,4.949974025680012e-10,2.142346362882657e-11,-0.21412109486385084,-0.21412109486385086,2.7755575615628914e-17,2123150613684.0562,2123150613684.0244,1.4948671585257087e-14
0.0,-0.4,0.0,-0.4,-0.4,0.0,1.1753465341285547e-09,1.1753465341494297e-09,1.7760665579916005e-11,-0.1891262528706111,-0.18912625287061113,2.7755575615628914e-17,5583036541237.598,5583036541237.618,3.673236302238841e-15
0.0,-0.35,0.0,-0.35,-0.35,0.0,2.814295281036621e-09,2.814295281026113e-09,3.733679046425683e-12,-0.164138747680266,-0.164138747680266,0.0,14676861535814.092,14676861535814.018,5.05685427493428e-15
0.0,-0.3,0.0,-0.3,-0.3,0.0,6.798036727842041e-09,6.798036727845011e-09,4.369505047701538e-13,-0.13916929053575672,-0.13916929053575675,2.7755575615628914e-17,38555380994650.766,38555380994650.734,8.105224016418273e-16
0.0,-0.25,0.0,-0.25,-0.25,0.0,1.656120898502756e-08,1.6561208985020215e-08,4.4352823795120185e-13,-0.11424457985285207,-0.11424457985285208,1.3877787807814457e-17,101103933681695.42,101103933681695.28,1.3908954367960438e-15
0.0,-0.2,0.0,-0.2,-0.2,0.0,4.061372833270707e-08,4.06137283327057e-08,3.372778492942931e-14,-0.08943120788227929,-0.08943120788227929,0.0,263962379689174.06,263962379689174.1,1.1838808256236393e-16
0.0,-0.15,0.0,-0.15,-0.15,0.0,9.9683793862971e-08,9.968379386298005e-08,9.081380506267286e-14,-0.06489271154649566,-0.06489271154649566,0.0,681727707940020.2,681727707940020.1,1.8335766398246167e-16
0.0,-0.1,0.0,-0.1,-0.1,0.0,2.4142008492075143e-07,2.4142008492075545e-07,1.6665583150542687e-14,-0.04100932784576478,-0.04100932784576479,6.938893903907228e-18,1715891505045579.0,1715891505045579.2,1.4569685744400212e-16
0.0,-0.05,0.0,-0.05,-0.05,0.0,5.603609473994763e-07,5.603609473994711e-07,9.25845533313737e-15,-0.018549627861549674,-0.018549627861549674,0.0,4084411462863897.0,4084411462863898.0,2.4483331542185577e-16
0.0,0.0,0.0,0.0,0.0,0.0,1.1930966936239798e-06,1.193096693623978e-06,1.4198898576803097e-15,0.001332691319669748,0.001332691319669748,0.0,8792236312879518.0,8792236312879518.0,0.0
0.0,0.05,0.0,0.05,0.05,0.0,2.2435594877850616e-06,2.2435594877850654e-06,1.6989289935910583e-15,0.017648561760206974,0.01764856176020697,3.469446951953614e-18,1.6481049918011626e+16,1.648104991801163e+16,2.4270298433041717e-16
0.0,0.1,0.0,0.1,0.1,0.0,3.7004285740787434e-06,3.700428574078729e-06,3.8913222658021476e-15,0.030249531738275284,0.030249531738275284,0.0,2.676615586916425e+16,2.6766155869164244e+16,1.4944245335611193e-16
0.0,0.15,0.0,0.15,0.15,0.0,5.462041732526014e-06,5.462041732526005e-06,1.7058387460339544e-15,0.039725363314865605,0.0397253633148656,6.938893903907228e-18,3.854225028782632e+16,3.854225028782631e+16,2.0756442450187768e-16
0.0,0.2,0.0,0.2,0.2,0.0,7.4129566389148655e-06,7.412956638914874e-06,1.1426384754603004e-15,0.04685755866596013,0.04685755866596012,6.938893903907228e-18,5.071597384095385e+16,5.071597384095384e+16,1.577412281402332e-16
0.0,0.25,0.0,0.25,0.25,0.0,9.462693911699367e-06,9.46269391169939e-06,2.5063605295102612e-15,0.052304628007629216,0.05230462800762921,6.938893903907228e-18,6.254748623536028e+16,6.2547486235360264e+16,2.558056440476842e-16
0.0,0.3,0.0,0.3,0.3,0.0,1.1549445541373129e-05,1.1549445541373112e-05,1.466794131752918e-15,0.056544883007083165,0.05654488300708315,1.3877787807814457e-17,7.36401270624011e+16,7.364012706240107e+16,4.3454569236258745e-16
0.0,0.35,0.0,0.35,0.35,0.0,1.3633155085927829e-05,1.363315508592786e-05,2.3609539972802836e-15,0.05991023918327385,0.05991023918327384,1.3877787807814457e-17,8.382967866404534e+16,8.38296786640453e+16,5.725895740619994e-16
0.0,0.4,0.0,0.4,0.4,0.0,1.5688469780507118e-05,1.5688469780507114e-05,2.1596317782547194e-16,0.06262985128503153,0.06262985128503151,1.3877787807814457e-17,9.30861550607405e+16,9.308615506074043e+16,6.875351115129718e-16
0.0,0.45,0.0,0.45,0.45,0.0,1.7699657872945472e-05,1.7699657872945415e-05,3.254200777594311e-15,0.06486366097371234,0.06486366097371234,0.0,1.0144894339019608e+17,1.0144894339019602e+17,6.308592072156061e-16
0.0,0.5,0.0,0.5,0.5,0.0,1.9657256978320098e-05,1.9657256978320098e-05,0.0,0.066725187703265,0.06672518770326498,1.3877787807814457e-17,1.0898877096719963e+17,1.089887709671996e+17,2.936082287745997e-16
0.0,0.55,0.0,0.55,0.55,0.0,2.155591042715182e-05,2.1555910427151843e-05,1.1002514880209632e-15,0.0682964942120616,0.06829649421206158,2.7755575615628914e-17,1.1578688929258678e+17,1.1578688929258672e+17,5.527396097348785e-16
0.0,0.6,0.0,0.6,0.6,0.0,2.3392967118617238e-05,2.33929671186173e-05,2.607038769091143e-15,0.06963798865793097,0.06963798865793094,2.7755575615628914e-17,1.2192435109110224e+17,1.2192435109110219e+17,3.9368673747653784e-16
0.0,0.65,0.0,0.65,0.65,0.0,2.5167565654034624e-05,2.5167565654034705e-05,3.2309506630164247e-15,0.07079490921126312,0.07079490921126308,4.163336342344337e-17,1.274769258296556e+17,1.2747692582965552e+17,6.275645531874695e-16
0.0,0.7,0.0,0.7,0.7,0.0,2.6880027442442047e-05,2.6880027442441918e-05,4.789764752225149e-15,0.07180167864808575,0.07180167864808573,1.3877787807814457e-17,1.3251305666177562e+17,1.3251305666177554e+17,6.037140944095104e-16
0.0,0.75,0.0,0.75,0.75,0.0,2.8531449490519663e-05,2.8531449490519636e-05,9.500062140601721e-16,0.07268487779972853,0.0726848777997285,2.7755575615628914e-17,1.3709339733937157e+17,1.3709339733937146e+17,8.169612991845738e-16
0.0,0.8,0.0,0.8,0.8,0.0,3.012342820263873e-05,3.0123428202638708e-05,7.873248145456057e-16,0.07346531051699728,0.07346531051699726,2.7755575615628914e-17,1.4127112492585208e+17,1.4127112492585192e+17,1.1325739784685512e-15
0.0,0.85,0.0,0.85,0.85,0.0,3.165787043737322e-05,3.165787043737318e-05,1.284280367140827e-15,0.07415946144285523,0.07415946144285523,0.0,1.4509259459244374e+17,1.4509259459244368e+17,4.4109763272048514e-16
0.0,0.9,0.0,0.9,0.9,0.0,3.313686350180507e-05,3.3136863501805015e-05,1.6359456778799305e-15,0.07478054131688958,0.07478054131688956,1.3877787807814457e-17,1.4859810845960803e+17,1.4859810845960787e+17,1.0767297219230166e-15
0.0,0.95,0.0,0.95,0.95,0.0,3.456258546147611e-05,3.4562585461476085e-05,7.842310970152752e-16,0.07533924759837274,0.07533924759837272,1.3877787807814457e-17,1.518226833779193e+17,1.5182268337791917e+17,8.430887740363572e-16
0.0,1.0,0.0,1.0,1.0,0.0,3.593724333278673e-05,3.593724333278717e-05,1.2256286006511445e-14,0.07584432558886496,0.07584432558886489,6.938893903907228e-17,1.5479676378982486e+17,1.5479676378982477e+17,6.201680038372371e-16
0.3,-0.5,0.3,-0.5,-0.5,0.3,1.4229966375791528e-07,1.422996637579191e-07,2.6786066544252323e-14,-0.09017748612339771,-0.09017748612339775,4.163336342344337e-17,256253443783544.03,256253443783543.6,1.7072941285798057e-15
0.3,-0.45,0.3,-0.45,-0.45,0.3,3.0559392546835297e-07,3.05593925468366e-07,4.2615806397575064e-14,-0.0664204842629902,-0.06642048426299021,1.3877787807814457e-17,641727813379462.4,641727813379462.1,3.895732657798511e-16
0.3,-0.4,0.3,-0.4,-0.4,0.3,6.2485569570081e-07,6.248556957008064e-07,5.761154216243963e-15,-0.04389525570063446,-0.043895255700634496,3.469446951953614e-17,1531328856224679.8,1531328856224677.0,1.7958258860084555e-15
0.3,-0.35,0.3,-0.35,-0.35,0.3,1.1830902511532292e-06,1.1830902511532116e-06,1.4855953413862055e-14,-0.023324004820820192,-0.023324004820820216,2.42861286636753e-17,3386174561478953.5,3386174561478951.0,7.382962557335184e-16
0.3,-0.3,0.3,-0.3,-0.3,0.3,2.0345721951130594e-06,2.034572195113061e-06,8.32639853516951e-16,-0.005273306769229139,-0.005273306769229149,1.0408340855860843e-17,6790762243916138.0,6790762243916137.0,1.4725887375837707e-16
0.3,-0.25,0.3,-0.25,-0.25,0.3,3.1756399956165973e-06,3.175639995616577e-06,6.401478367246749e-15,0.010109123251498712,0.010109123251498715,3.469446951953614e-18,1.2285710371941918e+16,1.2285710371941918e+16,0.0
0.3,-0.2,0.3,-0.2,-0.2,0.3,4.560646784327157e-06,4.560646784327142e-06,3.157350433891913e-15,0.02303156585754936,0.023031565857549362,3.469446951953614e-18,2.021796434922856e+16,2.0217964349228564e+16,1.97843854648632e-16
0.3,-0.15,0.3,-0.15,-0.15,0.3,6.134126807426038e-06,6.134126807426048e-06,1.6570240045814613e-15,0.033833722336437014,0.03383372233643702,6.938893903907228e-18,3.066411473722586e+16,3.066411473722586e+16,0.0
0.3,-0.1,0.3,-0.1,-0.1,0.3,7.847820248578201e-06,7.847820248578203e-06,2.1586451280092918e-16,0.04284279591110215,0.04284279591110216,1.3877787807814457e-17,4.340480659880789e+16,4.3404806598807896e+16,1.8431138454190737e-16
0.3,-0.05,0.3,-0.05,-0.05,0.3,9.663261678951728e-06,9.663261678951727e-06,1.7530994717845343e-16,0.05033537366768045,0.05033537366768046,1.3877787807814457e-17,5.795197978372511e+16,5.795197978372514e+16,4.141359810237235e-16
0.3,0.0,0.3,0.0,0.0,0.3,1.154944554137311e-05,1.154944554137314e-05,2.6402294371552493e-15,0.05654488300708315,0.056544883007083165,1.3877787807814457e-17,7.364012706240107e+16,7.364012706240109e+16,2.1727284618129377e-16
0.3,0.05,0.3,0.05,0.05,0.3,1.348048997901662e-05,1.3480489979016614e-05,5.026719049961951e-16,0.06167501528662186,0.061675015286621865,6.938893903907228e-18,8.975909922930158e+16,8.975909922930163e+16,5.347647248261435e-16
0.3,0.1,0.3,0.1,0.1,0.3,1.5434405598724188e-05,1.54344055987242e-05,8.780725029792562e-16,0.06590677233057599,0.06590677233057599,0.0,1.0567864477703464e+17,1.0567864477703467e+17,3.0280479152164537e-16
0.3,0.15,0.3,0.15,0.15,0.3,1.739266828816028e-05,1.7392668288160293e-05,7.792092007696378e-16,0.06939973183368425,0.06939973183368425,0.0,1.2092391749850685e+17,1.2092391749850688e+17,2.6462920373378676e-16
0.3,0.2,0.3,0.2,0.2,0.3,1.9340082626511117e-05,1.934008262651111e-05,3.5037407589694547e-16,0.07229130692443116,0.07229130692443116,0.0,1.3519333066686467e+17,1.3519333066686469e+17,1.1834903335155076e-16
0.3,0.25,0.3,0.25,0.25,0.3,2.1264613003026373e-05,2.1264613003026332e-05,1.911983136604463e-15,0.07469666570600321,0.07469666570600322,1.3877787807814457e-17,1.4833594900325683e+17,1.4833594900325677e+17,4.314530660305064e-16
0.3,0.3,0.3,0.3,0.3,0.3,2.3157084286939043e-05,2.3157084286939084e-05,1.7557297354200095e-15,0.0767101008455341,0.07671010084553409,1.3877787807814457e-17,1.6031206462487552e+17,1.6031206462487552e+17,0.0
0.3,0.35,0.3,0.35,0.35,0.3,2.5010782783903523e-05,2.5010782783903492e-05,1.2192015885556234e-15,0.07840750593451214,0.07840750593451215,1.3877787807814457e-17,1.7115397498995005e+17,1.7115397498995e+17,1.8696615139601052e-16
0.3,0.4,0.3,0.4,0.4,0.3,2.682102394682172e-05,2.682102394682174e-05,6.316186503048649e-16,0.07984931626733666,0.07984931626733666,0.0,1.8093477684728394e+17,1.809347768472839e+17,1.768593111705068e-16
0.3,0.45,0.3,0.45,0.45,0.3,2.858474099628184e-05,2.8584740996281813e-05,9.482350851338236e-16,0.08108340400876195,0.08108340400876195,0.0,1.8974663595661894e+17,1.8974663595661894e+17,0.0
0.3,0.5,0.3,0.5,0.5,0.3,3.0300124360703455e-05,3.0300124360703516e-05,2.0127432969022188e-15,0.08214764726214478,0.08214764726214477,1.3877787807814457e-17,1.9768706387743277e+17,1.976870638774327e+17,3.2374399591305787e-16
0.3,0.55,0.3,0.55,0.55,0.3,3.1966322038530166e-05,3.196632203853023e-05,1.9078320029686375e-15,0.08307207294295357,0.08307207294295356,1.3877787807814457e-17,2.0485099051813213e+17,2.0485099051813206e+17,3.1242221401089647e-16
0.3,0.6,0.3,0.6,0.6,0.3,3.358319910807379e-05,3.3583199108073806e-05,4.0355080861878386e-16,0.08388057824972506,0.08388057824972504,1.3877787807814457e-17,2.113266556729421e+17,2.1132665567294205e+17,3.028486860599784e-16
0.3,0.65,0.3,0.65,0.65,0.3,3.5151149082994054e-05,3.515114908299412e-05,1.9277502314462634e-15,0.08459228294349407,0.08459228294349407,0.0,2.171938505557706e+17,2.1719385055577053e+17,2.9466764292005684e-16
0.3,0.7,0.3,0.7,0.7,0.3,3.667094817010031e-05,3.6670948170100316e-05,1.847856113946744e-16,0.08522257831165858,0.08522257831165857,1.3877787807814457e-17,2.2252351956267395e+17,2.225235195626739e+17,2.876100473593954e-16
0.3,0.75,0.3,0.75,0.75,0.3,3.814364382454628e-05,3.8143643824546306e-05,7.106047454935307e-16,0.08578393589891647,0.08578393589891646,1.3877787807814457e-17,2.2737809577847597e+17,2.2737809577847594e+17,1.4073475235352542e-16
0.3,0.8,0.3,0.8,0.8,0.3,3.9570470149065345e-05,3.957047014906523e-05,2.9111729123416995e-15,0.08628652992904758,0.08628652992904759,1.3877787807814457e-17,2.3181219182338586e+17,2.3181219182338573e+17,5.521711304016366e-16
0.3,0.85,0.3,0.85,0.85,0.3,4.095278403267024e-05,4.095278403267053e-05,7.115006726356583e-15,0.08673871689320496,0.08673871689320492,4.163336342344337e-17,2.3587342700601328e+17,2.3587342700601325e+17,1.356659815655462e-16
0.3,0.9,0.3,0.9,0.9,0.3,4.229201718787884e-05,4.2292017187879125e-05,6.729474950629975e-15,0.0871474062304668,0.08714740623046675,4.163336342344337e-17,2.3960327001532474e+17,2.396032700153247e+17,1.3355410382317954e-16
0.3,0.95,0.3,0.95,0.95,0.3,4.3589640320554485e-05,4.358964032055445e-05,7.772791342395051e-16,0.08751834808989062,0.08751834808989062,0.0,2.4303783506568797e+17,2.4303783506568784e+17,5.266669692206742e-16
0.3,1.0,0.3,1.0,1.0,0.3,4.484713653569497e-05,4.4847136535694764e-05,4.5329071830311864e-15,0.08785635788639955,0.08785635788639955,0.0,2.4620860341366198e+17,2.4620860341366192e+17,2.59942175507457e-16
