family_id,primary_gate_v,fixed_secondary_gate_v,forward_abs_drain_current_a_per_cm,reverse_abs_drain_current_a_per_cm,relative_current_difference,forward_center_channel_potential_v,reverse_center_channel_potential_v,center_channel_potential_difference_v,forward_center_channel_electron_density_cm3,reverse_center_channel_electron_density_cm3,center_density_relative_difference
top_primary,-0.5,0.0,2.100900501789906e-10,2.1009005019619309e-10,8.188149530303124e-11,-0.23911894665357208,-0.2391189466535721,2.7755575615628914e-17,807306959954.4667,807306959954.4808,1.7539990304057833e-14
top_primary,-0.45,0.0,4.949974025786057e-10,4.949974025748489e-10,7.589630829357989e-12,-0.21412109486385084,-0.21412109486385084,0.0,2123150613684.0562,2123150613684.0642,3.794662787026785e-15
top_primary,-0.4,0.0,1.1753465341285547e-09,1.1753465341282443e-09,2.640919216992164e-13,-0.1891262528706111,-0.1891262528706111,0.0,5583036541237.598,5583036541237.576,3.848152316631182e-15
top_primary,-0.35,0.0,2.814295281036621e-09,2.814295281032531e-09,1.4532926115918908e-12,-0.164138747680266,-0.164138747680266,0.0,14676861535814.092,14676861535814.09,1.3307511249827055e-16
top_primary,-0.3,0.0,6.798036727842041e-09,6.798036727850518e-09,1.2469698615652768e-12,-0.13916929053575672,-0.13916929053575672,0.0,38555380994650.766,38555380994650.8,8.105224016418266e-16
top_primary,-0.25,0.0,1.656120898502756e-08,1.656120898501848e-08,5.482168851072513e-13,-0.11424457985285207,-0.11424457985285207,0.0,101103933681695.42,101103933681695.34,7.727196871089133e-16
top_primary,-0.2,0.0,4.061372833270707e-08,4.0613728332707635e-08,1.3849573521746144e-14,-0.08943120788227929,-0.08943120788227929,0.0,263962379689174.06,263962379689174.06,0.0
top_primary,-0.15,0.0,9.9683793862971e-08,9.968379386299001e-08,1.9078865186410504e-13,-0.06489271154649566,-0.06489271154649566,0.0,681727707940020.2,681727707940020.4,1.8335766398246164e-16
top_primary,-0.1,0.0,2.4142008492075143e-07,2.4142008492075365e-07,9.209927530563133e-15,-0.04100932784576478,-0.04100932784576478,0.0,1715891505045579.0,1715891505045579.2,1.4569685744400212e-16
top_primary,-0.05,0.0,5.603609473994763e-07,5.603609473994816e-07,9.44740340116049e-15,-0.018549627861549674,-0.018549627861549678,3.469446951953614e-18,4084411462863897.0,4084411462863897.5,1.2241665771092788e-16
top_primary,0.0,0.0,1.1930966936239798e-06,1.193096693623978e-06,1.4198898576803097e-15,0.001332691319669748,0.0013326913196697473,6.505213034913027e-19,8792236312879518.0,8792236312879519.0,1.1373670638664772e-16
top_primary,0.05,0.0,2.2435594877850616e-06,2.2435594877850624e-06,3.77539776353569e-16,0.017648561760206974,0.01764856176020697,3.469446951953614e-18,1.6481049918011626e+16,1.6481049918011624e+16,1.2135149216520863e-16
top_primary,0.1,0.0,3.7004285740787434e-06,3.7004285740787413e-06,5.722532743826688e-16,0.030249531738275284,0.030249531738275284,0.0,2.676615586916425e+16,2.6766155869164252e+16,1.494424533561119e-16
top_primary,0.15,0.0,5.462041732526014e-06,5.46204173252601e-06,7.75381248197252e-16,0.039725363314865605,0.039725363314865605,0.0,3.854225028782632e+16,3.854225028782633e+16,2.0756442450187766e-16
top_primary,0.2,0.0,7.4129566389148655e-06,7.412956638914855e-06,1.3711661705523618e-15,0.04685755866596013,0.04685755866596013,0.0,5.071597384095385e+16,5.071597384095385e+16,0.0
top_primary,0.25,0.0,9.462693911699367e-06,9.462693911699362e-06,5.370772563236288e-16,0.052304628007629216,0.052304628007629216,0.0,6.254748623536028e+16,6.254748623536029e+16,1.2790282202384208e-16
top_primary,0.3,0.0,1.1549445541373129e-05,1.154944554137312e-05,7.33397065876459e-16,0.056544883007083165,0.056544883007083165,0.0,7.36401270624011e+16,7.364012706240109e+16,2.1727284618129372e-16
top_primary,0.35,0.0,1.3633155085927829e-05,1.3633155085927856e-05,1.9881717871833976e-15,0.05991023918327385,0.05991023918327385,0.0,8.382967866404534e+16,8.382967866404534e+16,0.0
top_primary,0.4,0.0,1.5688469780507118e-05,1.56884697805071e-05,1.0798158891273597e-15,0.06262985128503153,0.06262985128503153,0.0,9.30861550607405e+16,9.308615506074048e+16,1.7188377787824296e-16
top_primary,0.45,0.0,1.7699657872945472e-05,1.7699657872945415e-05,3.254200777594311e-15,0.06486366097371234,0.06486366097371235,1.3877787807814457e-17,1.0144894339019608e+17,1.0144894339019606e+17,1.5771480180390152e-16
top_primary,0.5,0.0,1.9657256978320098e-05,1.9657256978320152e-05,2.7577656782969852e-15,0.066725187703265,0.06672518770326498,1.3877787807814457e-17,1.0898877096719963e+17,1.0898877096719966e+17,2.936082287745996e-16
top_primary,0.55,0.0,2.155591042715182e-05,2.1555910427151846e-05,1.2574302720239577e-15,0.0682964942120616,0.0682964942120616,0.0,1.1578688929258678e+17,1.1578688929258678e+17,0.0
top_primary,0.6,0.0,2.3392967118617238e-05,2.3392967118617312e-05,3.186380717778062e-15,0.06963798865793097,0.06963798865793096,1.3877787807814457e-17,1.2192435109110224e+17,1.2192435109110226e+17,1.3122891249217927e-16
top_primary,0.65,0.0,2.5167565654034624e-05,2.5167565654034607e-05,6.731147214617573e-16,0.07079490921126312,0.07079490921126312,0.0,1.274769258296556e+17,1.2747692582965555e+17,3.7653873191248167e-16
top_primary,0.7,0.0,2.6880027442442047e-05,2.6880027442441836e-05,7.814879332577875e-15,0.07180167864808575,0.07180167864808577,2.7755575615628914e-17,1.3251305666177562e+17,1.3251305666177562e+17,0.0
top_primary,0.75,0.0,2.8531449490519663e-05,2.8531449490519446e-05,7.600049712481377e-15,0.07268487779972853,0.07268487779972856,2.7755575615628914e-17,1.3709339733937157e+17,1.3709339733937157e+17,0.0
top_primary,0.8,0.0,3.012342820263873e-05,3.0123428202638836e-05,3.4867241787019562e-15,0.07346531051699728,0.07346531051699727,1.3877787807814457e-17,1.4127112492585208e+17,1.4127112492585208e+17,0.0
top_primary,0.85,0.0,3.165787043737322e-05,3.1657870437373165e-05,1.7123738228544361e-15,0.07415946144285523,0.07415946144285526,2.7755575615628914e-17,1.4509259459244374e+17,1.4509259459244378e+17,2.2054881636024252e-16
top_primary,0.9,0.0,3.313686350180507e-05,3.313686350180531e-05,7.361755550459634e-15,0.07478054131688958,0.07478054131688953,4.163336342344337e-17,1.4859810845960803e+17,1.4859810845960803e+17,0.0
top_primary,0.95,0.0,3.456258546147611e-05,3.45625854614764e-05,8.430484292914137e-15,0.07533924759837274,0.07533924759837271,2.7755575615628914e-17,1.518226833779193e+17,1.5182268337791933e+17,2.1077219350908925e-16
top_primary,1.0,0.0,3.593724333278673e-05,3.593724333278673e-05,0.0,0.07584432558886496,0.07584432558886496,0.0,1.5479676378982486e+17,1.5479676378982486e+17,0.0
bottom_primary,-0.5,0.0,2.1009005015779448e-10,2.1009005016445285e-10,3.169290733254367e-11,-0.2391189466535721,-0.23911894665357214,2.7755575615628914e-17,807306959954.4369,807306959954.4507,1.7086369865160425e-14
bottom_primary,-0.45,0.0,4.949974025680012e-10,4.949974025749515e-10,1.4041046808014006e-11,-0.21412109486385086,-0.21412109486385086,0.0,2123150613684.0244,2123150613684.042,8.279264262603981e-15
bottom_primary,-0.4,0.0,1.1753465341494297e-09,1.175346534131567e-09,1.519786549237272e-11,-0.18912625287061113,-0.18912625287061113,0.0,5583036541237.618,5583036541237.584,6.122060503731403e-15
bottom_primary,-0.35,0.0,2.814295281026113e-09,2.814295281032212e-09,2.1670798716318732e-12,-0.164138747680266,-0.164138747680266,0.0,14676861535814.018,14676861535814.043,1.7299764624775228e-15
bottom_primary,-0.3,0.0,6.798036727845011e-09,6.798036727845381e-09,5.4390664336465644e-14,-0.13916929053575675,-0.13916929053575675,0.0,38555380994650.734,38555380994650.734,0.0
