capacitance_ratio,top_relative_permittivity,bottom_relative_permittivity,fixed_relative_permittivity_sum,top_coupling_fraction,family_id,primary_gate,secondary_gate,sweep_direction,sweep_index,mesh_level,stage_id,mode_id,primary_gate_v,fixed_secondary_gate_v,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,0,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.5,0.0,0.0,-0.5,0.01,-2.5320099558327845e-09,2.5320099558398966e-09,-1.5192059734996708e-11,1.519205973503938e-11,7.112098906730932e-21,2.80887477963007e-12,-0.1717949818120875,10914776552408.96,0.03761622400088527,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,1,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.45,0.0,0.0,-0.45,0.01,-4.677033662161712e-09,4.677033662174372e-09,-2.806220197297027e-11,2.8062201973046232e-11,1.2659999275124089e-20,2.706843736771055e-12,-0.15352201869573176,22129802533919.86,0.031289414000639226,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,2,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.4,0.0,0.0,-0.4,0.01,-8.696287535967373e-09,8.696287535969798e-09,-5.2177725215804235e-11,5.217772521581879e-11,2.425293556005477e-21,2.7888838150462694e-13,-0.13526348174563319,44842739915632.64,0.03185676599969156,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,3,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.35,0.0,0.0,-0.35,0.01,-1.627814495209862e-08,1.6278144952111148e-08,-9.766886971259173e-11,9.766886971266689e-11,1.2526823196503051e-20,7.695485716189313e-13,-0.11703260178468745,90767824746896.61,0.03160514699993655,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,4,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.3,0.0,0.0,-0.3,0.01,-3.0663592142052135e-08,3.0663592142085705e-08,-1.8398155285231283e-10,1.8398155285251425e-10,3.3570297979852075e-20,1.0947933896425959e-12,-0.09885501009070544,183340359264779.3,0.03280733499923372,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,5,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.25,0.0,0.0,-0.25,0.01,-5.805191446097623e-08,5.8051914460973596e-08,-3.4831148676585737e-10,3.483114867658416e-10,-2.63374307036884e-21,4.536875475724922e-14,-0.0807802202404998,368827857829558.6,0.031100303000130225,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,6,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.2,0.0,0.0,-0.2,0.01,-1.101143365728461e-07,1.1011433657284367e-07,-6.606860194370766e-10,6.606860194370621e-10,-2.421984833555265e-21,2.199518163516339e-14,-0.06290249505917869,736238679603437.5,0.03949463699973421,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,7,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.15,0.0,0.0,-0.15,0.01,-2.0797738525519165e-07,2.0797738525516725e-07,-1.24786431153115e-09,1.2478643115310036e-09,-2.440513679276453e-20,1.173451467466957e-13,-0.045394776353062063,1448419351952347.8,0.03912406400013424,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,8,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.1,0.0,0.0,-0.1,0.01,-3.8688183692654263e-07,3.8688183692655084e-07,-2.3212910215592557e-09,2.321291021559305e-09,8.205631676526035e-21,2.1209658591658998e-14,-0.02855077318497769,2776253473264633.0,0.03951378300007491,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,9,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.05,0.0,0.0,-0.05,0.01,-6.972367977302422e-07,6.972367977302487e-07,-4.183420786381453e-09,4.183420786381492e-09,6.564505341220828e-21,9.415029961973613e-15,-0.012802409774175868,5098119767297611.0,0.04142580400002771,True
