point_uid,case_id,curve_kind,curve_id,vtg_v,vbg_v,external_vds_v,r_pair_w_kohm_um,r_pair_ohm,circuit_coupled,circuit_closure_applicable,external_source_v,internal_source_v,internal_drain_v,external_drain_v,internal_device_vds_v,source_current_terminal_a,drain_current_terminal_a,external_source_current_terminal_a,external_drain_current_terminal_a,source_resistor_current_external_to_internal_a,drain_resistor_current_external_to_internal_a,source_kcl_residual_a,drain_kcl_residual_a,source_kcl_relative_residual,drain_kcl_relative_residual,source_drop_v,drain_drop_v,total_resistor_drop_v,circuit_ohms_law_residual_v,circuit_ohms_law_relative_residual,voltage_partition_residual_v,total_resistor_power_w
ideal_control:ideal_control_transfer:000,ideal_control,transfer,ideal_control_transfer,-0.5,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.2605403010723819e-12,1.2605403011146533e-12,-1.2605403010723819e-12,1.2605403011146533e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:001,ideal_control,transfer,ideal_control_transfer,-0.45,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-2.9699844154494098e-12,2.969984415471882e-12,-2.9699844154494098e-12,2.969984415471882e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:002,ideal_control,transfer,ideal_control_transfer,-0.4,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-7.052079204765492e-12,7.052079204771353e-12,-7.052079204765492e-12,7.052079204771353e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:003,ideal_control,transfer,ideal_control_transfer,-0.35,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.6885771686194205e-11,1.688577168624049e-11,-1.6885771686194205e-11,1.688577168624049e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:004,ideal_control,transfer,ideal_control_transfer,-0.3,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-4.0788220367087326e-11,4.0788220367127974e-11,-4.0788220367087326e-11,4.0788220367127974e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:005,ideal_control,transfer,ideal_control_transfer,-0.25,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-9.936725391014566e-11,9.936725391016522e-11,-9.936725391014566e-11,9.936725391016522e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:006,ideal_control,transfer,ideal_control_transfer,-0.2,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-2.4368236999623673e-10,2.436823699962262e-10,-2.4368236999623673e-10,2.436823699962262e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:007,ideal_control,transfer,ideal_control_transfer,-0.15,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-5.981027631778716e-10,5.981027631778221e-10,-5.981027631778716e-10,5.981027631778221e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:008,ideal_control,transfer,ideal_control_transfer,-0.1,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.4485205095245652e-09,1.4485205095245009e-09,-1.4485205095245652e-09,1.4485205095245009e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:009,ideal_control,transfer,ideal_control_transfer,-0.05,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-3.3621656843968496e-09,3.3621656843968984e-09,-3.3621656843968496e-09,3.3621656843968984e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:010,ideal_control,transfer,ideal_control_transfer,0.0,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-7.158580161743848e-09,7.158580161743876e-09,-7.158580161743848e-09,7.158580161743876e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:011,ideal_control,transfer,ideal_control_transfer,0.05,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.3461356926710337e-08,1.3461356926710367e-08,-1.3461356926710337e-08,1.3461356926710367e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:012,ideal_control,transfer,ideal_control_transfer,0.1,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-2.2202571444472508e-08,2.22025714444724e-08,-2.2202571444472508e-08,2.22025714444724e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:013,ideal_control,transfer,ideal_control_transfer,0.15,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-3.277225039515601e-08,3.2772250395156074e-08,-3.277225039515601e-08,3.2772250395156074e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:014,ideal_control,transfer,ideal_control_transfer,0.2,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-4.447773983348924e-08,4.447773983348921e-08,-4.447773983348924e-08,4.447773983348921e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:015,ideal_control,transfer,ideal_control_transfer,0.25,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-5.67761634701967e-08,5.677616347019617e-08,-5.67761634701967e-08,5.677616347019617e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:016,ideal_control,transfer,ideal_control_transfer,0.3,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-6.929667324823862e-08,6.929667324823872e-08,-6.929667324823862e-08,6.929667324823872e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:017,ideal_control,transfer,ideal_control_transfer,0.35,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-8.179893051556722e-08,8.179893051556704e-08,-8.179893051556722e-08,8.179893051556704e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:018,ideal_control,transfer,ideal_control_transfer,0.4,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-9.413081868304264e-08,9.413081868304272e-08,-9.413081868304264e-08,9.413081868304272e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:019,ideal_control,transfer,ideal_control_transfer,0.45,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.0619794723767267e-07,1.0619794723767263e-07,-1.0619794723767267e-07,1.0619794723767263e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:020,ideal_control,transfer,ideal_control_transfer,0.5,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.1794354186992096e-07,1.1794354186992088e-07,-1.1794354186992096e-07,1.1794354186992088e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:021,ideal_control,transfer,ideal_control_transfer,0.55,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.2933546256291284e-07,1.2933546256291093e-07,-1.2933546256291284e-07,1.2933546256291093e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:022,ideal_control,transfer,ideal_control_transfer,0.6,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.4035780271170407e-07,1.40357802711703e-07,-1.4035780271170407e-07,1.40357802711703e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:023,ideal_control,transfer,ideal_control_transfer,0.65,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.5100539392421058e-07,1.5100539392420767e-07,-1.5100539392421058e-07,1.5100539392420767e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:024,ideal_control,transfer,ideal_control_transfer,0.7,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.61280164654654e-07,1.6128016465465116e-07,-1.61280164654654e-07,1.6128016465465116e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:025,ideal_control,transfer,ideal_control_transfer,0.75,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.711886969431101e-07,1.7118869694311708e-07,-1.711886969431101e-07,1.7118869694311708e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:026,ideal_control,transfer,ideal_control_transfer,0.8,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.8074056921583695e-07,1.807405692158316e-07,-1.8074056921583695e-07,1.807405692158316e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:027,ideal_control,transfer,ideal_control_transfer,0.85,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.8994722262422904e-07,1.8994722262423944e-07,-1.8994722262422904e-07,1.8994722262423944e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:028,ideal_control,transfer,ideal_control_transfer,0.9,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.9882118101083826e-07,1.9882118101083059e-07,-1.9882118101083826e-07,1.9882118101083059e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:029,ideal_control,transfer,ideal_control_transfer,0.95,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-2.0737551276885664e-07,2.073755127688568e-07,-2.0737551276885664e-07,2.073755127688568e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
