primary_gate_v,p3_abs_external_drain_current_a_per_cm,t02_c_abs_drain_current_a_per_cm,current_relative_difference,p3_center_channel_potential_v,t02_c_center_channel_potential_v,center_channel_potential_difference_v,p3_center_channel_electron_density_cm3,t02_c_center_channel_electron_density_cm3,center_density_relative_difference
-0.5,2.1009005018577555e-10,2.100900501789906e-10,3.229543221331285e-11,-0.23911894665357208,-0.23911894665357208,0.0,807306959954.466,807306959954.4667,9.072408777961107e-16
-0.45,4.94997402578647e-10,4.949974025786057e-10,8.334515057284045e-14,-0.21412109486385084,-0.21412109486385084,0.0,2123150613684.0557,2123150613684.0562,2.2997956285010906e-16
-0.4,1.1753465341285589e-09,1.1753465341285547e-09,3.5188797028543032e-15,-0.1891262528706111,-0.1891262528706111,0.0,5583036541237.6,5583036541237.598,3.498320287846527e-16
-0.35,2.8142952810400818e-09,2.814295281036621e-09,1.229765656161997e-12,-0.164138747680266,-0.164138747680266,0.0,14676861535814.123,14676861535814.092,2.129201799972324e-15
-0.3,6.798036727854662e-09,6.798036727842041e-09,1.856583347750917e-12,-0.13916929053575672,-0.13916929053575672,0.0,38555380994650.83,38555380994650.766,1.6210448032836518e-15
-0.25,1.6561208985027537e-08,1.656120898502756e-08,1.3985124620082942e-15,-0.11424457985285207,-0.11424457985285207,0.0,101103933681695.42,101103933681695.42,0.0
-0.2,4.0613728332704366e-08,4.061372833270707e-08,6.664088906346178e-14,-0.08943120788227929,-0.08943120788227929,0.0,263962379689174.03,263962379689174.06,1.1838808256236395e-16
-0.15,9.968379386297035e-08,9.9683793862971e-08,6.505667321741775e-15,-0.06489271154649566,-0.06489271154649566,0.0,681727707940020.1,681727707940020.2,1.8335766398246167e-16
-0.1,2.4142008492075016e-07,2.4142008492075143e-07,5.2628157317504095e-15,-0.04100932784576478,-0.04100932784576478,0.0,1715891505045578.8,1715891505045579.0,1.4569685744400215e-16
-0.05,5.60360947399483e-07,5.603609473994763e-07,1.2092676353485397e-14,-0.018549627861549674,-0.018549627861549674,0.0,4084411462863897.0,4084411462863897.0,0.0
0.0,1.1930966936239793e-06,1.1930966936239798e-06,3.549724644200774e-16,0.001332691319669748,0.001332691319669748,0.0,8792236312879518.0,8792236312879518.0,0.0
0.05,2.243559487785061e-06,2.2435594877850616e-06,1.8876988817678458e-16,0.017648561760206974,0.017648561760206974,0.0,1.6481049918011626e+16,1.6481049918011626e+16,0.0
0.1,3.7004285740787333e-06,3.7004285740787434e-06,2.74681571703681e-15,0.030249531738275284,0.030249531738275284,0.0,2.676615586916425e+16,2.676615586916425e+16,0.0
0.15,5.462041732526012e-06,5.462041732526014e-06,3.1015249927890083e-16,0.039725363314865605,0.039725363314865605,0.0,3.854225028782632e+16,3.854225028782632e+16,0.0
0.2,7.412956638914868e-06,7.4129566389148655e-06,3.4279154263809036e-16,0.04685755866596013,0.04685755866596013,0.0,5.071597384095384e+16,5.071597384095385e+16,1.577412281402332e-16
0.25,9.462693911699362e-06,9.462693911699367e-06,5.370772563236288e-16,0.052304628007629216,0.052304628007629216,0.0,6.254748623536028e+16,6.254748623536028e+16,0.0
0.3,1.154944554137312e-05,1.1549445541373129e-05,7.33397065876459e-16,0.056544883007083165,0.056544883007083165,0.0,7.364012706240109e+16,7.36401270624011e+16,2.1727284618129372e-16
0.35,1.3633155085927839e-05,1.3633155085927829e-05,7.45564420193775e-16,0.05991023918327385,0.05991023918327385,0.0,8.382967866404533e+16,8.382967866404534e+16,1.908631913539998e-16
0.4,1.568846978050712e-05,1.5688469780507118e-05,2.159631778254719e-16,0.06262985128503153,0.06262985128503153,0.0,9.308615506074048e+16,9.30861550607405e+16,1.7188377787824296e-16
0.45,1.769965787294544e-05,1.7699657872945472e-05,1.9142357515260653e-15,0.06486366097371234,0.06486366097371234,0.0,1.0144894339019608e+17,1.0144894339019608e+17,0.0
0.5,1.9657256978320146e-05,1.9657256978320098e-05,2.413044968509863e-15,0.06672518770326498,0.066725187703265,1.3877787807814457e-17,1.0898877096719965e+17,1.0898877096719963e+17,1.4680411438729983e-16
0.55,2.1555910427151823e-05,2.155591042715182e-05,1.5717878400299488e-16,0.0682964942120616,0.0682964942120616,0.0,1.1578688929258678e+17,1.1578688929258678e+17,0.0
0.6,2.3392967118617167e-05,2.3392967118617238e-05,3.0415452306063413e-15,0.06963798865793099,0.06963798865793097,1.3877787807814457e-17,1.2192435109110226e+17,1.2192435109110224e+17,1.3122891249217927e-16
0.65,2.516756565403461e-05,2.5167565654034624e-05,5.384917771694059e-16,0.07079490921126311,0.07079490921126312,1.3877787807814457e-17,1.2747692582965558e+17,1.274769258296556e+17,1.255129106374939e-16
0.7,2.688002744244186e-05,2.6880027442442047e-05,6.932554246641664e-15,0.07180167864808577,0.07180167864808575,2.7755575615628914e-17,1.3251305666177562e+17,1.3251305666177562e+17,0.0
0.75,2.853144949051951e-05,2.8531449490519663e-05,5.343784954088468e-15,0.07268487779972853,0.07268487779972853,0.0,1.3709339733937158e+17,1.3709339733937157e+17,1.167087570263677e-16
0.8,3.01234282026386e-05,3.012342820263873e-05,4.386523966754089e-15,0.0734653105169973,0.07346531051699728,1.3877787807814457e-17,1.4127112492585208e+17,1.4127112492585208e+17,0.0
0.85,3.165787043737324e-05,3.165787043737322e-05,6.421401835704131e-16,0.07415946144285525,0.07415946144285523,1.3877787807814457e-17,1.4509259459244378e+17,1.4509259459244374e+17,2.2054881636024252e-16
0.9,3.3136863501805096e-05,3.313686350180507e-05,8.179728389399645e-16,0.07478054131688956,0.07478054131688958,1.3877787807814457e-17,1.4859810845960803e+17,1.4859810845960803e+17,0.0
0.95,3.456258546147613e-05,3.456258546147611e-05,5.881733227614561e-16,0.07533924759837275,0.07533924759837274,1.3877787807814457e-17,1.518226833779193e+17,1.518226833779193e+17,0.0
1.0,3.5937243332786875e-05,3.593724333278673e-05,3.9597231713345e-15,0.07584432558886495,0.07584432558886496,1.3877787807814457e-17,1.5479676378982486e+17,1.5479676378982486e+17,0.0
