point_uid,parameter_group_id,changed_parameter,case_id,r_pair_w_kohm_um,r_pair_ohm,r_source_ohm,r_drain_ohm,execution_mode,circuit_coupled,device_id,curve_kind,curve_id,point_index,mesh_level,stage_id,mode_id,vbg_v,vtg_v,requested_external_source_v,requested_external_vds_v,external_source_v,external_drain_v,external_vds_v,internal_source_v,internal_drain_v,internal_device_vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,external_source_current_terminal_a,external_drain_current_terminal_a,external_source_current_a_per_cm,external_drain_current_a_per_cm,current_imbalance_a_per_cm,relative_current_imbalance,source_resistor_current_external_to_internal_a,drain_resistor_current_external_to_internal_a,source_voltage_source_current_a,drain_voltage_source_current_a,source_kcl_residual_a,drain_kcl_residual_a,source_kcl_relative_residual,drain_kcl_relative_residual,source_drop_v,drain_drop_v,total_resistor_drop_v,circuit_ohms_law_residual_v,circuit_ohms_law_relative_residual,voltage_partition_residual_v,total_resistor_power_w,circuit_closure_applicable,circuit_solution_list_json,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
ideal_control:ideal_control_output_vtg_0p3:000,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_output_vtg_0p3,output,ideal_control_output_vtg_0p3,0,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.823151075152426e-20,-2.1725029758008892e-20,1.6938906450914556e-22,-1.3035017854805336e-22,1.6938906450914556e-22,-1.3035017854805336e-22,2.823151075152426e-20,-2.1725029758008892e-20,6.5064809935153674e-21,0.2304687500000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.05252418988023242,7.627242500265872e+16,0.010864582000067458,True
ideal_control:ideal_control_output_vtg_0p3:001,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_output_vtg_0p3,output,ideal_control_output_vtg_0p3,1,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.3,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.001,-1.1909575113353177e-06,1.1909575113352843e-06,-7.145745068011906e-09,7.145745068011705e-09,-7.145745068011906e-09,7.145745068011705e-09,-1.1909575113353177e-06,1.1909575113352843e-06,-3.3457801416544863e-20,2.8093194843728323e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.05293292296387532,7.600564768618488e+16,0.03401268099696608,True
ideal_control:ideal_control_output_vtg_0p3:002,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_output_vtg_0p3,output,ideal_control_output_vtg_0p3,2,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.3,0.0,0.005,0.0,0.005,0.005,0.0,0.005,0.005,-5.8747136196012776e-06,5.874713619601288e-06,-3.524828171760767e-08,3.524828171760773e-08,-3.524828171760767e-08,3.524828171760773e-08,-5.874713619601278e-06,5.874713619601288e-06,1.0164395367051604e-20,1.7301941890643945e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.054553278441006194,7.494623428477493e+16,0.03444605099502951,True
ideal_control:ideal_control_output_vtg_0p3:003,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_output_vtg_0p3,output,ideal_control_output_vtg_0p3,3,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.3,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-1.154944554137324e-05,1.1549445541373129e-05,-6.929667324823945e-08,6.929667324823877e-08,-6.929667324823945e-08,6.929667324823877e-08,-1.154944554137324e-05,1.1549445541373129e-05,-1.1180834903756764e-19,9.680841269569165e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.056544883007083165,7.36401270624011e+16,0.0360830839999835,True
ideal_control:ideal_control_output_vtg_0p3:004,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_output_vtg_0p3,output,ideal_control_output_vtg_0p3,4,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.3,0.0,0.05,0.0,0.05,0.05,0.0,0.05,0.05,-4.98293641840632e-05,4.982936418406321e-05,-2.989761851043792e-07,2.9897618510437926e-07,-2.989761851043792e-07,2.9897618510437926e-07,-4.98293641840632e-05,4.982936418406321e-05,6.776263578034403e-21,1.359893646847221e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.07091595398946014,6.408795944375854e+16,0.04760655399877578,True
ideal_control:ideal_control_output_vtg_0p3:005,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_output_vtg_0p3,output,ideal_control_output_vtg_0p3,5,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.3,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,-8.075390053928078e-05,8.07539005392809e-05,-4.845234032356847e-07,4.845234032356854e-07,-4.845234032356847e-07,4.845234032356854e-07,-8.075390053928078e-05,8.07539005392809e-05,1.2197274440461925e-19,1.5104254232931866e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.08404818340918555,5.516953026449258e+16,0.047058067000762094,True
ideal_control:ideal_control_output_vtg_0p3:006,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_output_vtg_0p3,output,ideal_control_output_vtg_0p3,6,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.3,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2,-0.0001011359185537985,0.00010113591855379847,-6.06815511322791e-07,6.068155113227908e-07,-6.06815511322791e-07,6.068155113227908e-07,-0.00010113591855379851,0.00010113591855379847,-2.710505431213761e-20,2.680062108470324e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.09374591124494035,4.847298058331566e+16,0.0613973969957442,True
ideal_control:ideal_control_output_vtg_0p5:000,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_output_vtg_0p5,output,ideal_control_output_vtg_0p5,0,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8791599343983458e-19,5.155559092319382e-21,1.1274959606390074e-21,3.093335455391629e-23,1.1274959606390074e-21,3.093335455391629e-23,1.8791599343983456e-19,5.155559092319382e-21,1.9307155253215397e-19,1.0274354460093895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.062317208330317654,1.1139944412133744e+17,0.011756364001485053,True
ideal_control:ideal_control_output_vtg_0p5:001,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_output_vtg_0p5,output,ideal_control_output_vtg_0p5,1,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.5,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.001,-1.999451828469436e-06,1.99945182847e-06,-1.1996710970816617e-08,1.1996710970820002e-08,-1.1996710970816617e-08,1.1996710970820002e-08,-1.999451828469436e-06,1.99945182847e-06,5.64123942871364e-19,2.8213930180205295e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.06276073276673971,1.1115743477869437e+17,0.026761676999740303,True
ideal_control:ideal_control_output_vtg_0p5:002,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_output_vtg_0p5,output,ideal_control_output_vtg_0p5,2,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.5,0.0,0.005,0.0,0.005,0.005,0.0,0.005,0.005,-9.922457253554946e-06,9.922457253554767e-06,-5.953474352132968e-08,5.95347435213286e-08,-5.953474352132968e-08,5.95347435213286e-08,-9.922457253554946e-06,9.922457253554767e-06,-1.7957098481791167e-19,1.809743093159472e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.0645288911141929,1.101914105427519e+17,0.03247247399849584,True
