point_uid,parameter_group_id,changed_parameter,case_id,r_pair_w_kohm_um,r_pair_ohm,r_source_ohm,r_drain_ohm,execution_mode,circuit_coupled,device_id,curve_kind,curve_id,point_index,mesh_level,stage_id,mode_id,vbg_v,vtg_v,requested_external_source_v,requested_external_vds_v,external_source_v,external_drain_v,external_vds_v,internal_source_v,internal_drain_v,internal_device_vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,external_source_current_terminal_a,external_drain_current_terminal_a,external_source_current_a_per_cm,external_drain_current_a_per_cm,current_imbalance_a_per_cm,relative_current_imbalance,source_resistor_current_external_to_internal_a,drain_resistor_current_external_to_internal_a,source_voltage_source_current_a,drain_voltage_source_current_a,source_kcl_residual_a,drain_kcl_residual_a,source_kcl_relative_residual,drain_kcl_relative_residual,source_drop_v,drain_drop_v,total_resistor_drop_v,circuit_ohms_law_residual_v,circuit_ohms_law_relative_residual,voltage_partition_residual_v,total_resistor_power_w,circuit_closure_applicable,circuit_solution_list_json,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
ideal_control:ideal_control_transfer:000,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,0,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,-0.5,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-2.100900501787303e-10,2.1009005018577555e-10,-1.2605403010723819e-12,1.2605403011146533e-12,-1.2605403010723819e-12,1.2605403011146533e-12,-2.100900501787303e-10,2.1009005018577555e-10,7.04525237347899e-21,3.3534440908787024e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],-0.23911894665357208,807306959954.466,0.012491673995100427,True
ideal_control:ideal_control_transfer:001,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,1,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,-0.45,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-4.949974025749016e-10,4.94997402578647e-10,-2.9699844154494098e-12,2.969984415471882e-12,-2.9699844154494098e-12,2.969984415471882e-12,-4.949974025749016e-10,4.94997402578647e-10,3.74537041606354e-21,7.566444584461153e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],-0.21412109486385084,2123150613684.0557,0.040498109003237914,True
ideal_control:ideal_control_transfer:002,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,2,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,-0.4,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-1.175346534127582e-09,1.1753465341285589e-09,-7.052079204765492e-12,7.052079204771353e-12,-7.052079204765492e-12,7.052079204771353e-12,-1.175346534127582e-09,1.1753465341285589e-09,9.769003034251257e-22,8.311593858141864e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],-0.1891262528706111,5583036541237.6,0.03925917200103868,True
ideal_control:ideal_control_transfer:003,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,3,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,-0.35,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-2.8142952810323675e-09,2.8142952810400818e-09,-1.6885771686194205e-11,1.688577168624049e-11,-1.6885771686194205e-11,1.688577168624049e-11,-2.8142952810323675e-09,2.8142952810400818e-09,7.714286392669536e-21,2.741107674322845e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],-0.164138747680266,14676861535814.123,0.03944271899672458,True
ideal_control:ideal_control_transfer:004,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,4,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,-0.3,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-6.798036727847887e-09,6.798036727854662e-09,-4.0788220367087326e-11,4.0788220367127974e-11,-4.0788220367087326e-11,4.0788220367127974e-11,-6.798036727847887e-09,6.798036727854662e-09,6.774609216809297e-21,9.96553782807708e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],-0.13916929053575672,38555380994650.83,0.038278569001704454,True
ideal_control:ideal_control_transfer:005,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,5,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,-0.25,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-1.6561208985024278e-08,1.6561208985027537e-08,-9.936725391014566e-11,9.936725391016522e-11,-9.936725391014566e-11,9.936725391016522e-11,-1.6561208985024278e-08,1.6561208985027537e-08,3.259091613458929e-21,1.9679068215402453e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],-0.11424457985285207,101103933681695.42,0.041130161996989045,True
ideal_control:ideal_control_transfer:006,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,6,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,-0.2,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-4.061372833270612e-08,4.0613728332704366e-08,-2.4368236999623673e-10,2.436823699962262e-10,-2.4368236999623673e-10,2.436823699962262e-10,-4.061372833270612e-08,4.0613728332704366e-08,-1.7536228986124187e-21,4.3178082156033705e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],-0.08943120788227929,263962379689174.03,0.04159974500362296,True
ideal_control:ideal_control_transfer:007,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,7,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,-0.15,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-9.96837938629786e-08,9.968379386297035e-08,-5.981027631778716e-10,5.981027631778221e-10,-5.981027631778716e-10,5.981027631778221e-10,-9.968379386297859e-08,9.968379386297035e-08,-8.258571235729428e-21,8.28476818115624e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],-0.06489271154649566,681727707940020.1,0.041014800000994,True
ideal_control:ideal_control_transfer:008,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,8,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,-0.1,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-2.4142008492076085e-07,2.4142008492075016e-07,-1.4485205095245652e-09,1.4485205095245009e-09,-1.4485205095245652e-09,1.4485205095245009e-09,-2.4142008492076085e-07,2.4142008492075016e-07,-1.0693790959085542e-20,4.429536574223089e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],-0.04100932784576478,1715891505045578.8,0.04233582899905741,True
ideal_control:ideal_control_transfer:009,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,9,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,-0.05,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-5.603609473994749e-07,5.60360947399483e-07,-3.3621656843968496e-09,3.3621656843968984e-09,-3.3621656843968496e-09,3.3621656843968984e-09,-5.603609473994749e-07,5.60360947399483e-07,8.152692117322641e-21,1.4549001237787117e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],-0.018549627861549674,4084411462863897.0,0.04206578199955402,True
