parameter_group_id,changed_parameter,channel_length_um,channel_length_cm,sweep_index,mesh_level,stage_id,mode_id,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
P4,channel_length_um,8.0,0.0008,0,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.5,0.01,-2.6585859343109914e-10,2.6585859342388995e-10,-1.595151560586595e-12,1.5951515605433398e-12,-7.209189231129344e-21,2.711663045414292e-11,-0.23911894663854463,807299230904.3856,0.03910087899930659,True
P4,channel_length_um,8.0,0.0008,1,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.45,0.01,-6.262468147172569e-10,6.262468147103593e-10,-3.757480888303542e-12,3.757480888262155e-12,-6.89765233292656e-21,1.1014271323744407e-11,-0.21412109482227915,2123126873409.3655,0.037885609999648295,True
P4,channel_length_um,8.0,0.0008,2,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.4,0.01,-1.4865770325972152e-09,1.486577032568291e-09,-8.919462195583291e-12,8.919462195409747e-12,-2.8924231274294857e-20,1.9456934043815415e-11,-0.18912625275197936,5582961921423.538,0.03825303699977667,True
P4,channel_length_um,8.0,0.0008,3,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.35,0.01,-3.558311865063771e-09,3.5583118650640724e-09,-2.1349871190382626e-11,2.1349871190384435e-11,3.015073332755786e-22,8.47332512464164e-14,-0.1641387473292002,14676620441593.303,0.03873123800076428,True
P4,channel_length_um,8.0,0.0008,4,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.3,0.01,-8.591574692733662e-09,8.591574692723097e-09,-5.154944815640197e-11,5.154944815633859e-11,-1.056475078352727e-20,1.2296640792126761e-12,-0.13916928945236065,38554576445924.195,0.03803784200044902,True
P4,channel_length_um,8.0,0.0008,5,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.25,0.01,-2.0918890967754397e-08,2.09188909677435e-08,-1.2551334580652638e-10,1.25513345806461e-10,-1.089562302854848e-20,5.208508923988194e-13,-0.1142445763503542,101101150407867.78,0.037507600999560964,True
P4,channel_length_um,8.0,0.0008,6,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.2,0.01,-5.126087915777203e-08,5.126087915777233e-08,-3.075652749466322e-10,3.07565274946634e-10,2.9778502051908996e-22,5.809206268245185e-15,-0.08943119602083023,263952408206155.66,0.03709718800018891,True
P4,channel_length_um,8.0,0.0008,7,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.15,0.01,-1.2567731924560166e-07,1.2567731924559904e-07,-7.5406391547361e-10,7.540639154735942e-10,-2.6205081805679917e-21,2.0851082727559864e-14,-0.06489267002136787,681691242084957.9,0.03694618800000171,True
P4,channel_length_um,8.0,0.0008,8,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.1,0.01,-3.038683720249815e-07,3.038683720249789e-07,-1.823210232149889e-09,1.8232102321498734e-09,-2.5940384009662948e-21,8.536717341392262e-15,-0.04100918393824167,1715761385266540.8,0.04047208999963914,True
P4,channel_length_um,8.0,0.0008,9,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.05,0.01,-7.035494893381088e-07,7.035494893381069e-07,-4.221296936028653e-09,4.221296936028642e-09,-1.9058241313221758e-21,2.7088700371528276e-15,-0.01854917768893896,4083999522387010.0,0.03894285700062028,True
P4,channel_length_um,8.0,0.0008,10,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.0,0.01,-1.4926054763464236e-06,1.4926054763464166e-06,-8.955632858078543e-09,8.9556328580785e-09,-6.988021814847978e-21,4.681760803901878e-15,0.0013338152463257566,8791216665337981.0,0.03883205399961298,True
P4,channel_length_um,8.0,0.0008,11,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.05,0.01,-2.793728440653773e-06,2.793728440653777e-06,-1.676237064392264e-08,1.6762370643922662e-08,4.235164736271502e-21,1.5159543335143932e-15,0.017650657666515007,1.6479205309246862e+16,0.03914566500043293,True
P4,channel_length_um,8.0,0.0008,12,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.1,0.01,-4.5829585342741335e-06,4.582958534274134e-06,-2.7497751205644802e-08,2.7497751205644805e-08,8.470329472543003e-22,1.8482230221366306e-16,0.030252584560749134,2.676359601504644e+16,0.03725134100022842,True
P4,channel_length_um,8.0,0.0008,13,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.15,0.01,-6.725635641805422e-06,6.725635641805401e-06,-4.0353813850832534e-08,4.035381385083241e-08,-2.1175823681357508e-20,3.1485237692229628e-15,0.03972917742413088,3.8539236589675256e+16,0.03794929100058653,True
P4,channel_length_um,8.0,0.0008,14,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.2,0.01,-9.074337275173386e-06,9.074337275173307e-06,-5.444602365104032e-08,5.444602365103984e-08,-7.962109704190423e-20,8.774315371739682e-15,0.04686196235963868,5.071270846624721e+16,0.04094715099927271,True
P4,channel_length_um,8.0,0.0008,15,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.25,0.01,-1.151640000933793e-05,1.1516400009337863e-05,-6.909840005602759e-08,6.909840005602718e-08,-6.776263578034403e-20,5.884011993800105e-15,0.052309529950853716,6.254407212635118e+16,0.03901835699980438,True
P4,channel_length_um,8.0,0.0008,16,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.3,0.01,-1.397697679245677e-05,1.397697679245673e-05,-8.386186075474063e-08,8.386186075474038e-08,-4.0657581468206416e-20,2.9088966857374258e-15,0.05655025187777032,7.36366013195935e+16,0.03811331399992923,True
P4,channel_length_um,8.0,0.0008,17,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.35,0.01,-1.6409258021819475e-05,1.64092580218194e-05,-9.845554813091685e-08,9.84555481309164e-08,-7.453889935837843e-20,4.542490541574986e-15,0.05991607495374474,8.382604612962789e+16,0.038989071999822045,True
P4,channel_length_um,8.0,0.0008,18,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.4,0.01,-1.8785022642705413e-05,1.8785022642705392e-05,-1.1271013585623247e-07,1.1271013585623236e-07,-2.0328790734103208e-20,1.0821807948151326e-15,0.06263616594234978,9.308240802682285e+16,0.037388188000477385,True
P4,channel_length_um,8.0,0.0008,19,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.45,0.01,-2.108795934048189e-05,2.1087959340481878e-05,-1.2652775604289136e-07,1.2652775604289128e-07,-1.3552527156068805e-20,6.4266660122264395e-16,0.06487046811605164,1.0144507112223056e+17,0.037874659999943106,True
P4,channel_length_um,8.0,0.0008,20,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.5,0.01,-2.3309326748766942e-05,2.330932674876676e-05,-1.3985596049260166e-07,1.3985596049260055e-07,-1.8295911660692887e-19,7.849180655404702e-15,0.06673249768787719,1.089847637322855e+17,0.03010061099939776,True
P4,channel_length_um,8.0,0.0008,21,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.55,0.01,-2.5445192147923608e-05,2.544519214792324e-05,-1.5267115288754164e-07,1.5267115288753947e-07,-3.6591823321385775e-19,1.4380643348520268e-14,0.06830431233994222,1.1578273976442803e+17,0.029936756999632053,True
P4,channel_length_um,8.0,0.0008,22,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.6,0.01,-2.749467300504372e-05,2.7494673005043857e-05,-1.6496803803026232e-07,1.6496803803026314e-07,1.3552527156068805e-19,4.929146512701793e-15,0.06964631489644489,1.2192005459771973e+17,0.030343682000420813,True
