parameter_group_id,changed_parameter,temperature_k,thermal_voltage_v,family_id,primary_gate,secondary_gate,sweep_direction,sweep_index,mesh_level,stage_id,mode_id,primary_gate_v,fixed_secondary_gate_v,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,0,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.5,0.0,0.0,-0.5,0.01,-4.03292816211371e-11,4.032928160350107e-11,-2.419756897268226e-13,2.4197568962100643e-13,-1.7636027034559002e-20,4.3730079797195624e-10,-0.239117677002652,123134552156.26819,0.0438777450035559,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,1,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.45,0.0,0.0,-0.45,0.01,-1.1109331304089346e-10,1.110933130408934e-10,-6.665598782453608e-13,6.665598782453604e-13,-6.462348535570529e-26,5.817045471667352e-16,-0.21411820827993994,392956049465.7419,0.04018018399801804,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,2,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.4,0.0,0.0,-0.4,0.01,-3.088983045717052e-10,3.0889830456577985e-10,-1.853389827430231e-12,1.853389827394679e-12,-5.92535322165876e-21,1.9182213479204434e-11,-0.189119702759397,1253969784839.9429,0.03830951300187735,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,3,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.35,0.0,0.0,-0.35,0.01,-8.679905861587261e-10,8.679905861525192e-10,-5.207943516952357e-12,5.207943516915115e-12,-6.2069565214447814e-21,7.150949123669112e-12,-0.16412395444197136,4001027507969.3105,0.03966903400578303,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,4,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.3,0.0,0.0,-0.3,0.01,-2.4675599205344267e-09,2.4675599205208746e-09,-1.480535952320656e-11,1.4805359523125248e-11,-1.3552113565762529e-20,5.492111236280495e-12,-0.13913619956555429,12761099617329.162,0.040037006001512054,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,5,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.25,0.0,0.0,-0.25,0.01,-7.101703290509384e-09,7.1017032905058445e-09,-4.2610219743056305e-11,4.261021974303507e-11,-3.5395058411144054e-21,4.984023826853694e-13,-0.114171915597499,40655095984390.79,0.03968940900085727,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,6,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.2,0.0,0.0,-0.2,0.01,-2.0675063926091606e-08,2.067506392609403e-08,-1.2405038355654965e-10,1.2405038355656418e-10,2.425293556005477e-21,1.1730525064759343e-13,-0.08927725676103401,129090764014782.89,0.038930800001253374,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,7,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.15,0.0,0.0,-0.15,0.01,-6.057264360871461e-08,6.057264360870606e-08,-3.634358616522877e-10,3.634358616522364e-10,-8.549738811348094e-21,1.411485169208966e-13,-0.0645891949117427,405877454054820.8,0.038853460995596834,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,8,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.1,0.0,0.0,-0.1,0.01,-1.755864982269745e-07,1.7558649822696674e-07,-1.053518989361847e-09,1.0535189893618005e-09,-7.755645423297187e-21,4.416994188967615e-14,-0.040496010686000714,1240530579458296.5,0.0402783020035713,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,9,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.05,0.0,0.0,-0.05,0.01,-4.82627345335881e-07,4.826273453358853e-07,-2.895764072015286e-09,2.895764072015312e-09,4.341043854678289e-21,8.994608151879857e-15,-0.017942365055987345,3525139608810057.5,0.039181469997856766,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,10,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.0,0.0,0.0,0.0,0.01,-1.1709434196418396e-06,1.1709434196418402e-06,-7.025660517851038e-09,7.025660517851041e-09,6.352747104407253e-22,5.425323715769619e-16,0.001491156865566014,8651982105818172.0,0.04610084700107109,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,11,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.05,0.0,0.0,0.05,0.01,-2.369607718640676e-06,2.36960771864067e-06,-1.4217646311844055e-08,1.4217646311844019e-08,-5.929230630780102e-21,2.5021992391978713e-15,0.016573621800585886,1.7343502927534756e+16,0.037574253998172935,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,12,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.1,0.0,0.0,0.1,0.01,-4.020039734283579e-06,4.020039734283599e-06,-2.4120238405701475e-08,2.4120238405701597e-08,2.0328790734103208e-20,5.05686313514161e-15,0.027476888096402207,2.8661630910631496e+16,0.04334003000258235,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,13,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.15,0.0,0.0,0.15,0.01,-5.964101929448814e-06,5.964101929448868e-06,-3.5784611576692884e-08,3.578461157669321e-08,5.421010862427522e-20,9.089400091672255e-15,0.035226634271965984,4.096265798912835e+16,0.039392531994963065,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,14,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.2,0.0,0.0,0.2,0.01,-8.06191148469404e-06,8.06191148469406e-06,-4.837146890816424e-08,4.837146890816436e-08,2.0328790734103208e-20,2.5215844620346464e-15,0.04082055168068166,5.301271992240715e+16,0.03829826300352579,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,15,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.25,0.0,0.0,0.25,0.01,-1.02202005984812e-05,1.0220200598481116e-05,-6.13212035908872e-08,6.13212035908867e-08,-8.300922883092143e-20,8.122074320464634e-15,0.044965633121447454,6.417973981924897e+16,0.03925828799401643,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,16,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.3,0.0,0.0,0.3,0.01,-1.2381986615361441e-05,1.2381986615361455e-05,-7.429191969216865e-08,7.429191969216873e-08,1.3552527156068805e-20,1.094535762076753e-15,0.048121818485549694,7.42381092798743e+16,0.038926922003156506,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,17,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.35,0.0,0.0,0.35,0.01,-1.4513403613713172e-05,1.4513403613713243e-05,-8.708042168227903e-08,8.708042168227947e-08,7.115076756936123e-20,4.902417755552059e-15,0.05058571065263176,8.317513113752371e+16,0.040071468996757176,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,18,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.4,0.0,0.0,0.4,0.01,-1.6594691532792087e-05,1.65946915327921e-05,-9.956814919675253e-08,9.95681491967526e-08,1.3552527156068805e-20,8.166784618616262e-16,0.05255184628517776,9.107255858517722e+16,0.03798043900314951,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,19,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.45,0.0,0.0,0.45,0.01,-1.8614704712022246e-05,1.8614704712021795e-05,-1.1168822827213348e-07,1.1168822827213077e-07,-4.506215279392878e-19,2.4207825743711924e-14,0.054150992399777595,9.80450063967328e+16,0.03999251700588502,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,20,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.5,0.0,0.0,0.5,0.01,-2.0567620797134396e-05,2.0567620797134362e-05,-1.2340572478280637e-07,1.234057247828062e-07,-3.3881317890172014e-20,1.6473134264947436e-15,0.05547333926019776,1.0421085310584005e+17,0.032601585997326765,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,21,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.55,0.0,0.0,0.55,0.01,-2.2450945064147704e-05,2.2450945064147355e-05,-1.3470567038488622e-07,1.3470567038488413e-07,-3.4897757426877174e-19,1.554400375002743e-14,0.05658263530617066,1.0967985736555157e+17,0.031208180997055024,True
