mesh_level,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
coarse,bottom_oxide,0.0,0.0,0.0,0.0,0.0,
coarse,bottom_oxide,0.0,1e-06,0.0,10.0,2.150948375039801e-07,
coarse,bottom_oxide,5e-05,0.0,0.5,0.0,0.0,
coarse,bottom_oxide,5e-05,1e-06,0.5,10.0,5.993193186410249e-05,
coarse,bottom_oxide,0.0,2e-06,0.0,20.0,3.824162053866814e-07,
coarse,bottom_oxide,5e-05,2e-06,0.5,20.0,0.00011986367416749226,
coarse,bottom_oxide,0.0,3e-06,0.0,30.0,4.541525668996982e-07,
coarse,bottom_oxide,5e-05,3e-06,0.5,30.0,0.0001797950563494417,
coarse,bottom_oxide,0.0001,0.0,1.0,0.0,0.0,
coarse,bottom_oxide,0.0001,1e-06,1.0,10.0,0.00012012267067251034,
coarse,bottom_oxide,0.0001,2e-06,1.0,20.0,0.00024024523573041936,
coarse,bottom_oxide,0.0001,3e-06,1.0,30.0,0.00036036758959323686,
coarse,bottom_oxide,0.00015000000000000001,0.0,1.5000000000000002,0.0,0.0,
coarse,bottom_oxide,0.00015000000000000001,1e-06,1.5000000000000002,10.0,0.00018057744598428606,
coarse,bottom_oxide,0.00015000000000000001,2e-06,1.5000000000000002,20.0,0.0003611547850221653,
coarse,bottom_oxide,0.00015000000000000001,3e-06,1.5000000000000002,30.0,0.0005417319101672818,
coarse,bottom_oxide,0.0002,0.0,2.0,0.0,0.0,
coarse,bottom_oxide,0.0002,1e-06,2.0,10.0,0.00024129958731307916,
coarse,bottom_oxide,0.0002,2e-06,2.0,20.0,0.00048259906622096416,
coarse,bottom_oxide,0.0002,3e-06,2.0,30.0,0.0007238983283184743,
coarse,bottom_oxide,0.00025,0.0,2.5,0.0,0.0,
coarse,bottom_oxide,0.00025,1e-06,2.5,10.0,0.00030229274162722926,
coarse,bottom_oxide,0.00025,2e-06,2.5,20.0,0.0006045853733567748,
coarse,bottom_oxide,0.00025,3e-06,2.5,30.0,0.0009068777852909666,
coarse,bottom_oxide,0.00030000000000000003,0.0,3.0000000000000004,0.0,0.0,
coarse,bottom_oxide,0.00030000000000000003,1e-06,3.0000000000000004,10.0,0.00036356064015078304,
coarse,bottom_oxide,0.00030000000000000003,2e-06,3.0000000000000004,20.0,0.000727121168876804,
coarse,bottom_oxide,0.00030000000000000003,3e-06,3.0000000000000004,30.0,0.0010906814747533148,
coarse,bottom_oxide,0.00035,0.0,3.5,0.0,0.0,
coarse,bottom_oxide,0.00035,1e-06,3.5,10.0,0.0004251071005797241,
coarse,bottom_oxide,0.00035,2e-06,3.5,20.0,0.0008502140881718867,
coarse,bottom_oxide,0.00035,3e-06,3.5,30.0,0.0012753208497889412,
coarse,bottom_oxide,0.0004,0.0,4.0,0.0,0.0,
coarse,bottom_oxide,0.0004,1e-06,4.0,10.0,0.00048693602991242257,
coarse,bottom_oxide,0.0004,2e-06,4.0,20.0,0.0009738719452375825,
coarse,bottom_oxide,0.0004,3e-06,4.0,30.0,0.001460807631388232,
coarse,bottom_oxide,0.00045000000000000004,0.0,4.5,0.0,0.0,
coarse,bottom_oxide,0.00045000000000000004,1e-06,4.5,10.0,0.0005490514274019919,
coarse,bottom_oxide,0.00045000000000000004,2e-06,4.5,20.0,0.0010981027385788863,
coarse,bottom_oxide,0.00045000000000000004,3e-06,4.5,30.0,0.0016471538173056014,
coarse,bottom_oxide,0.0005,0.0,5.0,0.0,0.0,
coarse,bottom_oxide,0.0005,1e-06,5.0,10.0,0.0006114573876353424,
coarse,bottom_oxide,0.0005,2e-06,5.0,20.0,0.0012229146573683339,
coarse,bottom_oxide,0.0005,3e-06,5.0,30.0,0.0018343716912966402,
coarse,bottom_oxide,0.0005499999999999999,0.0,5.499999999999999,0.0,0.0,
coarse,bottom_oxide,0.0005499999999999999,1e-06,5.499999999999999,10.0,0.0006741581037456383,
coarse,bottom_oxide,0.0005499999999999999,2e-06,5.499999999999999,20.0,0.0013483160878709128,
coarse,bottom_oxide,0.0005499999999999999,3e-06,5.499999999999999,30.0,0.002022473832755477,
coarse,bottom_oxide,0.0006000000000000001,0.0,6.000000000000001,0.0,0.0,
coarse,bottom_oxide,0.0006000000000000001,1e-06,6.000000000000001,10.0,0.0007371578707652926,
coarse,bottom_oxide,0.0006000000000000001,2e-06,6.000000000000001,20.0,0.0014743156201500482,
coarse,bottom_oxide,0.0006000000000000001,3e-06,6.000000000000001,30.0,0.002211473126773748,
coarse,bottom_oxide,0.0006500000000000001,0.0,6.500000000000001,0.0,0.0,
coarse,bottom_oxide,0.0006500000000000001,1e-06,6.500000000000001,10.0,0.000800461089127081,
coarse,bottom_oxide,0.0006500000000000001,2e-06,6.500000000000001,20.0,0.0016009220550698288,
coarse,bottom_oxide,0.0006500000000000001,3e-06,6.500000000000001,30.0,0.0024013827746439285,
coarse,bottom_oxide,0.0007,0.0,7.0,0.0,0.0,
coarse,bottom_oxide,0.0007,1e-06,7.0,10.0,0.0008640722683214627,
coarse,bottom_oxide,0.0007,2e-06,7.0,20.0,0.0017281444116096442,
coarse,bottom_oxide,0.0007,3e-06,7.0,30.0,0.0025922163048312814,
coarse,bottom_oxide,0.00075,0.0,7.5,0.0,0.0,
coarse,bottom_oxide,0.00075,1e-06,7.5,10.0,0.0009279960307193889,
coarse,bottom_oxide,0.00075,2e-06,7.5,20.0,0.0018559919345097196,
coarse,bottom_oxide,0.00075,3e-06,7.5,30.0,0.002783987584441962,
coarse,bottom_oxide,0.0008,0.0,8.0,0.0,0.0,
coarse,bottom_oxide,0.0008,1e-06,8.0,10.0,0.000992237115762814,
coarse,bottom_oxide,0.0008,2e-06,8.0,20.0,0.0019844741026304232,
coarse,bottom_oxide,0.0008,3e-06,8.0,30.0,0.0029767108317100073,
coarse,bottom_oxide,0.0008500000000000001,0.0,8.5,0.0,0.0,
coarse,bottom_oxide,0.0008500000000000001,1e-06,8.5,10.0,0.0010568004388176945,
coarse,bottom_oxide,0.0008500000000000001,2e-06,8.5,20.0,0.0021136007408158884,
coarse,bottom_oxide,0.0008500000000000001,3e-06,8.5,30.0,0.0031704007696285257,
coarse,bottom_oxide,0.0009000000000000001,0.0,9.0,0.0,0.0,
coarse,bottom_oxide,0.0009000000000000001,1e-06,9.0,10.0,0.0011217058106238848,
coarse,bottom_oxide,0.0009000000000000001,2e-06,9.0,20.0,0.0022434103428934943,
coarse,bottom_oxide,0.0009000000000000001,3e-06,9.0,30.0,0.003365112116904692,
coarse,bottom_oxide,0.00095,0.0,9.5,0.0,0.0,
coarse,bottom_oxide,0.00095,1e-06,9.5,10.0,0.0011898070681176556,
coarse,bottom_oxide,0.00095,2e-06,9.5,20.0,0.0023801155910020077,
coarse,bottom_oxide,0.00095,3e-06,9.5,30.0,0.00357142780446632,
coarse,bottom_oxide,0.001,0.0,10.0,0.0,0.0,
coarse,bottom_oxide,0.001,1e-06,10.0,10.0,4.271408869580179e-06,
coarse,bottom_oxide,0.001,2e-06,10.0,20.0,7.594389211761897e-06,
coarse,bottom_oxide,0.001,3e-06,10.0,30.0,9.01935259251142e-06,
coarse,channel,0.0,3e-06,0.0,30.0,0.0,1e+16
coarse,channel,0.0,3.6000000000000003e-06,0.0,36.0,0.0,1e+16
coarse,channel,5e-05,3e-06,0.5,30.0,0.0001797950563494417,9894239028629748.0
coarse,channel,5e-05,3.6000000000000003e-06,0.5,36.0,0.00020080213880033362,9902282242876556.0
coarse,channel,0.0,4.2000000000000004e-06,0.0,42.00000000000001,0.0,1e+16
coarse,channel,5e-05,4.2000000000000004e-06,0.5,42.00000000000001,0.0002154435198649896,9907892002416284.0
coarse,channel,0.0,4.8e-06,0.0,48.0,0.0,1e+16
coarse,channel,5e-05,4.8e-06,0.5,48.0,0.0002240846222224117,9911204275544504.0
coarse,channel,0.0,5.4e-06,0.0,54.0,0.0,1e+16
coarse,channel,5e-05,5.4e-06,0.5,54.0,0.00022694120871188966,9912299493491970.0
coarse,channel,0.0001,3e-06,1.0,30.0,0.00036036758959323686,9788248753141570.0
