mesh_level,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
fine,bottom_oxide,0.0,0.0,0.0,0.0,0.0,
fine,bottom_oxide,0.0,5e-07,0.0,5.0,2.1222878684837148e-07,
fine,bottom_oxide,2.5e-05,0.0,0.25,0.0,0.0,
fine,bottom_oxide,2.5e-05,5e-07,0.25,5.0,1.4916268466649506e-05,
fine,bottom_oxide,0.0,1e-06,0.0,10.0,4.12694341952902e-07,
fine,bottom_oxide,2.5e-05,1e-06,0.25,10.0,2.9832440115058854e-05,
fine,bottom_oxide,0.0,1.5e-06,0.0,15.0,5.896241004389478e-07,
fine,bottom_oxide,2.5e-05,1.5e-06,0.25,15.0,4.4748422760156315e-05,
fine,bottom_oxide,0.0,2e-06,0.0,20.0,7.312268199972198e-07,
fine,bottom_oxide,2.5e-05,2e-06,0.25,20.0,5.9664133490633535e-05,
fine,bottom_oxide,0.0,2.5e-06,0.0,25.000000000000004,8.256832142189827e-07,
fine,bottom_oxide,2.5e-05,2.5e-06,0.25,25.000000000000004,7.457950332440454e-05,
fine,bottom_oxide,0.0,3e-06,0.0,30.0,8.611365523525971e-07,
fine,bottom_oxide,2.5e-05,3e-06,0.25,30.0,8.949448188638868e-05,
fine,bottom_oxide,5e-05,0.0,0.5,0.0,0.0,
fine,bottom_oxide,5e-05,5e-07,0.5,5.0,2.9862353746857842e-05,
fine,bottom_oxide,5e-05,1e-06,0.5,10.0,5.972469416786819e-05,
fine,bottom_oxide,5e-05,1.5e-06,0.5,15.0,8.958700797046945e-05,
fine,bottom_oxide,5e-05,2e-06,0.5,20.0,0.00011944928192684507,
fine,bottom_oxide,5e-05,2.5e-06,0.5,25.000000000000004,0.00014931150290172507,
fine,bottom_oxide,5e-05,3e-06,0.5,30.0,0.00017917365787468938,
fine,bottom_oxide,7.500000000000001e-05,0.0,0.7500000000000001,0.0,0.0,
fine,bottom_oxide,7.500000000000001e-05,5e-07,0.7500000000000001,5.0,4.4841753645800606e-05,
fine,bottom_oxide,7.500000000000001e-05,1e-06,0.7500000000000001,10.0,8.968349424341597e-05,
fine,bottom_oxide,7.500000000000001e-05,1.5e-06,0.7500000000000001,15.0,0.00013452520874480562,
fine,bottom_oxide,7.500000000000001e-05,2e-06,0.7500000000000001,20.0,0.00017936688410220524,
fine,bottom_oxide,7.500000000000001e-05,2.5e-06,0.7500000000000001,25.000000000000004,0.0002242085072682327,
fine,bottom_oxide,7.500000000000001e-05,3e-06,0.7500000000000001,30.0,0.00026905006519595693,
fine,bottom_oxide,0.0001,0.0,1.0,0.0,0.0,
fine,bottom_oxide,0.0001,5e-07,1.0,5.0,5.985377400780751e-05,
fine,bottom_oxide,0.0001,1e-06,1.0,10.0,0.0001197075348832984,
