mesh_level,stage_id,vgs_v,vds_v,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0,0.0,0.0,0.0,-0.5,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0,1e-06,0.0,10.0,-0.4999747256071907,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,5e-05,0.0,0.5,0.0,-0.5,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,5e-05,1e-06,0.5,10.0,-0.49295984727125475,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0,2e-06,0.0,20.0,-0.4999550631170502,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,5e-05,2e-06,0.5,20.0,-0.48591662890229154,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0,3e-06,0.0,30.0,-0.4999466313742814,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,5e-05,3e-06,0.5,30.0,-0.47886727445244576,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0001,0.0,1.0,0.0,-0.5,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0001,1e-06,1.0,10.0,-0.49360906948012984,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0001,2e-06,1.0,20.0,-0.4872183968940788,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0001,3e-06,1.0,30.0,-0.4808282416075714,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00015000000000000001,0.0,1.5000000000000002,0.0,-0.5,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00015000000000000001,1e-06,1.5000000000000002,10.0,-0.49361345714122157,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00015000000000000001,2e-06,1.5000000000000002,20.0,-0.4872269160267382,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00015000000000000001,3e-06,1.5000000000000002,30.0,-0.4808403782990625,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0002,0.0,2.0,0.0,-0.5,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0002,1e-06,2.0,10.0,-0.493613484064741,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0002,2e-06,2.0,20.0,-0.4872269681401863,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0002,3e-06,2.0,30.0,-0.4808404522363509,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00025,0.0,2.5,0.0,-0.5,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00025,1e-06,2.5,10.0,-0.4936134842275721,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00025,2e-06,2.5,20.0,-0.48722696845520935,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00025,3e-06,2.5,30.0,-0.48084045268297276,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00030000000000000003,0.0,3.0000000000000004,0.0,-0.5,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00030000000000000003,1e-06,3.0000000000000004,10.0,-0.4936134842274815,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00030000000000000003,2e-06,3.0000000000000004,20.0,-0.48722696845496344,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00030000000000000003,3e-06,3.0000000000000004,30.0,-0.48084045268244613,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00035,0.0,3.5,0.0,-0.5,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00035,1e-06,3.5,10.0,-0.4936134842263997,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00035,2e-06,3.5,20.0,-0.48722696845279945,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00035,3e-06,3.5,30.0,-0.48084045267919917,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0004,0.0,4.0,0.0,-0.5,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0004,1e-06,4.0,10.0,-0.49361348422531187,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0004,2e-06,4.0,20.0,-0.48722696845062374,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0004,3e-06,4.0,30.0,-0.4808404526759356,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00045000000000000004,0.0,4.5,0.0,-0.5,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00045000000000000004,1e-06,4.5,10.0,-0.493613484224224,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00045000000000000004,2e-06,4.5,20.0,-0.487226968448448,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00045000000000000004,3e-06,4.5,30.0,-0.480840452672672,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0005,0.0,5.0,0.0,-0.5,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0005,1e-06,5.0,10.0,-0.4936134842231361,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0005,2e-06,5.0,20.0,-0.4872269684462722,
coarse,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0005,3e-06,5.0,30.0,-0.4808404526694084,
