mesh_level,stage_id,vgs_v,vds_v,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0,0.0,0.0,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0,1e-06,0.0,10.0,2.1509483750398047e-07,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,5e-05,0.0,0.5,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,5e-05,1e-06,0.5,10.0,5.9931931864102605e-05,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0,2e-06,0.0,20.0,3.824162053866821e-07,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,5e-05,2e-06,0.5,20.0,0.00011986367416749248,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0,3e-06,0.0,30.0,4.5415256689969904e-07,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,5e-05,3e-06,0.5,30.0,0.00017979505634944202,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0001,0.0,1.0,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0001,1e-06,1.0,10.0,0.0001201226706725102,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0001,2e-06,1.0,20.0,0.00024024523573041906,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0001,3e-06,1.0,30.0,0.00036036758959323643,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00015000000000000001,0.0,1.5000000000000002,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00015000000000000001,1e-06,1.5000000000000002,10.0,0.00018057744598428592,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00015000000000000001,2e-06,1.5000000000000002,20.0,0.0003611547850221651,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00015000000000000001,3e-06,1.5000000000000002,30.0,0.0005417319101672814,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0002,0.0,2.0,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0002,1e-06,2.0,10.0,0.0002412995873130787,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0002,2e-06,2.0,20.0,0.00048259906622096323,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0002,3e-06,2.0,30.0,0.0007238983283184729,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00025,0.0,2.5,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00025,1e-06,2.5,10.0,0.0003022927416272288,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00025,2e-06,2.5,20.0,0.0006045853733567738,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00025,3e-06,2.5,30.0,0.0009068777852909652,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00030000000000000003,0.0,3.0000000000000004,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00030000000000000003,1e-06,3.0000000000000004,10.0,0.00036356064015078256,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00030000000000000003,2e-06,3.0000000000000004,20.0,0.0007271211688768031,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00030000000000000003,3e-06,3.0000000000000004,30.0,0.0010906814747533135,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00035,0.0,3.5,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00035,1e-06,3.5,10.0,0.0004251071005797236,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00035,2e-06,3.5,20.0,0.0008502140881718858,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00035,3e-06,3.5,30.0,0.0012753208497889399,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0004,0.0,4.0,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0004,1e-06,4.0,10.0,0.0004869360299124223,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0004,2e-06,4.0,20.0,0.0009738719452375819,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0004,3e-06,4.0,30.0,0.0014608076313882311,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00045000000000000004,0.0,4.5,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00045000000000000004,1e-06,4.5,10.0,0.0005490514274019916,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00045000000000000004,2e-06,4.5,20.0,0.0010981027385788857,
