mesh_level,stage_id,vgs_v,vds_v,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0,0.0,0.0,0.0,-1.0,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0,5e-07,0.0,5.0,-0.9999174855217907,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,2.5e-05,0.0,0.25,0.0,-1.0,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,2.5e-05,5e-07,0.25,5.0,-0.9942102733906997,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0,1e-06,0.0,10.0,-0.9998395368132862,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,2.5e-05,1e-06,0.25,10.0,-0.9884172524575394,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0,1.5e-06,0.0,15.0,-0.9997707259322663,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,2.5e-05,1.5e-06,0.25,15.0,-0.98261763802092,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0,2e-06,0.0,20.0,-0.9997156375215756,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,2.5e-05,2e-06,0.25,20.0,-0.9768081211825256,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0,2.5e-06,0.0,25.000000000000004,-0.999678875123956,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,2.5e-05,2.5e-06,0.25,25.000000000000004,-0.9709853784478599,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0,3e-06,0.0,30.0,-0.9996650675236773,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,2.5e-05,3e-06,0.25,30.0,-0.965146066827025,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,5e-05,0.0,0.5,0.0,-1.0,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,5e-05,5e-07,0.5,5.0,-0.996738870909487,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,5e-05,1e-06,0.5,10.0,-0.9934787267497608,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,5e-05,1.5e-06,0.5,15.0,-0.9902205545469293,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,5e-05,2e-06,0.5,20.0,-0.9869653455215102,
