mesh_level,stage_id,vgs_v,vds_v,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0,0.0,0.0,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0,5e-07,0.0,5.0,0.4990905125862137,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,2.5e-05,0.0,0.25,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,2.5e-05,5e-07,0.25,5.0,0.43615209883487904,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0,1e-06,0.0,10.0,0.49823137590342836,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,2.5e-05,1e-06,0.25,10.0,0.3722790782456468,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0,1.5e-06,0.0,15.0,0.49747300105876935,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,2.5e-05,1.5e-06,0.25,15.0,0.3083557785992601,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0,2e-06,0.0,20.0,0.4968659199920779,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,2.5e-05,2e-06,0.25,20.0,0.2443569597844964,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0,2.5e-06,0.0,25.000000000000004,0.4964608460935525,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,2.5e-05,2.5e-06,0.25,25.000000000000004,0.18025726082198645,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0,3e-06,0.0,30.0,0.4963087350632444,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,2.5e-05,3e-06,0.25,30.0,0.1160311592929406,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,5e-05,0.0,0.5,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,5e-05,5e-07,0.5,5.0,0.43601224536173677,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,5e-05,1e-06,0.5,10.0,0.3720244234741997,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,5e-05,1.5e-06,0.5,15.0,0.30803647708214077,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,5e-05,2e-06,0.5,20.0,0.24404836894243231,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,5e-05,2.5e-06,0.5,25.000000000000004,0.1800600918903418,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,5e-05,3e-06,0.5,30.0,0.11607167897819158,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,7.500000000000001e-05,0.0,0.7500000000000001,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,7.500000000000001e-05,5e-07,0.7500000000000001,5.0,0.4360405150733429,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,7.500000000000001e-05,1e-06,0.7500000000000001,10.0,0.3720810300072154,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,7.500000000000001e-05,1.5e-06,0.7500000000000001,15.0,0.30812154468893704,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,7.500000000000001e-05,2e-06,0.7500000000000001,20.0,0.24416205905543126,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,7.500000000000001e-05,2.5e-06,0.7500000000000001,25.000000000000004,0.18020257310807364,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,7.500000000000001e-05,3e-06,0.7500000000000001,30.0,0.11624308691556111,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0001,0.0,1.0,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0001,5e-07,1.0,5.0,0.43606913346096493,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0001,1e-06,1.0,10.0,0.3721382669172982,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0001,1.5e-06,1.0,15.0,0.3082074003644219,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0001,2e-06,1.0,20.0,0.24427653379785527,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0001,2.5e-06,1.0,25.000000000000004,0.18034566721323775,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0001,3e-06,1.0,30.0,0.1164148006063271,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000125,0.0,1.25,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000125,5e-07,1.25,5.0,0.436097763427797,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000125,1e-06,1.25,10.0,0.37219552685121204,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000125,1.5e-06,1.25,15.0,0.30829329026586333,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000125,2e-06,1.25,20.0,0.24439105366736918,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000125,2.5e-06,1.25,25.000000000000004,0.1804888170513482,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000125,3e-06,1.25,30.0,0.11658658041341921,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00015000000000000001,0.0,1.5000000000000002,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00015000000000000001,5e-07,1.5000000000000002,5.0,0.4361264043494591,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00015000000000000001,1e-06,1.5000000000000002,10.0,0.3722528086945317,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00015000000000000001,1.5e-06,1.5000000000000002,15.0,0.3083792130308312,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00015000000000000001,2e-06,1.5000000000000002,20.0,0.24450561735397117,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00015000000000000001,2.5e-06,1.5000000000000002,25.000000000000004,0.18063202165956493,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00015000000000000001,3e-06,1.5000000000000002,30.0,0.1167584259432261,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000175,0.0,1.75,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000175,5e-07,1.75,5.0,0.4361550562374505,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000175,1e-06,1.75,10.0,0.3723101124705093,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000175,1.5e-06,1.75,15.0,0.30846516869478496,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000175,2e-06,1.75,20.0,0.24462022490588575,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000175,2.5e-06,1.75,25.000000000000004,0.18077528109942,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.000175,3e-06,1.75,30.0,0.1169303372709962,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0002,0.0,2.0,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0002,5e-07,2.0,5.0,0.43618371910448955,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0002,1e-06,2.0,10.0,0.37236743820458235,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0002,1.5e-06,2.0,15.0,0.3085511572958817,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0002,2e-06,2.0,20.0,0.24473487637399094,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0002,2.5e-06,2.0,25.000000000000004,0.18091859543451325,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.0002,3e-06,2.0,30.0,0.11710231447305201,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00022500000000000002,0.0,2.25,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00022500000000000002,5e-07,2.25,5.0,0.43621239296332176,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00022500000000000002,1e-06,2.25,10.0,0.37242478592224165,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00022500000000000002,1.5e-06,2.25,15.0,0.30863717887235786,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00022500000000000002,2e-06,2.25,20.0,0.2448495718092687,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00022500000000000002,2.5e-06,2.25,25.000000000000004,0.18106196472857214,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00022500000000000002,3e-06,2.25,30.0,0.11727435762586652,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00025,0.0,2.5,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00025,5e-07,2.5,5.0,0.43624107782671745,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00025,1e-06,2.5,10.0,0.372482155649028,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00025,1.5e-06,2.5,15.0,0.3087232334625246,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00025,2e-06,2.5,20.0,0.24496431126280047,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00025,2.5e-06,2.5,25.000000000000004,0.18120538904544847,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00025,3e-06,2.5,30.0,0.11744646680606181,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00027499999999999996,0.0,2.7499999999999996,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00027499999999999996,5e-07,2.7499999999999996,5.0,0.436269773707472,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00027499999999999996,1e-06,2.7499999999999996,10.0,0.3725395474105319,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00027499999999999996,1.5e-06,2.7499999999999996,15.0,0.30880932110476766,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00027499999999999996,2e-06,2.7499999999999996,20.0,0.24507909478576725,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00027499999999999996,2.5e-06,2.7499999999999996,25.000000000000004,0.1813488684491185,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00027499999999999996,3e-06,2.7499999999999996,30.0,0.11761864209040945,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00030000000000000003,0.0,3.0000000000000004,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00030000000000000003,5e-07,3.0000000000000004,5.0,0.43629848061840554,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00030000000000000003,1e-06,3.0000000000000004,10.0,0.3725969612323939,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00030000000000000003,1.5e-06,3.0000000000000004,15.0,0.3088954418375478,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00030000000000000003,2e-06,3.0000000000000004,20.0,0.2451939224294501,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00030000000000000003,2.5e-06,3.0000000000000004,25.000000000000004,0.1814924030036835,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00030000000000000003,3e-06,3.0000000000000004,30.0,0.1177908835558309,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00032500000000000004,0.0,3.2500000000000004,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00032500000000000004,5e-07,3.2500000000000004,5.0,0.4363271985723634,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00032500000000000004,1e-06,3.2500000000000004,10.0,0.37265439714030446,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00032500000000000004,1.5e-06,3.2500000000000004,15.0,0.3089815956994008,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00032500000000000004,2e-06,3.2500000000000004,20.0,0.24530879424523008,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00032500000000000004,2.5e-06,3.2500000000000004,25.000000000000004,0.18163599277336986,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00032500000000000004,3e-06,3.2500000000000004,30.0,0.11796319127939792,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00035,0.0,3.5,0.0,0.5,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00035,5e-07,3.5,5.0,0.43635592758221603,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00035,1e-06,3.5,10.0,0.3727118551600045,
fine,T01_A_STAGE_2,0.5,0.01,bottom_oxide,0.00035,1.5e-06,3.5,15.0,0.309067782728938,
