mesh_level,stage_id,vgs_v,vds_v,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,0.0,0.0,0.0,0.0,1.0,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,0.0,5.000000000000001e-07,0.0,5.000000000000001,0.9979982649702571,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,2.5e-05,0.0,0.25,0.0,1.0,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,2.5e-05,5.000000000000001e-07,0.25,5.000000000000001,0.8594705755966721,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,0.0,1.0000000000000002e-06,0.0,10.000000000000002,0.9961073520920132,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,2.5e-05,1.0000000000000002e-06,0.25,10.000000000000002,0.7188858726187856,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,0.0,1.5000000000000002e-06,0.0,15.000000000000002,0.9944382163973478,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,2.5e-05,1.5000000000000002e-06,0.25,15.000000000000002,0.5781905239968622,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,0.0,2.0000000000000003e-06,0.0,20.000000000000004,0.9931020788566026,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,2.5e-05,2.0000000000000003e-06,0.25,20.000000000000004,0.43732898553883714,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,0.0,2.2500000000000005e-06,0.0,22.500000000000004,0.9926007420142254,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,2.5e-05,2.2500000000000005e-06,0.25,22.500000000000004,0.36681496629328203,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,0.0,2.5e-06,0.0,25.000000000000004,0.9922245623269925,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,2.5e-05,2.5e-06,0.25,25.000000000000004,0.2962384374505402,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,0.0,2.75e-06,0.0,27.5,0.9919875798647347,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,2.5e-05,2.75e-06,0.25,27.5,0.2255923644148027,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,0.0,3e-06,0.0,30.0,0.9919038764455671,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,2.5e-05,3e-06,0.25,30.0,0.15486968476835275,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,5e-05,0.0,0.5,0.0,1.0,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,5e-05,5.000000000000001e-07,0.5,5.000000000000001,0.8591393226194838,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,5e-05,1.0000000000000002e-06,0.5,10.000000000000002,0.7182785032375747,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,5e-05,1.5000000000000002e-06,0.5,15.000000000000002,0.5774174218508147,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,5e-05,2.0000000000000003e-06,0.5,20.000000000000004,0.4365560025045883,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,5e-05,2.2500000000000005e-06,0.5,22.500000000000004,0.3661251624408687,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,5e-05,2.5e-06,0.5,25.000000000000004,0.29569424253042004,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,5e-05,2.75e-06,0.5,27.5,0.22526325608858633,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,5e-05,3e-06,0.5,30.0,0.15483222337183414,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,7.500000000000001e-05,0.0,0.7500000000000001,0.0,1.0,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,7.500000000000001e-05,5.000000000000001e-07,0.7500000000000001,5.000000000000001,0.8591630731243722,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,7.500000000000001e-05,1.0000000000000002e-06,0.7500000000000001,10.000000000000002,0.7183261459839173,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,7.500000000000001e-05,1.5000000000000002e-06,0.7500000000000001,15.000000000000002,0.5774892183703979,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,7.500000000000001e-05,2.0000000000000003e-06,0.7500000000000001,20.000000000000004,0.43665229018000135,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,7.500000000000001e-05,2.2500000000000005e-06,0.7500000000000001,22.500000000000004,0.36623382588006614,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,7.500000000000001e-05,2.5e-06,0.7500000000000001,25.000000000000004,0.29581536146050214,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,7.500000000000001e-05,2.75e-06,0.7500000000000001,27.5,0.2253968969461326,
interface_2x,T01_A_STAGE_2,1.0,0.01,bottom_oxide,7.500000000000001e-05,3e-06,0.7500000000000001,30.0,0.1549784323684151,
