state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-2.5995169702327163,-2.5995169702327163,-2.5995169702327163,0.0,0.0,0.0,-2.5995169702327163,0.0,2.5995169702327163,2.5995169702327163,2.5995169702327163,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,1,1,2,3,0.0,3.075e-06,2.5e-05,3e-06,2.5e-05,3.075e-06,1.6666666666666667e-05,3.05e-06,0.16666666666666669,30.5,-2.6281639125170053,-2.6281639125170053,-2.599607311216338,-0.0015570599065859601,-0.0015570599065859601,-0.03011366120725295,-2.6186450454167827,-0.01107592700680829,2.618668468906464,2.618703490036014,2.628164373758279,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,2,1,3,4,0.0,3.075e-06,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,8.333333333333334e-06,3.1000000000000004e-06,0.08333333333333334,31.000000000000004,-2.62816391251697,-2.6281639125170053,-2.6281639125170053,-3.5421033559083595e-14,0.0,0.0,-2.6281639125169938,-1.1807011186361198e-14,2.6281639125169938,2.6281639125169938,2.6281639125170053,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,3,2,3,66,2.5e-05,3e-06,2.5e-05,3.075e-06,5e-05,3e-06,3.3333333333333335e-05,3.0250000000000003e-06,0.33333333333333337,30.250000000000004,-1.5827591125343727,-1.5614770294687266,-1.5614770294687266,0.019725023159059846,-0.0015570599065859601,-0.0015570599065859601,-1.5685710571572755,0.005536967781962642,1.5685808297195625,1.568612543401872,1.5828820186132702,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,4,3,4,5,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,1.6666666666666667e-05,3.125e-06,0.16666666666666669,31.25,-2.6579274933909995,-2.657927493391,-2.628266778387791,-0.0046279086039082915,-0.0046279086039082915,-0.034288623607117416,-2.64804058838993,-0.014514813604978,2.6480803684130274,2.6481178266627814,2.6579315223801028,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,5,3,5,67,2.5e-05,3.075e-06,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,3.3333333333333335e-05,3.1000000000000004e-06,0.33333333333333337,31.000000000000004,-1.6271384309317893,-1.6045476767772187,-1.6045476767772184,0.017962845550661865,-0.0046279086039082915,-0.0046279086039082915,-1.6120779281620754,0.0029023427809484275,1.612080540810833,1.6121154267191116,1.627237578608435,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,6,3,66,67,2.5e-05,3.075e-06,5e-05,3e-06,5e-05,3.075e-06,4.1666666666666665e-05,3.05e-06,0.41666666666666663,30.5,-1.6045476767772184,-1.6045476767772187,-1.5828832841977605,-1.138724112792671e-06,-1.138724112792671e-06,-0.02166553130357126,-1.597326212584066,-0.007222602917265616,1.5973425416613236,1.597375634344061,1.6045476767776228,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,7,4,5,6,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,8.333333333333334e-06,3.1750000000000005e-06,0.08333333333333334,31.750000000000004,-2.6579274933910524,-2.657927493391,-2.6579274933909995,5.224602449964831e-14,0.0,0.0,-2.6579274933910173,1.741534149988277e-14,2.6579274933910173,2.6579274933910173,2.6579274933910524,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,8,5,6,7,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,2.5e-05,3.225e-06,1.6666666666666667e-05,3.2e-06,0.16666666666666669,32.0,-2.688862035199362,-2.6888620351993624,-2.6580429035117885,-0.007650908557662448,-0.007650908557662447,-0.03847004024523667,-2.678588991303504,-0.017923952453520523,2.678648960279021,2.678689039676735,2.6888729201541333,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,9,5,7,68,2.5e-05,3.1500000000000003e-06,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,3.3333333333333335e-05,3.1750000000000005e-06,0.33333333333333337,31.750000000000004,-1.6742680203941795,-1.6502608499574236,-1.6502608499574238,0.01635626187909318,-0.007650908557662448,-0.007650908557662447,-1.658263240103009,0.0003514815879227618,1.6582632773526151,1.658301694340639,1.6743479122981886,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,10,5,67,68,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,5e-05,3.1500000000000003e-06,4.1666666666666665e-05,3.125e-06,0.41666666666666663,31.25,-1.650260849957424,-1.6502608499574236,-1.6272613271029093,-3.0219683037724753e-06,-3.0219683037724753e-06,-0.0230025448228182,-1.6425943423392522,-0.007669529586475248,1.642612247357543,1.6426485326372118,1.650260849960191,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,11,6,7,8,0.0,3.225e-06,2.5e-05,3.225e-06,0.0,3.3e-06,8.333333333333334e-06,3.25e-06,0.08333333333333334,32.5,-2.688862035199304,-2.6888620351993624,-2.688862035199362,-5.844470537248793e-14,0.0,0.0,-2.6888620351993424,-1.9481568457495977e-14,2.6888620351993424,2.6888620351993424,2.6888620351993624,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,12,7,8,9,2.5e-05,3.225e-06,0.0,3.3e-06,2.5e-05,3.3e-06,1.6666666666666667e-05,3.275e-06,0.16666666666666669,32.75,-2.7210255519687077,-2.7210255519687077,-2.688990004798132,-0.010620985772090205,-0.010620985772090205,-0.04265653294266604,-2.710347036245183,-0.02129950149561548,2.7104307269596486,2.7104736277025907,2.7210462803497815,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,13,7,9,69,2.5e-05,3.225e-06,2.5e-05,3.3e-06,5e-05,3.225e-06,3.3333333333333335e-05,3.25e-06,0.33333333333333337,32.5,-1.724379182278536,-1.6988362984907897,-1.6988362984907899,0.014921898015655808,-0.010620985772090205,-0.010620985772090205,-1.707350593086705,-0.0021066911761748676,1.7073518928039513,1.7073942473952661,1.7244437443175644,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
