case_id,nta_cm3_ev,nga_cm3_ev,active_family,solve_mode,source_v,drain_v,vbg_v,vtg_v,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3,tail_occupied_density_cm3,deep_occupied_density_cm3,occupied_bulk_traps_cm3,occupied_bulk_traps_derivative,physical_trap_charge_c_per_cm3,poisson_trap_source_c_per_cm3,potential_node_charge_c_per_cm3
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,0.0,0.0,0.0,0.0,0.0,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,0.0,5.000000000000001e-07,0.0,5.000000000000001,4.820248685361879e-05,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,2.5e-05,0.0,0.25,0.0,0.0,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,2.5e-05,5.000000000000001e-07,0.25,5.000000000000001,0.003384058516149253,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,0.0,1.0000000000000002e-06,0.0,10.000000000000002,9.373628888380107e-05,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,2.5e-05,1.0000000000000002e-06,0.25,10.000000000000002,0.006769434481427557,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,0.0,1.5000000000000002e-06,0.0,15.000000000000002,0.00013392953235994836,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,2.5e-05,1.5000000000000002e-06,0.25,15.000000000000002,0.010157447462594386,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,0.0,2.0000000000000003e-06,0.0,20.000000000000004,0.00016610396149190808,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,2.5e-05,2.0000000000000003e-06,0.25,20.000000000000004,0.013549421264847487,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,0.0,2.1250000000000004e-06,0.0,21.250000000000004,0.00017247465411197857,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,2.5e-05,2.1250000000000004e-06,0.25,21.250000000000004,0.014398241432893531,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,0.0,2.2500000000000005e-06,0.0,22.500000000000004,0.00017813405839311,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,2.5e-05,2.2500000000000005e-06,0.25,22.500000000000004,0.015247413154882,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,0.0,2.375e-06,0.0,23.75,0.00018303999871941692,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,2.5e-05,2.375e-06,0.25,23.75,0.016096957333068835,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,0.0,2.5e-06,0.0,25.000000000000004,0.00018715024317900641,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,2.5e-05,2.5e-06,0.25,25.000000000000004,0.016946894907114356,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,0.0,2.6250000000000003e-06,0.0,26.250000000000004,0.00019042250040539915,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,2.5e-05,2.6250000000000003e-06,0.25,26.250000000000004,0.017797246856184484,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,0.0,2.75e-06,0.0,27.5,0.00019281441641400292,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,2.5e-05,2.75e-06,0.25,27.5,0.0186480342010557,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,0.0,2.875e-06,0.0,28.75,0.0001942835714333746,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,2.5e-05,2.875e-06,0.25,28.75,0.01949927800622391,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,0.0,3e-06,0.0,30.0,0.00019478747673100675,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,2.5e-05,3e-06,0.25,30.0,0.020350999382017364,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,5e-05,0.0,0.5,0.0,0.0,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,5e-05,5.000000000000001e-07,0.5,5.000000000000001,0.0034262917228182793,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,5e-05,1.0000000000000002e-06,0.5,10.000000000000002,0.006852592952657876,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,5e-05,1.5000000000000002e-06,0.5,15.000000000000002,0.01027891267715108,,,,,,,,
bulk_zero_control,0.0,0.0,none,coupled_final,0.0,0.01,0.0,0.1,bottom_oxide,5e-05,2.0000000000000003e-06,0.5,20.000000000000004,0.013705258843891064,,,,,,,,
