state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-0.1593326096951171,-0.1593326096951171,-0.1593326096951171,-2.767268246803406e-17,-1.0875556386337585e-48,0.0,-0.1593326096951171,-9.224227489344687e-18,0.1593326096951171,0.1593326096951171,0.1593326096951171,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,1,1,2,3,0.0,3.075e-06,2.5e-05,3e-06,2.5e-05,3.075e-06,1.6666666666666667e-05,3.05e-06,0.16666666666666669,30.5,-0.15690524094799913,-0.15690524094799913,-0.15932563415459616,-9.521303295686603e-05,-9.521303295686603e-05,0.0023251801736401505,-0.15771203868353148,0.0007115847025754729,0.157713643983343,0.1577177132105864,0.15934259995871822,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,2,1,3,4,0.0,3.075e-06,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,8.333333333333334e-06,3.1000000000000004e-06,0.08333333333333334,31.000000000000004,-0.15690524094798078,-0.15690524094799913,-0.15690524094799913,-1.8346988476306583e-14,0.0,0.0,-0.156905240947993,-6.115662825435528e-15,0.156905240947993,0.156905240947993,0.15690524094799913,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,3,2,3,66,2.5e-05,3e-06,2.5e-05,3.075e-06,5e-05,3e-06,3.3333333333333335e-05,3.0250000000000003e-06,0.33333333333333337,30.250000000000004,-0.09470192828320163,-0.09585725484056737,-0.09585725484056737,-0.0012505395903226102,-9.521303295686603e-05,-9.521303295686603e-05,-0.09547214598811211,-0.00048032188541211404,0.09547335423399032,0.09547492962311262,0.09585730212712604,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,4,3,4,5,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,1.6666666666666667e-05,3.125e-06,0.16666666666666669,31.25,-0.15513912099392904,-0.15513912099392907,-0.15690081184078863,-0.0002853217828240392,-0.0002853217828240392,0.0014763690640355142,-0.1557263512762156,0.00030190849946247863,0.15572664393271096,0.1557288414727492,0.15690775768556442,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,5,3,5,67,2.5e-05,3.075e-06,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,3.3333333333333335e-05,3.1000000000000004e-06,0.33333333333333337,31.000000000000004,-0.09270497857178543,-0.0935356573027953,-0.09353565730279531,-0.0011160005138339093,-0.0002853217828240392,-0.0002853217828240392,-0.09325876439245868,-0.0005622146931606626,0.09326045904545681,0.0932612935315898,0.0935360924755023,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,6,3,66,67,2.5e-05,3.075e-06,5e-05,3e-06,5e-05,3.075e-06,4.1666666666666665e-05,3.05e-06,0.41666666666666663,30.5,-0.09353565730279531,-0.0935356573027953,-0.09469469901714422,1.7404779986326698e-07,1.7404779986326695e-07,0.0011592157621487722,-0.09392200454091161,0.00038652128591616625,0.09392279987142359,0.09392436956401302,0.09470179408612463,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,7,4,5,6,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,8.333333333333334e-06,3.1750000000000005e-06,0.08333333333333334,31.750000000000004,-0.15513912099395472,-0.15513912099392907,-0.15513912099392904,2.5652576647867578e-14,0.0,0.0,-0.1551391209939376,8.550858882622526e-15,0.1551391209939376,0.1551391209939376,0.15513912099395472,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,8,5,6,7,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,2.5e-05,3.225e-06,1.6666666666666667e-05,3.2e-06,0.16666666666666669,32.0,-0.15401626219166248,-0.15401626219166248,-0.15513718371489177,-0.0004751618355427349,-0.0004751618355427349,0.0006457596876865146,-0.15438990269940558,-0.00010152132779965175,0.1543899360778154,0.1543908393399265,0.1551385276988354,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,9,5,7,68,2.5e-05,3.1500000000000003e-06,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,3.3333333333333335e-05,3.1750000000000005e-06,0.33333333333333337,31.750000000000004,-0.09133512292920175,-0.09185910373870183,-0.09185910373870183,-0.0009991426450428162,-0.0004751618355427349,-0.0004751618355427349,-0.09168444346886846,-0.0006498221053760953,0.09168674627755515,0.09168708435678041,0.09186033267111295,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,10,5,67,68,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,5e-05,3.1500000000000003e-06,4.1666666666666665e-05,3.125e-06,0.41666666666666663,31.25,-0.09185910373870183,-0.09185910373870183,-0.09269910911822178,4.786278617163271e-07,4.786278617163271e-07,0.0008404840073816764,-0.09213910553187515,0.00028048042103503637,0.09213953243576077,0.09214037558958903,0.0927029192888695,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
