state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-0.03410906079688569,-0.03410906079688569,-0.03410906079688569,0.0,0.0,0.0,-0.03410906079688569,0.0,0.03410906079688569,0.03410906079688569,0.03410906079688569,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,1,1,2,3,0.0,3.075e-06,2.5e-05,3e-06,2.5e-05,3.075e-06,1.6666666666666667e-05,3.05e-06,0.16666666666666669,30.5,-0.03293957632660026,-0.03293957632660026,-0.0341055979268677,-1.1731594268097698e-05,-1.1731594268097698e-05,0.0011542900059993409,-0.03332825019335608,0.0003769422724877152,0.03333038173240336,0.03333476080145987,0.034125125572913466,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,2,1,3,4,0.0,3.075e-06,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,8.333333333333334e-06,3.1000000000000004e-06,0.08333333333333334,31.000000000000004,-0.032939576326587484,-0.03293957632660026,-0.03293957632660026,-1.2777861129614729e-14,0.0,0.0,-0.032939576326596,-4.2592870432049095e-15,0.032939576326596,0.032939576326596,0.03293957632660026,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,3,2,3,66,2.5e-05,3e-06,2.5e-05,3.075e-06,5e-05,3e-06,3.3333333333333335e-05,3.0250000000000003e-06,0.33333333333333337,30.250000000000004,-0.025661007895445533,-0.026287997989214468,-0.026287997989214468,-0.0006387216880370336,-1.1731594268097698e-05,-1.1731594268097698e-05,-0.026079001291291492,-0.00022072829219107633,0.02607993537818215,0.026081652336298052,0.02628800060695465,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,4,3,4,5,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,1.6666666666666667e-05,3.125e-06,0.16666666666666669,31.25,-0.031969246341242756,-0.031969246341242756,-0.03293677992863457,-3.540093643485626e-05,-3.540093643485626e-05,0.0009321326509569592,-0.03229175753704003,0.0002871102593624156,0.03229303387933708,0.0322961663857656,0.03294996727382723,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,5,3,5,67,2.5e-05,3.075e-06,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,3.3333333333333335e-05,3.1000000000000004e-06,0.33333333333333337,31.000000000000004,-0.02453874582938132,-0.02504979550485516,-0.025049795504855164,-0.0005464506119086975,-3.540093643485626e-05,-3.540093643485626e-05,-0.024879445613030546,-0.00020575082825947,0.024880296369116553,0.024881490179466174,0.025049820519543898,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,6,3,66,67,2.5e-05,3.075e-06,5e-05,3e-06,5e-05,3.075e-06,4.1666666666666665e-05,3.05e-06,0.41666666666666663,30.5,-0.025049795504855164,-0.02504979550485516,-0.025657269307421474,5.174168730754226e-10,5.174168730754226e-10,0.0006074743199831828,-0.02525228677237727,0.00020249178493897632,0.025253098624868745,0.025254683580748966,0.02566445973253657,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,7,4,5,6,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,8.333333333333334e-06,3.1750000000000005e-06,0.08333333333333334,31.750000000000004,-0.03196924634122832,-0.031969246341242756,-0.031969246341242756,-1.4431303907079762e-14,0.0,0.0,-0.03196924634123794,-4.810434635693254e-15,0.03196924634123794,0.03196924634123794,0.031969246341242756,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,8,5,6,7,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,2.5e-05,3.225e-06,1.6666666666666667e-05,3.2e-06,0.16666666666666669,32.0,-0.031181914259569964,-0.031181914259569968,-0.031967068461118804,-5.919416505538838e-05,-5.9194165055388386e-05,0.0007259600364934457,-0.03144363232675291,0.0002025239021275563,0.031444284533615224,0.03144641714259516,0.03197531053754509,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,9,5,7,68,2.5e-05,3.1500000000000003e-06,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,3.3333333333333335e-05,3.1750000000000005e-06,0.33333333333333337,31.750000000000004,-0.023629701051192123,-0.024038170361613008,-0.02403817036161301,-0.0004676634754762779,-5.919416505538838e-05,-5.9194165055388386e-05,-0.023902013924806047,-0.00019535060186235157,0.023902812209429882,0.02390360497695305,0.024038243244528225,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,10,5,67,68,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,5e-05,3.1500000000000003e-06,4.1666666666666665e-05,3.125e-06,0.41666666666666663,31.25,-0.02403817036161301,-0.024038170361613008,-0.024535614118204374,9.357148295374138e-09,9.357148295374138e-09,0.0004974531137396596,-0.024203984947143462,0.00016582394267875014,0.024204552978758207,0.024205665729577316,0.024540656465502284,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
