case_id,nta_cm3_ev,nga_cm3_ev,active_family,solve_mode,source_v,drain_v,vbg_v,vtg_v,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3,tail_occupied_density_cm3,deep_occupied_density_cm3,occupied_bulk_traps_cm3,occupied_bulk_traps_derivative,physical_trap_charge_c_per_cm3,poisson_trap_source_c_per_cm3,potential_node_charge_c_per_cm3
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,0.0,0.0,0.0,0.0,0.0,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,0.0,5.000000000000001e-07,0.0,5.000000000000001,7.857667925015669e-05,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,2.5e-05,0.0,0.25,0.0,0.0,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,2.5e-05,5.000000000000001e-07,0.25,5.000000000000001,0.005516460676501284,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,0.0,1.0000000000000002e-06,0.0,10.000000000000002,0.0001528030513025125,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,2.5e-05,1.0000000000000002e-06,0.25,10.000000000000002,0.011035075849141493,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,0.0,1.5000000000000002e-06,0.0,15.000000000000002,0.00021832360511659708,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,2.5e-05,1.5000000000000002e-06,0.25,15.000000000000002,0.016558003473408044,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,0.0,2.0000000000000003e-06,0.0,20.000000000000004,0.0002707724150360485,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,2.5e-05,2.0000000000000003e-06,0.25,20.000000000000004,0.022087408428675574,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,0.0,2.1250000000000004e-06,0.0,21.250000000000004,0.00028115753801420646,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,2.5e-05,2.1250000000000004e-06,0.25,21.250000000000004,0.023471111637678368,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,0.0,2.2500000000000005e-06,0.0,22.500000000000004,0.0002903831632873812,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,2.5e-05,2.2500000000000005e-06,0.25,22.500000000000004,0.02485538975911534,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,0.0,2.375e-06,0.0,23.75,0.0002983805382307645,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,2.5e-05,2.375e-06,0.25,23.75,0.026240276975022982,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,0.0,2.5e-06,0.0,25.000000000000004,0.00030508081835230817,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,2.5e-05,2.5e-06,0.25,25.000000000000004,0.027625807528541338,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,0.0,2.6250000000000003e-06,0.0,26.250000000000004,0.0003104150621383424,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,2.5e-05,2.6250000000000003e-06,0.25,26.250000000000004,0.029012015727346532,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,0.0,2.75e-06,0.0,27.5,0.00031431422589111625,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,2.5e-05,2.75e-06,0.25,27.5,0.03039893594708944,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,0.0,2.875e-06,0.0,28.75,0.0003167091585578302,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,2.5e-05,2.875e-06,0.25,28.75,0.03178660263484067,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,0.0,3e-06,0.0,30.0,0.00031753059655073,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,2.5e-05,3e-06,0.25,30.0,0.03317505031254227,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,5e-05,0.0,0.5,0.0,0.0,,,,,,,,
nta_1e18,1e+18,0.0,tail,coupled_final,0.0,0.01,0.0,0.3,bottom_oxide,5e-05,5.000000000000001e-07,0.5,5.000000000000001,0.005568104326441585,,,,,,,,
