state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-3.3356839249003967,-3.3356839249003967,-3.3356839249003967,0.0,0.0,0.0,-3.3356839249003962,0.0,3.3356839249003962,3.3356839249003962,3.3356839249003967,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,1,1,2,3,0.0,3.075e-06,2.5e-05,3e-06,2.5e-05,3.075e-06,1.6666666666666667e-05,3.05e-06,0.16666666666666669,30.5,-3.376383303204642,-3.376383303204642,-3.335813191451558,-0.0025187386338508836,-0.0025187386338508836,-0.04308885038693513,-3.3628599326202804,-0.016042109218212298,3.3628981958559265,3.362953318506024,3.3763842426778674,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,2,1,3,4,0.0,3.075e-06,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,8.333333333333334e-06,3.1000000000000004e-06,0.08333333333333334,31.000000000000004,-3.3763833032046895,-3.376383303204642,-3.376383303204642,4.6932869465785764e-14,0.0,0.0,-3.376383303204658,1.564428982192859e-14,3.376383303204658,3.376383303204658,3.3763833032046895,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,3,2,3,66,2.5e-05,3e-06,2.5e-05,3.075e-06,5e-05,3e-06,3.3333333333333335e-05,3.0250000000000003e-06,0.33333333333333337,30.250000000000004,-1.6818899807768086,-1.6565248306941398,-1.6565248306941398,0.022846411448817848,-0.0025187386338508836,-0.0025187386338508836,-1.664979880721696,0.00593631139370536,1.6649904633363508,1.6650328783227266,1.6820451438512292,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,4,3,4,5,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,1.6666666666666667e-05,3.125e-06,0.16666666666666669,31.25,-3.4188153300405153,-3.418815330040515,-3.3765326787453933,-0.007509195606276002,-0.007509195606276001,-0.049791846901397756,-3.4047211129421413,-0.02160341270464992,3.404789650529745,3.404848979535263,3.418823576749565,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,5,3,5,67,2.5e-05,3.075e-06,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,3.3333333333333335e-05,3.1000000000000004e-06,0.33333333333333337,31.000000000000004,-1.7400987527060539,-1.7128976514029783,-1.7128976514029781,0.019691905696799683,-0.007509195606276002,-0.007509195606276001,-1.7219646851706703,0.0015578381614158932,1.7219653898480836,1.7220127978734965,1.7402101713066545,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,6,3,66,67,2.5e-05,3.075e-06,5e-05,3e-06,5e-05,3.075e-06,4.1666666666666665e-05,3.05e-06,0.41666666666666663,30.5,-1.7128976514029781,-1.7128976514029783,-1.6820513046411578,-8.186323913329894e-05,-8.186323913329894e-05,-0.030928210000953776,-1.7026155358157047,-0.010363978826406791,1.7026470787741403,1.702710309629141,1.7128976533591926,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,7,4,5,6,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,8.333333333333334e-06,3.1750000000000005e-06,0.08333333333333334,31.750000000000004,-3.4188153300404798,-3.4188153300405144,-3.4188153300405153,-3.5421033559083595e-14,0.0,0.0,-3.4188153300405033,-1.1807011186361198e-14,3.4188153300405033,3.4188153300405033,3.4188153300405153,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,8,5,6,7,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,2.5e-05,3.225e-06,1.6666666666666667e-05,3.2e-06,0.16666666666666669,32.0,-3.4630704883885,-3.4630704883885,-3.4189849265038883,-0.012446592584974523,-0.012446592584974525,-0.0565321544695864,-3.448375301093629,-0.02714177987984515,3.448482114410284,3.448545992894377,3.4630928554132563,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,9,5,7,68,2.5e-05,3.1500000000000003e-06,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,3.3333333333333335e-05,3.1750000000000005e-06,0.33333333333333337,31.750000000000004,-1.802223513767041,-1.7730163375705679,-1.773016337570568,0.01676058361149846,-0.012446592584974523,-0.012446592584974525,-1.7827520629693925,-0.0027108671861501964,1.7827541240514704,1.7828071658746507,1.8023014483536925,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,10,5,67,68,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,5e-05,3.1500000000000003e-06,4.1666666666666665e-05,3.125e-06,0.41666666666666663,31.25,-1.7730163375705679,-1.7730163375705679,-1.7402568244328989,-0.00023915678047214993,-0.00023915678047214996,-0.032998669918141356,-1.7620964998580115,-0.011158994493028552,1.7621318333115574,1.7622007877822483,1.773016353700133,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
