state_id,state_label,parameter_group_id,channel_length_um,channel_length_cm,mesh_level,stage_id,mode_id,source_v,drain_v,vbg_v,vtg_v,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,0.0,0.0,0.0,0.0,0.0,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,0.0,5.000000000000001e-07,0.0,5.000000000000001,0.00011837926517475267,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,2.5e-05,0.0,0.25,0.0,0.0,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,2.5e-05,5.000000000000001e-07,0.25,5.000000000000001,0.008310770331927023,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,0.0,1.0000000000000002e-06,0.0,10.000000000000002,0.0002302046174961035,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,2.5e-05,1.0000000000000002e-06,0.25,10.000000000000002,0.016624794554032204,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,0.0,1.5000000000000002e-06,0.0,15.000000000000002,0.00032891429786822545,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,2.5e-05,1.5000000000000002e-06,0.25,15.000000000000002,0.02494533177519381,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,0.0,2.0000000000000003e-06,0.0,20.000000000000004,0.00040793084425848694,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,2.5e-05,2.0000000000000003e-06,0.25,20.000000000000004,0.033275651549519586,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,0.0,2.1250000000000004e-06,0.0,21.250000000000004,0.0004235765157678947,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,2.5e-05,2.1250000000000004e-06,0.25,21.250000000000004,0.03536027333602308,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,0.0,2.2500000000000005e-06,0.0,22.500000000000004,0.0004374753524362897,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,2.5e-05,2.2500000000000005e-06,0.25,22.500000000000004,0.03744576339621515,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,0.0,2.375e-06,0.0,23.75,0.00044952377470249563,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,2.5e-05,2.375e-06,0.25,23.75,0.03953217335362534,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,0.0,2.5e-06,0.0,25.000000000000004,0.00045961806448975557,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,2.5e-05,2.5e-06,0.25,25.000000000000004,0.04161955492396268,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,0.0,2.6250000000000003e-06,0.0,26.250000000000004,0.0004676543574340418,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,2.5e-05,2.6250000000000003e-06,0.25,26.250000000000004,0.04370795992029394,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,0.0,2.75e-06,0.0,27.5,0.00047352863510018503,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,2.5e-05,2.75e-06,0.25,27.5,0.04579744025823111,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,0.0,2.875e-06,0.0,28.75,0.00047713671718517173,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,2.5e-05,2.875e-06,0.25,28.75,0.04788804796112845,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,0.0,3e-06,0.0,30.0,0.00047837425370796127,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,2.5e-05,3e-06,0.25,30.0,0.04997983516528959,
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.01,0.0,1.0,bottom_oxide,5e-05,0.0,0.5,0.0,0.0,
