state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-10.187168867553064,-10.18716886755306,-10.18716886755306,1.77105167795418e-15,6.960356087256054e-47,0.0,-10.187168867553062,5.903505593180599e-16,10.187168867553062,10.187168867553062,10.187168867553064,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1,1,2,3,0.0,3.075e-06,2.5e-05,3e-06,2.5e-05,3.075e-06,1.6666666666666667e-05,3.05e-06,0.16666666666666669,30.5,-10.305545781515994,-10.305545781515994,-10.187559683478314,-0.01228587704699605,-0.01228587704699605,-0.13027197508467492,-10.266217082170101,-0.051614576392889,10.26634683043279,10.26649959213899,10.305553104889466,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,2,1,3,4,0.0,3.075e-06,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,8.333333333333334e-06,3.1000000000000004e-06,0.08333333333333334,31.000000000000004,-10.305545781516013,-10.305545781515994,-10.305545781515994,1.948156845749598e-14,0.0,0.0,-10.305545781516,6.49385615249866e-15,10.305545781516,10.305545781516,10.305545781516013,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,3,2,3,66,2.5e-05,3e-06,2.5e-05,3.075e-06,5e-05,3e-06,3.3333333333333335e-05,3.0250000000000003e-06,0.33333333333333337,30.250000000000004,-2.0294096604028122,-1.996584172387473,-1.9965841723874729,0.020539610968342368,-0.01228587704699605,-0.01228587704699605,-2.0075260017259193,-0.0013440477085499107,2.007526451648869,2.007585847594885,2.029513598218792,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,4,3,4,5,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,1.6666666666666667e-05,3.125e-06,0.16666666666666669,31.25,-10.433122876741933,-10.433122876741932,-10.306038076253085,-0.03701344520036684,-0.03701344520036684,-0.16409824568921694,-10.390761276578983,-0.07937504536331687,10.391064445218293,10.391240496198757,10.43318853257821,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,5,3,5,67,2.5e-05,3.075e-06,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,3.3333333333333335e-05,3.1000000000000004e-06,0.33333333333333337,31.000000000000004,-2.099396933601648,-2.063023055112308,-2.063023055112308,-0.0006395667110268353,-0.03701344520036684,-0.03701344520036684,-2.0751476812754213,-0.024888819037253502,2.0752969311440292,2.075369053155134,2.0993970310214265,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,6,3,66,67,2.5e-05,3.075e-06,5e-05,3e-06,5e-05,3.075e-06,4.1666666666666665e-05,3.05e-06,0.41666666666666663,30.5,-2.063023055112308,-2.063023055112308,-2.02957165260277,-6.3865081007552806e-06,-6.3865081007552806e-06,-0.03345778901763898,-2.0518725876091284,-0.011156854011280165,2.051902919529384,2.0519645074715807,2.0630230551221933,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,7,4,5,6,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,8.333333333333334e-06,3.1750000000000005e-06,0.08333333333333334,31.750000000000004,-10.43312287674187,-10.433122876741932,-10.433122876741933,-6.375786040635047e-14,0.0,0.0,-10.433122876741912,-2.125262013545016e-14,10.433122876741912,10.433122876741912,10.433122876741933,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,8,5,6,7,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,2.5e-05,3.225e-06,1.6666666666666667e-05,3.2e-06,0.16666666666666669,32.0,-10.570395741906744,-10.570395741906744,-10.433718616977693,-0.0619029536787238,-0.0619029536787238,-0.1985800786077773,-10.524836700263727,-0.10746199532174162,10.525385296874257,10.525587395662717,10.570577000154456,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,9,5,7,68,2.5e-05,3.1500000000000003e-06,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,3.3333333333333335e-05,3.1750000000000005e-06,0.33333333333333337,31.750000000000004,-2.1769461374777874,-2.1366200674255444,-2.1366200674255444,-0.02157688362648092,-0.0619029536787238,-0.0619029536787238,-2.150062090776292,-0.04846093032797618,2.150608159558959,2.1506954330051227,2.1770530648990825,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,10,5,67,68,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,5e-05,3.1500000000000003e-06,4.1666666666666665e-05,3.125e-06,0.41666666666666663,31.25,-2.1366200674255444,-2.1366200674255444,-2.099506413354251,-1.916350742860914e-05,-1.916350742860914e-05,-0.037132817578722034,-2.12424884940178,-0.012390381531193083,2.124284984586408,2.1243582988610865,2.1366200675114837,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,11,6,7,8,0.0,3.225e-06,2.5e-05,3.225e-06,0.0,3.3e-06,8.333333333333334e-06,3.25e-06,0.08333333333333334,32.5,-10.570395741906667,-10.570395741906744,-10.570395741906744,-7.792627382998392e-14,0.0,0.0,-10.570395741906717,-2.597542460999464e-14,10.570395741906717,10.570395741906717,10.570395741906744,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,12,7,8,9,2.5e-05,3.225e-06,0.0,3.3e-06,2.5e-05,3.3e-06,1.6666666666666667e-05,3.275e-06,0.16666666666666669,32.75,-10.71791453434818,-10.717914534348179,-10.571097072850488,-0.08695951977586137,-0.08695951977586137,-0.23377698127355298,-10.668975380515617,-0.13589867360842525,10.66984086664543,10.670072105142912,10.718267300439546,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,13,7,9,69,2.5e-05,3.225e-06,2.5e-05,3.3e-06,5e-05,3.225e-06,3.3333333333333335e-05,3.25e-06,0.33333333333333337,32.5,-2.2629566702489528,-2.218207034526501,-2.218207034526501,-0.04220988405341001,-0.08695951977586137,-0.08695951977586137,-2.233123579767318,-0.07204297453504425,2.234285369574052,2.2343906992369718,2.263350296736241,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
